,time,Open,High,Low,Close,Volume
0,1620172800000,4.8,4.84,3.0,3.36,730046.06
1,1620259200000,3.36,3.46,1.99,2.66,6416394.57
2,1620345600000,2.67,3.0,2.12,2.64,2949596.34
3,1620432000000,2.63,2.74,1.61,1.78,6852564.98
4,1620518400000,1.78,2.29,1.78,1.89,5757107.51
5,1620604800000,1.89,3.35,1.84,2.56,2717525.05
6,1620691200000,2.56,2.94,2.17,2.17,2207867.8
7,1620777600000,2.17,3.23,1.79,3.07,5852922.0
8,1620864000000,3.07,3.62,2.39,3.05,3001929.38
9,1620950400000,3.05,3.22,2.57,2.84,938258.53
10,1621036800000,2.85,3.53,2.42,3.52,1998497.21
11,1621123200000,3.51,4.49,2.92,3.33,1077912.58
12,1621209600000,3.32,4.52,2.88,3.44,2086889.07
13,1621296000000,3.43,3.53,2.27,2.44,2488633.7
14,1621382400000,2.45,22.0,1.75,2.65,12567856.99
15,1621468800000,2.64,3.7,1.407,1.751,6729093.94
16,1621555200000,1.729,3.429,1.435,2.26,7429152.72
17,1621641600000,2.26,3.226,2.048,2.84,2789101.18
18,1621728000000,2.83,5.9,2.471,2.93,2659939.1
19,1621814400000,2.931,3.045,1.738,1.811,1598559.74
20,1621900800000,1.81,2.344,1.625,1.838,2011325.61
21,1621987200000,1.841,1.917,1.184,1.226,3587481.09
22,1622073600000,1.231,1.614,1.229,1.35,2328806.6
23,1622160000000,1.333,1.948,1.26,1.719,4202782.34
24,1622246400000,1.7,1.84,1.309,1.675,3617995.21
25,1622332800000,1.675,1.895,1.086,1.151,5274013.03
26,1622419200000,1.154,1.258,0.876,0.92,7029915.75
27,1622505600000,0.926,1.045,0.895,0.956,3421908.97
28,1622592000000,0.964,1.013,0.712,0.792,6845988.0
29,1622678400000,0.792,0.811,0.699,0.741,3111012.11
30,1622764800000,0.741,0.938,0.65,0.778,9350840.32
31,1622851200000,0.778,0.795,0.512,0.599,20635569.59
32,1622937600000,0.601,0.616,0.447,0.503,18363075.49
33,1623024000000,0.5,0.733,0.498,0.703,12862559.38
34,1623110400000,0.705,1.0,0.673,0.809,21731045.24
35,1623196800000,0.806,0.966,0.702,0.702,19633101.87
36,1623283200000,0.702,0.898,0.67,0.748,10049335.86
37,1623369600000,0.748,0.943,0.717,0.872,3110963.87
38,1623456000000,0.871,1.03,0.775,0.855,4077521.99
39,1623542400000,0.859,0.948,0.632,0.655,6515735.63
40,1623628800000,0.655,0.705,0.351,0.372,28604287.99
41,1623715200000,0.373,0.401,0.345,0.356,15042030.21
42,1623801600000,0.356,0.395,0.316,0.385,17677010.83
43,1623888000000,0.385,0.461,0.351,0.428,12879257.73
44,1623974400000,0.428,0.541,0.423,0.497,11591143.81
45,1624060800000,0.497,0.556,0.481,0.554,8422742.34
46,1624147200000,0.555,0.65,0.334,0.356,13287795.12
47,1624233600000,0.356,0.569,0.344,0.541,21240439.88
48,1624320000000,0.543,0.8,0.386,0.503,15844013.66
49,1624406400000,0.5,0.55,0.305,0.342,17184272.08
50,1624492800000,0.343,0.38,0.3,0.313,11432259.98
51,1624579200000,0.312,0.41,0.295,0.406,15479873.55
52,1624665600000,0.406,0.45,0.366,0.394,12193270.42
53,1624752000000,0.394,0.418,0.329,0.335,9668813.69
54,1624838400000,0.334,0.377,0.295,0.335,12962691.71
55,1624924800000,0.335,0.34,0.271,0.307,12758469.95
56,1625011200000,0.307,0.362,0.299,0.305,10477860.83
57,1625097600000,0.305,0.37,0.304,0.352,8250053.3
58,1625184000000,0.352,0.387,0.334,0.34,7252875.57
59,1625270400000,0.339,0.361,0.307,0.311,6001605.12
60,1625356800000,0.31,0.333,0.26,0.291,7257076.43
61,1625443200000,0.293,0.338,0.282,0.297,9503657.76
62,1625529600000,0.298,0.298,0.199,0.215,21485458.9
63,1625616000000,0.215,0.229,0.193,0.226,11708774.15
64,1625702400000,0.226,0.29,0.224,0.277,15391457.22
65,1625788800000,0.276,0.304,0.235,0.249,13067134.53
66,1625875200000,0.249,0.284,0.236,0.268,6728633.39
67,1625961600000,0.268,0.284,0.247,0.263,5063475.06
68,1626048000000,0.263,0.302,0.243,0.287,7835824.64
69,1626134400000,0.287,0.334,0.274,0.321,7170669.05
70,1626220800000,0.32,0.375,0.304,0.328,5648380.98
71,1626307200000,0.33,0.402,0.307,0.39,4658114.55
72,1626393600000,0.391,0.484,0.359,0.474,7354370.46
73,1626480000000,0.477,0.484,0.418,0.456,4008958.1
74,1626566400000,0.454,0.463,0.4,0.445,3005960.46
75,1626652800000,0.446,0.588,0.435,0.582,4205773.9
76,1626739200000,0.579,0.706,0.552,0.631,5630651.68
77,1626825600000,0.632,0.671,0.464,0.534,4830825.12
78,1626912000000,0.536,0.572,0.355,0.374,8616760.94
79,1626998400000,0.374,0.401,0.33,0.3452,9640850.29
80,1627084800000,0.3451,0.3869,0.3333,0.3663,5358376.88
81,1627171200000,0.3701,0.4,0.3376,0.367,5069996.55
82,1627257600000,0.366,0.374,0.2638,0.3247,40636488.16
83,1627344000000,0.3252,0.345,0.3022,0.3053,6534479.18
84,1627430400000,0.3066,0.3281,0.2968,0.313,4240184.3
85,1627516800000,0.3121,0.325,0.29,0.2958,3764582.1
86,1627603200000,0.2958,0.317,0.274,0.278,5561762.64
87,1627689600000,0.2764,0.2898,0.244,0.2582,6471726.29
88,1627776000000,0.2586,0.275,0.2342,0.2698,4895084.64
89,1627862400000,0.2714,0.2798,0.2551,0.2743,3812349.02
90,1627948800000,0.2743,0.3008,0.265,0.293,3295042.16
91,1628035200000,0.2905,0.2992,0.2496,0.2638,4482592.1
92,1628121600000,0.2638,0.2896,0.2427,0.248,4323252.81
93,1628208000000,0.247,0.261,0.215,0.2258,4418153.38
94,1628294400000,0.2258,0.2301,0.1838,0.1865,9280137.46
95,1628380800000,0.1866,0.235,0.1855,0.2272,6912446.3
96,1628467200000,0.2262,0.2437,0.1638,0.1768,10129082.5
97,1628553600000,0.1763,0.1896,0.1602,0.1712,9530834.85
98,1628640000000,0.1713,0.1723,0.1246,0.1475,13534186.07
99,1628726400000,0.148,0.171,0.1308,0.1694,7556704.81
