,time,Open,High,Low,Close,Volume
0,1620172800000,5.2431,6.2879,5.1855,5.9842,13538249.21
1,1620259200000,5.9869,7.56,5.8699,6.6062,42831561.24
2,1620345600000,6.6078,7.1225,6.2973,6.5777,14084314.87
3,1620432000000,6.5813,7.8748,6.4688,7.4832,20093486.35
4,1620518400000,7.4873,7.5302,6.7212,7.0801,16256909.99
5,1620604800000,7.0806,7.1879,5.5342,6.1775,14792762.02
6,1620691200000,6.1775,6.5367,5.8,6.535,10398149.53
7,1620777600000,6.5338,6.9258,5.4557,5.6127,15029262.02
8,1620864000000,5.6098,6.1,5.1574,5.5713,15145067.87
9,1620950400000,5.5732,5.9385,5.25,5.7383,8465404.09
10,1621036800000,5.741,6.0487,5.2365,5.2564,10544232.19
11,1621123200000,5.2563,5.6377,4.65,5.1263,13849370.1
12,1621209600000,5.1261,5.1633,4.4307,4.7037,11605220.21
13,1621296000000,4.7045,5.4,4.6412,5.2662,13777058.16
14,1621382400000,5.268,5.4228,2.6401,3.2102,35678870.31
15,1621468800000,3.2128,3.96,2.7369,3.5959,20423893.94
16,1621555200000,3.6039,3.8155,2.6418,3.1169,16658585.42
17,1621641600000,3.1176,3.2793,2.6335,2.7226,14015960.7
18,1621728000000,2.725,2.8838,1.7777,2.3355,20568168.94
19,1621814400000,2.3344,3.0106,2.29,2.9475,16333699.84
20,1621900800000,2.95,3.1002,2.5314,2.8913,11467021.03
21,1621987200000,2.8907,3.5,2.8314,3.4259,14637848.76
22,1622073600000,3.4239,3.45,2.9685,3.2803,8182522.21
23,1622160000000,3.2836,3.3718,2.6083,2.7571,12764961.2
24,1622246400000,2.7573,2.9816,2.4408,2.5678,8491591.83
25,1622332800000,2.5698,2.9865,2.4032,2.8861,7369553.03
26,1622419200000,2.8835,3.2928,2.7458,3.2055,9404364.5
27,1622505600000,3.2071,3.269,2.9881,3.1195,6391948.42
28,1622592000000,3.1219,3.5775,3.0402,3.3752,11806631.49
29,1622678400000,3.3753,3.5957,3.3241,3.4946,8481519.35
30,1622764800000,3.4959,3.72,3.103,3.372,17217578.81
31,1622851200000,3.3761,4.0151,3.3376,3.6846,17722025.59
32,1622937600000,3.6846,4.1176,3.6356,3.9098,11968479.39
33,1623024000000,3.9098,3.9153,3.3437,3.4055,7310939.63
34,1623110400000,3.4031,3.461,2.845,3.0961,10905697.98
35,1623196800000,3.0929,3.2391,2.8758,3.1915,17700896.51
36,1623283200000,3.1915,3.26,2.8455,3.0122,9364701.16
37,1623369600000,3.0136,3.077,2.6621,2.7426,6674942.81
38,1623456000000,2.7404,2.8813,2.5172,2.7253,6647505.14
39,1623542400000,2.7268,3.048,2.6167,3.0067,7709471.01
40,1623628800000,3.0021,3.885,2.92,3.685,30227192.08
41,1623715200000,3.6895,3.8005,3.523,3.7449,8324004.91
42,1623801600000,3.7447,3.9499,3.546,3.5968,10163886.09
43,1623888000000,3.5952,3.739,3.2886,3.4118,11079189.84
44,1623974400000,3.4116,3.4237,3.0315,3.164,6483454.85
45,1624060800000,3.1645,3.2088,3.0048,3.0149,4846391.65
46,1624147200000,3.0153,3.4941,2.8065,3.398,8970178.43
47,1624233600000,3.3972,3.49,2.5888,2.6649,20145869.54
48,1624320000000,2.6642,2.8553,2.07,2.4061,18916359.63
49,1624406400000,2.4056,2.8365,2.27,2.6118,11334158.46
50,1624492800000,2.6131,2.7932,2.444,2.7279,6378278.46
51,1624579200000,2.7279,2.7948,2.32,2.3379,9466229.66
52,1624665600000,2.3382,2.4561,2.2,2.351,6457446.55
53,1624752000000,2.3517,2.5177,2.292,2.5061,5134914.36
54,1624838400000,2.5058,2.6171,2.3256,2.4757,13952675.7
55,1624924800000,2.4757,2.7039,2.4541,2.5435,8658193.3
56,1625011200000,2.5414,2.5744,2.3369,2.5355,6341897.46
57,1625097600000,2.5359,2.5375,2.3142,2.3666,4084411.65
58,1625184000000,2.3681,2.4093,2.2625,2.3928,3648680.59
59,1625270400000,2.3945,2.4954,2.3316,2.4853,4092690.28
60,1625356800000,2.4865,2.6712,2.4112,2.531,5943379.43
61,1625443200000,2.5336,2.5494,2.3461,2.4877,6302198.08
62,1625529600000,2.4889,2.931,2.485,2.8363,13670762.38
63,1625616000000,2.8363,2.969,2.7431,2.7612,6260041.82
64,1625702400000,2.7585,2.7752,2.4578,2.5082,5010661.08
65,1625788800000,2.5088,2.63,2.4096,2.5784,4446408.95
66,1625875200000,2.5776,2.6285,2.43,2.4896,2937836.08
67,1625961600000,2.4896,2.574,2.432,2.5177,2389443.22
68,1626048000000,2.5196,2.59,2.374,2.4208,3676631.86
69,1626134400000,2.4191,2.4554,2.2826,2.3207,3761776.3
70,1626220800000,2.3208,2.36,2.1766,2.2932,4363146.69
71,1626307200000,2.2913,2.3507,2.12,2.1463,5644553.93
72,1626393600000,2.1474,2.223,1.9516,1.9643,9437168.1
73,1626480000000,1.9645,2.0863,1.95,2.0137,3976867.04
74,1626566400000,2.0132,2.119,1.9966,2.0297,3195017.43
75,1626652800000,2.0297,2.0482,1.7783,1.7877,6164446.57
76,1626739200000,1.7881,1.8261,1.618,1.7088,7921833.78
77,1626825600000,1.7092,1.9174,1.6598,1.8302,6203894.97
78,1626912000000,1.83,2.0869,1.7813,2.0385,9771644.37
79,1626998400000,2.0385,2.15,1.9433,2.1147,12018707.66
80,1627084800000,2.1147,2.1483,1.9848,2.042,9563492.09
81,1627171200000,2.0416,2.1292,1.9456,2.0447,10784061.37
82,1627257600000,2.0442,2.3537,2.0188,2.1375,21221218.66
83,1627344000000,2.1373,2.2204,2.0746,2.2169,8149723.81
84,1627430400000,2.2173,2.2498,2.1334,2.1886,6382206.87
85,1627516800000,2.1896,2.2617,2.1447,2.2446,4945871.19
86,1627603200000,2.2456,2.323,2.165,2.3043,8741586.78
87,1627689600000,2.3045,2.443,2.2606,2.3755,9922832.8
88,1627776000000,2.3776,2.4854,2.29,2.317,7429086.46
89,1627862400000,2.3171,2.3913,2.2759,2.3057,5069637.1
90,1627948800000,2.3044,2.3465,2.1819,2.2235,4674698.28
91,1628035200000,2.2232,2.4095,2.1886,2.343,8417289.24
92,1628121600000,2.3423,2.4399,2.2274,2.4186,12056125.65
93,1628208000000,2.4194,2.5635,2.352,2.5134,10299493.13
94,1628294400000,2.5138,2.7197,2.4895,2.7041,12657991.2
95,1628380800000,2.7025,2.7099,2.4475,2.4907,8016978.1
96,1628467200000,2.4913,2.8357,2.4,2.7609,13253022.18
97,1628553600000,2.7584,2.8669,2.6699,2.7914,12123266.31
98,1628640000000,2.7926,3.1013,2.7833,2.9358,15200105.46
99,1628726400000,2.935,3.0623,2.7647,2.7744,6989307.59
