,time,Open,High,Low,Close,Volume
0,1620172800000,0.4163,0.4375,0.3307,0.339,4351928.07
1,1620259200000,0.3413,0.417,0.3374,0.3941,2968606.88
2,1620345600000,0.3939,0.4367,0.3647,0.4131,1991877.53
3,1620432000000,0.4131,0.4209,0.3416,0.3637,1273293.9
4,1620518400000,0.366,0.4173,0.3589,0.3773,1262387.65
5,1620604800000,0.3817,0.5087,0.3276,0.4159,3391340.91
6,1620691200000,0.4159,0.453,0.3533,0.3591,2222153.36
7,1620777600000,0.3576,0.3588,0.1555,0.2038,71699618.97
8,1620864000000,0.2032,0.289,0.1128,0.1559,142326026.86
9,1620950400000,0.1559,0.1589,0.085,0.0977,68142313.33
10,1621036800000,0.0978,0.1393,0.0913,0.1352,40149667.7
11,1621123200000,0.1348,0.18,0.1043,0.1307,33948998.72
12,1621209600000,0.1326,0.17,0.086,0.0936,92820428.29
13,1621296000000,0.0936,0.0966,0.0602,0.072,296803409.03
14,1621382400000,0.072,0.4,0.0654,0.1652,220520834.49
15,1621468800000,0.165,0.2295,0.0845,0.1067,132910031.07
16,1621555200000,0.1071,0.27,0.0906,0.1555,125403055.32
17,1621641600000,0.1558,0.2341,0.1432,0.1959,95560097.03
18,1621728000000,0.1952,0.482,0.1717,0.188,85391301.61
19,1621814400000,0.1869,0.195,0.0861,0.0936,112767671.45
20,1621900800000,0.0948,0.15,0.0825,0.104,112021144.32
21,1621987200000,0.104,0.1128,0.0724,0.0729,97142918.13
22,1622073600000,0.0731,0.095,0.0729,0.0887,64853349.41
23,1622160000000,0.0887,0.1312,0.086,0.1194,139684420.72
24,1622246400000,0.1194,0.1518,0.1078,0.135,111062678.17
25,1622332800000,0.1347,0.1507,0.0964,0.1084,111038801.23
26,1622419200000,0.1086,0.126,0.0662,0.0672,212744243.49
27,1622505600000,0.0673,0.0755,0.0637,0.0701,176612171.64
28,1622592000000,0.07,0.0747,0.059,0.0655,94075543.96
29,1622678400000,0.0655,0.0679,0.0563,0.0598,70697159.99
30,1622764800000,0.06,0.0818,0.0599,0.0688,149551913.75
31,1622851200000,0.0685,0.0806,0.0607,0.0762,122288765.26
32,1622937600000,0.0761,0.077,0.0699,0.071,71627344.61
33,1623024000000,0.0711,0.0867,0.0605,0.0852,130987325.75
34,1623110400000,0.0853,0.112,0.0823,0.0886,143415898.59
35,1623196800000,0.0886,0.1057,0.08,0.0821,111829045.71
36,1623283200000,0.082,0.1063,0.0816,0.1012,43415645.48
37,1623369600000,0.1008,0.1242,0.0968,0.12,33481457.13
38,1623456000000,0.1198,0.145,0.1095,0.1225,45762466.03
39,1623542400000,0.1215,0.1336,0.083,0.0839,47277665.74
40,1623628800000,0.084,0.0908,0.0738,0.083,54085048.26
41,1623715200000,0.083,0.0895,0.0785,0.087,27278728.58
42,1623801600000,0.0871,0.1021,0.0857,0.1,31013197.31
43,1623888000000,0.0999,0.105,0.0904,0.0985,22369817.72
44,1623974400000,0.0986,0.13,0.0974,0.1174,33305922.59
45,1624060800000,0.1164,0.131,0.1095,0.1306,39967757.31
46,1624147200000,0.1308,0.1349,0.091,0.0949,39787740.63
47,1624233600000,0.0948,0.17,0.0923,0.1593,59925215.85
48,1624320000000,0.1595,0.24,0.1137,0.1271,57045310.21
49,1624406400000,0.1266,0.1374,0.1006,0.1226,44275531.8
50,1624492800000,0.1226,0.1415,0.1073,0.117,32681749.75
51,1624579200000,0.1161,0.154,0.1116,0.1503,42209869.5
52,1624665600000,0.1505,0.1775,0.137,0.1495,38797937.12
53,1624752000000,0.1495,0.1532,0.1114,0.1121,40090669.19
54,1624838400000,0.1118,0.119,0.082,0.0864,69433515.28
55,1624924800000,0.0862,0.0869,0.0711,0.0797,65843764.34
56,1625011200000,0.0796,0.093,0.0674,0.0693,79638665.15
57,1625097600000,0.0692,0.0862,0.0685,0.0835,84543916.73
58,1625184000000,0.0835,0.095,0.0764,0.077,86295084.04
59,1625270400000,0.0769,0.0829,0.0502,0.0553,160994051.26
60,1625356800000,0.0554,0.0607,0.04,0.0447,185762427.45
61,1625443200000,0.045,0.0505,0.0306,0.0332,252393439.47
62,1625529600000,0.0332,0.0334,0.0247,0.0294,384202878.55
63,1625616000000,0.0295,0.0308,0.0263,0.0299,210380247.66
64,1625702400000,0.0299,0.0391,0.0295,0.0351,313666436.27
65,1625788800000,0.035,0.0394,0.0284,0.0313,298193926.18
66,1625875200000,0.0314,0.0354,0.029,0.0334,175085405.76
67,1625961600000,0.0335,0.0359,0.0292,0.0305,156883078.68
68,1626048000000,0.0305,0.0335,0.0263,0.032,247013560.87
69,1626134400000,0.0321,0.04,0.0319,0.0388,194571523.63
70,1626220800000,0.0388,0.046,0.032,0.0339,226985371.06
71,1626307200000,0.034,0.0384,0.0313,0.0362,177238786.14
72,1626393600000,0.0361,0.0428,0.0338,0.0424,143293957.09
73,1626480000000,0.0425,0.0454,0.0406,0.0426,115216900.14
74,1626566400000,0.0427,0.0435,0.0367,0.0422,103161941.83
75,1626652800000,0.0421,0.052,0.0414,0.0494,111714586.57
76,1626739200000,0.0493,0.0756,0.0472,0.0568,145006348.36
77,1626825600000,0.0568,0.0608,0.036,0.0378,187602137.61
78,1626912000000,0.0378,0.0388,0.0317,0.0322,150328401.18
79,1626998400000,0.0322,0.0344,0.0283,0.0285,180424764.66
80,1627084800000,0.02849,0.03015,0.0261,0.02854,241478184.58
81,1627171200000,0.02862,0.0321,0.02769,0.02851,181153980.41
82,1627257600000,0.02852,0.0291,0.01906,0.02394,562295071.97
83,1627344000000,0.02404,0.02809,0.02196,0.02453,346184345.94
84,1627430400000,0.02463,0.026,0.0226,0.02478,203855285.41
85,1627516800000,0.0247,0.02585,0.02141,0.0221,225460056.19
86,1627603200000,0.02212,0.02397,0.02002,0.02034,251105145.27
87,1627689600000,0.02034,0.02153,0.01836,0.01868,164161500.47
88,1627776000000,0.01871,0.02147,0.01728,0.0209,252532920.32
89,1627862400000,0.0209,0.02219,0.01874,0.02032,244353704.91
90,1627948800000,0.02035,0.02355,0.01969,0.02242,221785509.53
91,1628035200000,0.02242,0.0239,0.0168,0.01731,286899836.17
92,1628121600000,0.01731,0.01753,0.01293,0.01386,594756482.29
93,1628208000000,0.01388,0.01513,0.01335,0.01416,200772676.89
94,1628294400000,0.01419,0.01453,0.01155,0.01282,250792127.63
95,1628380800000,0.01279,0.016,0.01238,0.01518,235466044.04
96,1628467200000,0.01515,0.01658,0.01251,0.01334,257960707.23
97,1628553600000,0.01348,0.01387,0.01119,0.01244,236711990.68
98,1628640000000,0.01245,0.01259,0.00961,0.0106,278121056.48
99,1628726400000,0.01063,0.01137,0.00975,0.0112,128438773.02
