,time,Open,High,Low,Close,Volume
0,1620172800000,20.341,24.307,19.445,23.897,365076.27
1,1620259200000,23.898,23.992,19.21,20.512,385056.75
2,1620345600000,20.447,22.0,18.286,19.663,310718.27
3,1620432000000,19.662,22.97,19.0,21.921,218003.96
4,1620518400000,21.801,22.113,18.764,20.908,182170.86
5,1620604800000,20.909,23.686,13.242,17.265,405345.89
6,1620691200000,17.265,19.292,15.4,19.116,281146.08
7,1620777600000,19.049,29.691,18.9,22.528,1376787.4
8,1620864000000,22.745,31.814,17.354,21.231,1092112.33
9,1620950400000,21.078,32.097,20.946,28.437,598066.23
10,1621036800000,28.494,30.141,19.747,20.679,430217.11
11,1621123200000,20.695,24.655,17.652,21.096,570088.32
12,1621209600000,21.03,26.039,17.0,23.922,948155.88
13,1621296000000,24.034,31.95,23.133,28.165,971279.16
14,1621382400000,28.132,29.747,3.569,4.588,10876696.79
15,1621468800000,4.594,6.559,2.33,5.651,21818082.86
16,1621555200000,5.672,6.247,2.658,3.722,2633933.57
17,1621641600000,3.723,3.879,2.709,3.1,2153568.9
18,1621728000000,3.098,3.366,1.3,2.384,4811721.5
19,1621814400000,2.426,4.152,2.28,3.979,3655437.3
20,1621900800000,3.98,4.264,2.901,3.799,2157129.86
21,1621987200000,3.798,4.625,3.521,4.554,3243204.4
22,1622073600000,4.589,4.59,3.684,3.796,1250778.95
23,1622160000000,3.798,3.88,2.72,2.962,2281354.49
24,1622246400000,2.955,3.196,2.281,2.586,2395160.83
25,1622332800000,2.592,3.266,2.309,3.008,2861793.5
26,1622419200000,3.0,4.011,2.652,3.955,3642897.84
27,1622505600000,3.963,4.182,3.625,3.846,3107596.58
28,1622592000000,3.849,4.355,3.66,4.044,1097189.36
29,1622678400000,4.033,4.495,3.894,4.289,962048.5
30,1622764800000,4.289,4.289,3.373,3.834,1300738.45
31,1622851200000,3.845,4.156,3.369,3.547,1164739.65
32,1622937600000,3.524,3.74,3.5,3.697,704269.79
33,1623024000000,3.699,4.056,3.1,3.143,1111316.82
34,1623110400000,3.156,3.241,2.524,3.072,2106555.06
35,1623196800000,3.073,3.307,2.683,3.249,1629353.01
36,1623283200000,3.245,3.258,2.584,2.689,818704.71
37,1623369600000,2.695,2.789,2.144,2.227,962166.98
38,1623456000000,2.216,2.298,1.879,2.098,1385044.49
39,1623542400000,2.106,2.79,1.917,2.769,1488747.17
40,1623628800000,2.767,3.124,2.612,2.794,1436303.21
41,1623715200000,2.795,2.971,2.58,2.679,673483.91
42,1623801600000,2.668,2.705,2.217,2.276,836280.27
43,1623888000000,2.277,2.548,2.184,2.322,780535.73
44,1623974400000,2.321,2.338,1.662,1.829,1836633.24
45,1624060800000,1.844,1.916,1.693,1.707,1158686.37
46,1624147200000,1.706,1.994,1.522,1.932,1581485.0
47,1624233600000,1.934,1.977,1.078,1.156,3002058.76
48,1624320000000,1.159,1.28,0.7,1.051,6093676.33
49,1624406400000,1.057,1.305,0.965,1.075,2540805.1
50,1624492800000,1.075,1.173,0.923,1.101,2304823.04
51,1624579200000,1.109,1.141,0.841,0.865,2508882.2
52,1624665600000,0.86,0.922,0.768,0.865,3320980.59
53,1624752000000,0.865,0.999,0.817,0.996,2672272.59
54,1624838400000,0.999,1.296,0.976,1.235,3362280.73
55,1624924800000,1.239,1.498,1.225,1.349,3541240.44
56,1625011200000,1.348,1.497,1.159,1.474,2638035.66
57,1625097600000,1.475,1.494,1.156,1.2,2865399.07
58,1625184000000,1.199,1.264,1.006,1.218,4500230.2
59,1625270400000,1.219,1.656,1.143,1.554,5212622.0
60,1625356800000,1.552,2.013,1.367,1.819,4627886.88
61,1625443200000,1.814,2.449,1.578,2.285,5917723.34
62,1625529600000,2.295,3.005,2.21,2.376,5333684.61
63,1625616000000,2.37,2.622,2.256,2.345,2674541.26
64,1625702400000,2.329,2.357,1.69,1.911,7044467.12
65,1625788800000,1.911,2.223,1.686,2.06,5833190.99
66,1625875200000,2.06,2.187,1.844,1.942,3506164.03
67,1625961600000,1.939,2.175,1.826,2.087,2809522.83
68,1626048000000,2.088,2.347,1.872,1.952,3640224.64
69,1626134400000,1.951,1.962,1.572,1.621,3941919.27
70,1626220800000,1.623,1.776,1.397,1.683,5224962.56
71,1626307200000,1.682,1.82,1.461,1.567,5964791.85
72,1626393600000,1.565,1.681,1.262,1.269,6418963.44
73,1626480000000,1.268,1.335,1.18,1.263,5989351.8
74,1626566400000,1.256,1.433,1.235,1.27,4043538.67
75,1626652800000,1.271,1.292,1.032,1.094,5404300.95
76,1626739200000,1.095,1.131,0.828,0.932,6463939.72
