,time,Open,High,Low,Close,Volume
0,1620172800000,448.03,485.0,439.43,480.4,219568.8268
1,1620259200000,480.79,482.31,440.0,452.93,196776.2338
2,1620345600000,452.94,469.64,432.15,445.13,157154.5623
3,1620432000000,445.33,475.65,440.27,466.9,118733.5978
4,1620518400000,466.86,469.98,440.64,459.51,108532.9756
5,1620604800000,459.44,482.46,400.0,433.48,193342.4905
6,1620691200000,433.02,459.34,417.4,457.28,141927.1696
7,1620777600000,457.73,598.0,455.98,513.81,1027598.0786
8,1620864000000,513.81,621.0,450.0,509.33,976961.4174
9,1620950400000,508.87,634.32,505.61,594.78,443099.6582
10,1621036800000,594.8,611.0,508.31,517.89,336189.7337
11,1621123200000,517.2,562.72,477.35,527.88,299952.7342
12,1621209600000,527.84,593.89,470.0,572.26,546539.805
13,1621296000000,572.45,668.0,562.04,628.75,706129.4983
14,1621382400000,628.37,649.86,350.0,414.36,1181213.4515
15,1621468800000,413.95,509.0,351.56,467.22,613938.9288
16,1621555200000,466.85,494.42,310.0,373.29,562543.9343
17,1621641600000,372.88,382.78,310.0,334.87,436067.2922
18,1621728000000,334.85,350.68,208.09,293.31,777740.8903
19,1621814400000,293.08,397.67,286.39,387.06,603161.2079
20,1621900800000,387.37,404.93,321.64,370.66,414097.3471
21,1621987200000,370.3,418.0,357.29,414.57,402571.4835
22,1622073600000,414.54,415.07,364.47,371.9,316297.0337
23,1622160000000,372.0,376.6,304.0,319.8,386903.2378
24,1622246400000,320.21,335.81,280.3,298.02,252141.7386
25,1622332800000,297.87,339.3,281.43,324.38,188588.2838
26,1622419200000,324.38,385.41,304.36,382.44,338881.0828
27,1622505600000,382.4,393.56,360.7,373.13,311375.3466
28,1622592000000,372.85,402.3,361.51,384.24,208923.1678
29,1622678400000,384.23,409.38,376.16,398.36,177686.9452
30,1622764800000,398.19,398.86,346.42,373.11,229261.9947
31,1622851200000,373.11,391.7,347.03,356.22,178930.1369
32,1622937600000,356.24,368.46,354.49,365.48,68754.6635
33,1623024000000,365.73,387.76,331.54,334.54,182850.3444
34,1623110400000,334.51,339.21,296.37,329.3,213810.623
35,1623196800000,329.31,343.89,305.57,338.85,188262.9676
36,1623283200000,338.99,339.99,303.84,310.29,118220.4712
37,1623369600000,310.41,315.2,280.52,285.33,128679.1619
38,1623456000000,285.53,289.37,265.68,278.49,136891.9389
39,1623542400000,278.55,318.18,266.68,316.27,182230.2044
40,1623628800000,316.3,336.49,308.57,318.19,180494.1762
41,1623715200000,318.2,327.48,306.78,311.78,106084.0846
42,1623801600000,311.69,313.98,287.35,290.71,95598.8535
43,1623888000000,290.72,305.49,285.16,293.21,69912.576
44,1623974400000,293.25,293.77,252.74,265.11,146028.0676
45,1624060800000,265.08,270.1,254.38,254.59,80174.9178
46,1624147200000,254.68,277.24,242.07,272.67,148498.3831
47,1624233600000,272.85,275.75,206.0,212.64,299648.8868
48,1624320000000,212.69,224.0,170.1,206.12,572892.022
49,1624406400000,206.14,229.65,196.9,207.65,365959.3891
50,1624492800000,207.53,218.38,193.08,211.28,223463.3788
51,1624579200000,211.37,214.86,185.12,186.86,192411.9939
52,1624665600000,186.76,193.37,176.32,187.29,163389.7262
53,1624752000000,187.17,203.29,183.06,202.87,206406.7783
54,1624838400000,202.93,233.22,200.62,227.37,261935.838
55,1624924800000,227.32,253.32,226.04,238.22,280295.6893
56,1625011200000,238.03,252.58,219.71,251.08,273789.0701
57,1625097600000,250.96,253.02,227.22,230.17,234518.7354
58,1625184000000,230.18,234.96,215.62,234.12,183917.2291
59,1625270400000,234.05,267.08,227.75,259.42,275045.4219
60,1625356800000,259.41,289.9,248.03,277.0,287632.6323
61,1625443200000,277.0,318.4,260.42,308.22,595969.2872
62,1625529600000,308.1,347.53,308.06,316.49,680686.4398
63,1625616000000,316.49,331.7,310.06,314.83,301732.4367
64,1625702400000,314.76,315.68,275.96,291.36,541972.3649
65,1625788800000,291.34,314.72,276.0,303.0,414420.679
66,1625875200000,303.07,311.87,288.21,294.7,181454.0335
67,1625961600000,294.66,311.0,286.03,305.09,171310.8925
68,1626048000000,305.1,321.95,291.18,296.73,249947.8467
69,1626134400000,296.73,297.74,267.45,271.23,196443.9373
70,1626220800000,271.23,285.59,251.85,279.29,300658.576
71,1626307200000,279.34,288.38,265.38,272.3,247936.7541
72,1626393600000,272.28,279.79,252.2,253.13,159349.1979
73,1626480000000,253.14,259.06,245.01,253.14,132529.3776
74,1626566400000,253.14,267.96,250.69,253.68,107331.6064
75,1626652800000,253.88,255.99,232.93,238.51,147774.6078
76,1626739200000,238.45,242.41,212.54,223.03,191015.8602
77,1626825600000,223.39,263.48,216.99,259.45,247998.9693
78,1626912000000,259.45,280.33,256.67,278.66,225622.7276
79,1626998400000,278.54,293.0,268.0,290.0,218991.407
80,1627084800000,289.99,299.05,280.85,287.67,176431.3628
81,1627171200000,287.89,293.18,271.9,288.07,142260.1545
82,1627257600000,287.89,335.52,285.66,302.43,462405.8675
83,1627344000000,302.53,312.36,283.29,299.94,323347.1987
84,1627430400000,299.98,309.0,292.02,297.92,188239.9438
85,1627516800000,298.04,315.75,292.41,312.0,164845.9096
86,1627603200000,312.0,323.85,300.0,320.49,178825.6618
87,1627689600000,320.39,333.0,312.69,331.1,129435.4744
88,1627776000000,331.11,339.59,313.51,316.38,152042.0804
89,1627862400000,316.38,329.02,309.01,320.4,113543.7248
90,1627948800000,320.32,324.04,301.97,308.74,113981.445
91,1628035200000,308.49,343.0,300.26,339.02,162734.4232
92,1628121600000,339.01,383.0,336.87,372.78,381289.3282
93,1628208000000,372.97,379.48,356.95,369.6,175602.3833
94,1628294400000,369.76,400.02,365.1,385.07,201211.6316
95,1628380800000,385.12,389.45,352.0,360.72,123004.407
96,1628467200000,360.82,384.86,347.36,374.01,141330.9613
97,1628553600000,374.02,400.0,367.86,384.14,168365.7513
98,1628640000000,383.99,420.0,382.6,402.42,202514.7059
99,1628726400000,402.62,417.92,391.0,393.09,86857.7246
