,time,Open,High,Low,Close,Volume
0,1620172800000,10.257,10.873,10.135,10.618,131733.529
1,1620259200000,10.631,10.85,9.828,10.255,185689.657
2,1620345600000,10.212,10.75,9.926,10.247,132225.074
3,1620432000000,10.231,10.7,9.99,10.2,125699.505
4,1620518400000,10.198,10.479,9.537,9.964,158752.17
5,1620604800000,9.956,10.234,9.001,9.126,133222.737
6,1620691200000,9.116,9.643,8.572,9.263,144432.227
7,1620777600000,9.276,17.4,9.19,9.732,3369057.871
8,1620864000000,9.975,15.81,9.0,10.936,3996024.112
9,1620950400000,10.936,14.362,10.702,13.145,1216287.84
10,1621036800000,13.145,20.9,12.306,15.765,4354387.894
11,1621123200000,15.827,18.941,12.59,13.511,3661294.747
12,1621209600000,13.511,14.333,11.513,13.614,1109908.741
13,1621296000000,13.615,17.46,13.498,15.688,1887302.906
14,1621382400000,15.608,16.503,8.777,9.8,1185727.459
15,1621468800000,9.8,14.5,8.923,12.893,804368.78
16,1621555200000,12.914,16.0,11.225,14.616,1656727.519
17,1621641600000,14.654,14.8,12.0,12.761,855257.243
18,1621728000000,12.761,12.88,6.462,8.087,1207057.497
19,1621814400000,8.087,9.076,7.316,8.398,1012612.084
20,1621900800000,8.338,8.828,6.84,7.506,657498.34
21,1621987200000,7.504,8.35,7.186,7.83,750481.389
22,1622073600000,7.79,9.569,7.097,8.681,1282446.237
23,1622160000000,8.672,9.02,7.375,7.767,612304.828
24,1622246400000,7.734,7.895,6.862,7.214,215358.819
25,1622332800000,7.211,7.713,6.9,7.298,211845.539
26,1622419200000,7.27,7.69,6.965,7.651,222780.866
27,1622505600000,7.654,7.718,7.095,7.236,192622.172
28,1622592000000,7.238,7.783,7.176,7.35,323026.747
29,1622678400000,7.35,7.886,7.2,7.647,413235.603
30,1622764800000,7.644,7.834,6.782,7.057,319598.122
31,1622851200000,7.057,7.345,6.818,7.212,228449.525
32,1622937600000,7.209,7.319,6.95,7.095,129152.498
33,1623024000000,7.063,7.405,6.6,6.686,229117.077
34,1623110400000,6.682,6.83,5.506,6.206,399372.214
35,1623196800000,6.18,6.375,5.88,6.274,238471.555
36,1623283200000,6.284,8.4,5.98,7.534,1738753.7
37,1623369600000,7.539,9.567,6.82,6.9,3237405.314
38,1623456000000,6.907,7.052,6.2,6.569,687216.431
39,1623542400000,6.569,7.018,6.269,6.78,309077.271
40,1623628800000,6.78,7.112,6.609,6.844,356635.708
41,1623715200000,6.829,7.63,6.581,6.98,505905.128
42,1623801600000,6.98,7.178,6.588,6.632,259267.922
43,1623888000000,6.627,8.0,6.627,7.274,837322.926
44,1623974400000,7.248,7.781,6.762,7.162,516799.679
45,1624060800000,7.146,8.265,6.908,7.5,829062.007
46,1624147200000,7.474,7.754,6.945,7.216,353537.187
47,1624233600000,7.208,7.248,5.69,5.756,315047.862
