,time,Open,High,Low,Close,Volume
0,1620172800000,1.6881,1.7228,1.0738,1.1198,2139191.64
1,1620259200000,1.1198,1.2256,0.7899,0.8493,10901612.98
2,1620345600000,0.853,1.008,0.7458,0.8252,7464930.51
3,1620432000000,0.8263,0.9185,0.8263,0.8614,1994701.18
4,1620518400000,0.8614,0.9194,0.6304,0.6854,12790246.19
5,1620604800000,0.6889,0.95,0.6257,0.8018,8757491.67
6,1620691200000,0.8065,0.8638,0.65,0.6723,6119564.07
7,1620777600000,0.6722,0.9111,0.61,0.8777,5170702.55
8,1620864000000,0.8827,1.0,0.5172,0.5401,16473163.18
9,1620950400000,0.5387,0.6074,0.4461,0.4611,9882772.1
10,1621036800000,0.4642,0.4854,0.3352,0.3937,42131609.92
11,1621123200000,0.3922,0.42,0.278,0.2926,52207342.63
12,1621209600000,0.2928,0.4477,0.281,0.3936,41343137.75
13,1621296000000,0.3936,0.41,0.334,0.3965,18434657.81
14,1621382400000,0.3958,6.6,0.0754,0.0975,121656313.0
15,1621468800000,0.097,0.1193,0.0465,0.0545,295259820.57
16,1621555200000,0.0547,0.1058,0.0505,0.0694,337980948.15
17,1621641600000,0.0694,0.0877,0.0622,0.0754,187337181.69
18,1621728000000,0.0761,0.1378,0.068,0.085,265175995.42
19,1621814400000,0.0846,0.0956,0.0491,0.053,396809737.87
20,1621900800000,0.0531,0.0616,0.0447,0.0528,380772524.79
21,1621987200000,0.0525,0.0527,0.0361,0.039,304485775.03
22,1622073600000,0.0391,0.0479,0.0383,0.0452,172762692.13
23,1622160000000,0.0453,0.058,0.0441,0.0528,268265587.4
24,1622246400000,0.0526,0.065,0.0492,0.0593,212444366.48
25,1622332800000,0.0593,0.0642,0.0365,0.0424,576644201.44
26,1622419200000,0.0424,0.0454,0.0311,0.0318,509967824.9
27,1622505600000,0.0318,0.0367,0.0294,0.0317,481435644.3
28,1622592000000,0.0316,0.0326,0.0275,0.0303,347460478.02
29,1622678400000,0.0303,0.0315,0.0256,0.027,230724641.15
30,1622764800000,0.027,0.035,0.027,0.0313,339391297.47
31,1622851200000,0.0314,0.0355,0.0287,0.0335,223916457.04
32,1622937600000,0.0336,0.0352,0.0316,0.0326,122011203.72
33,1623024000000,0.0326,0.0388,0.0299,0.038,219004513.41
34,1623110400000,0.0379,0.0472,0.036,0.0367,320300387.67
35,1623196800000,0.0367,0.0417,0.034,0.0342,266666265.87
36,1623283200000,0.0343,0.042,0.0338,0.039,189476485.32
37,1623369600000,0.039,0.0451,0.0383,0.0439,162135666.46
38,1623456000000,0.0439,0.0483,0.0393,0.0408,214631369.3
39,1623542400000,0.0406,0.0457,0.0333,0.0347,220323436.46
40,1623628800000,0.0347,0.038,0.0323,0.0335,184976550.47
41,1623715200000,0.0334,0.0354,0.0312,0.0346,178378314.93
42,1623801600000,0.0347,0.0404,0.0333,0.0395,173656716.56
43,1623888000000,0.0396,0.0419,0.0356,0.0398,130049929.4
44,1623974400000,0.04,0.0454,0.0392,0.0431,116927812.12
45,1624060800000,0.043,0.0454,0.0412,0.0452,89411891.11
46,1624147200000,0.0453,0.0507,0.0383,0.0409,172589503.05
47,1624233600000,0.0407,0.0647,0.0401,0.064,305928757.25
48,1624320000000,0.0639,0.0859,0.0465,0.0566,694296555.73
49,1624406400000,0.0565,0.0619,0.0398,0.0454,459840624.29
50,1624492800000,0.0453,0.0495,0.0353,0.0375,391110672.32
51,1624579200000,0.0374,0.044,0.0353,0.0432,448169976.17
52,1624665600000,0.0433,0.0476,0.0408,0.0433,270733362.4
53,1624752000000,0.0433,0.0439,0.0365,0.0375,232511723.24
54,1624838400000,0.0373,0.0396,0.0365,0.0382,155093318.24
55,1624924800000,0.0381,0.0387,0.0315,0.0347,177664625.8
56,1625011200000,0.0346,0.0405,0.0326,0.0337,259626368.03
57,1625097600000,0.0337,0.0395,0.0336,0.0369,194082778.25
58,1625184000000,0.0369,0.0401,0.0329,0.033,250507905.89
59,1625270400000,0.0329,0.0347,0.0306,0.0323,146695999.61
60,1625356800000,0.0324,0.0334,0.0282,0.0297,169203932.66
61,1625443200000,0.0298,0.0337,0.0298,0.0322,208746691.14
62,1625529600000,0.0322,0.0331,0.0295,0.0316,157114974.18
63,1625616000000,0.0317,0.0325,0.0302,0.0323,99531836.25
64,1625702400000,0.0324,0.0378,0.0321,0.0372,199857101.18
65,1625788800000,0.0373,0.0403,0.0338,0.0355,171299771.53
66,1625875200000,0.0354,0.0379,0.0343,0.0366,103069621.49
67,1625961600000,0.0365,0.0376,0.0341,0.0355,95874747.38
68,1626048000000,0.0355,0.0385,0.0341,0.0372,94471067.99
69,1626134400000,0.0373,0.0411,0.0367,0.0399,70460103.14
70,1626220800000,0.04,0.0454,0.038,0.0401,131641568.8
71,1626307200000,0.04,0.0449,0.0378,0.0431,111975397.37
72,1626393600000,0.043,0.0517,0.04,0.0478,161156495.83
73,1626480000000,0.0478,0.0496,0.0457,0.0477,141273589.76
74,1626566400000,0.0478,0.0483,0.0436,0.0468,110643867.76
75,1626652800000,0.047,0.0535,0.0461,0.0527,136137080.16
76,1626739200000,0.0527,0.0631,0.0511,0.0595,143104651.84
77,1626825600000,0.0595,0.0615,0.0428,0.0473,233016143.83
78,1626912000000,0.0473,0.0493,0.0438,0.0458,141152299.85
79,1626998400000,0.0458,0.0492,0.0438,0.0441,104753998.35
80,1627084800000,0.04401,0.04496,0.04071,0.04213,124491786.77
81,1627171200000,0.04207,0.04528,0.04151,0.04259,117543416.55
82,1627257600000,0.0425,0.0429,0.0295,0.03927,451226071.29
83,1627344000000,0.03904,0.04186,0.03485,0.03735,196274060.4
84,1627430400000,0.03754,0.03888,0.03469,0.0367,153749627.49
85,1627516800000,0.03674,0.03866,0.03597,0.03697,68665948.58
86,1627603200000,0.0368,0.0395,0.03475,0.035,60493472.93
87,1627689600000,0.035,0.03656,0.03335,0.03437,48739297.99
88,1627776000000,0.03443,0.03578,0.02946,0.0345,70803503.37
89,1627862400000,0.03449,0.036,0.0321,0.03494,48232166.62
