,time,Open,High,Low,Close,Volume
0,1620172800000,0.3057,0.3532,0.3024,0.3397,20742341.12
1,1620259200000,0.3397,0.3633,0.3249,0.361,28708946.58
2,1620345600000,0.3617,0.6565,0.3482,0.5154,441172495.66
3,1620432000000,0.5155,0.6952,0.4918,0.5353,386968397.96
4,1620518400000,0.5354,0.5748,0.4775,0.5036,84066140.99
5,1620604800000,0.5025,0.5656,0.4143,0.451,60330224.99
6,1620691200000,0.4507,0.4977,0.4166,0.4711,38467130.25
7,1620777600000,0.4718,0.5049,0.3771,0.38,36014893.14
8,1620864000000,0.3799,0.4474,0.3521,0.3823,40175973.8
9,1620950400000,0.382,0.4936,0.3743,0.4559,49110293.23
10,1621036800000,0.4553,0.463,0.3751,0.3855,42532301.94
11,1621123200000,0.3853,0.4359,0.3558,0.3875,29159702.7
12,1621209600000,0.3879,0.3896,0.3277,0.3537,32199976.38
13,1621296000000,0.3528,0.3755,0.3336,0.3401,26840982.03
14,1621382400000,0.3391,0.3464,0.162,0.2141,81248497.46
15,1621468800000,0.2152,0.2724,0.1869,0.251,38490776.87
16,1621555200000,0.251,0.2672,0.1755,0.2198,37038847.78
17,1621641600000,0.2195,0.233,0.1913,0.1959,26593210.23
18,1621728000000,0.1956,0.2029,0.1246,0.1641,48395774.33
19,1621814400000,0.1649,0.2169,0.1619,0.2092,31417993.15
20,1621900800000,0.2092,0.242,0.1936,0.212,39206870.02
21,1621987200000,0.2123,0.24,0.2056,0.2303,31501973.43
22,1622073600000,0.2303,0.2433,0.2015,0.2151,30047603.89
23,1622160000000,0.2148,0.2182,0.1747,0.1923,39548342.76
24,1622246400000,0.1923,0.209,0.1717,0.1838,29080946.38
25,1622332800000,0.1846,0.1992,0.1717,0.1873,14914217.22
26,1622419200000,0.1873,0.2094,0.1761,0.2093,22183152.25
27,1622505600000,0.2092,0.212,0.1952,0.2033,22378838.37
28,1622592000000,0.2032,0.2182,0.1968,0.2084,17589007.27
29,1622678400000,0.2081,0.2241,0.2046,0.2208,26445222.8
30,1622764800000,0.2201,0.221,0.1852,0.1993,22044548.96
31,1622851200000,0.2002,0.2168,0.1834,0.1906,20103454.65
32,1622937600000,0.1904,0.2045,0.1887,0.2029,12463445.72
33,1623024000000,0.2025,0.2059,0.1745,0.1766,16782214.82
34,1623110400000,0.1767,0.1868,0.1572,0.1837,34756662.97
35,1623196800000,0.1842,0.2,0.1724,0.1948,22485156.14
36,1623283200000,0.1948,0.196,0.1776,0.1863,13463261.58
37,1623369600000,0.1862,0.1955,0.175,0.18,9119926.47
38,1623456000000,0.1794,0.1802,0.1621,0.1715,7980584.82
39,1623542400000,0.1715,0.1864,0.1668,0.1808,8290179.3
40,1623628800000,0.1812,0.1899,0.1778,0.1844,10312595.39
41,1623715200000,0.1844,0.1878,0.1775,0.1811,11722778.43
42,1623801600000,0.1807,0.1817,0.1682,0.1704,8504548.16
43,1623888000000,0.1709,0.182,0.1704,0.1748,6720931.13
44,1623974400000,0.1747,0.1769,0.1553,0.1614,7541447.08
45,1624060800000,0.1617,0.1686,0.157,0.1583,11231670.04
46,1624147200000,0.1578,0.1601,0.1421,0.1524,10681016.68
47,1624233600000,0.1527,0.1541,0.1175,0.1183,16858112.26
48,1624320000000,0.1184,0.1265,0.0941,0.1102,25420996.05
49,1624406400000,0.1105,0.1284,0.107,0.1178,15406870.19
50,1624492800000,0.1178,0.1656,0.1105,0.1412,63999517.77
51,1624579200000,0.1411,0.146,0.1171,0.1194,30077339.56
52,1624665600000,0.119,0.1245,0.111,0.122,18038310.71
53,1624752000000,0.1224,0.1238,0.1129,0.1233,13266107.3
54,1624838400000,0.1231,0.1274,0.1175,0.1243,16379245.1
55,1624924800000,0.1247,0.1388,0.1243,0.1316,17776454.23
56,1625011200000,0.1317,0.1479,0.1233,0.1444,33584741.93
57,1625097600000,0.1441,0.1479,0.1281,0.1322,20806342.57
58,1625184000000,0.1322,0.1387,0.1239,0.1292,11393399.96
59,1625270400000,0.1292,0.14,0.1263,0.135,13053667.21
60,1625356800000,0.135,0.1434,0.1274,0.1332,13507598.28
61,1625443200000,0.1332,0.1333,0.1247,0.128,7683284.08
62,1625529600000,0.1278,0.137,0.1276,0.1328,10778425.9
63,1625616000000,0.1327,0.1447,0.1302,0.138,25261577.58
64,1625702400000,0.1375,0.1375,0.1253,0.1285,16706567.58
65,1625788800000,0.1279,0.1316,0.1207,0.1272,11082707.08
66,1625875200000,0.1269,0.1295,0.1225,0.1252,5711506.42
67,1625961600000,0.1249,0.1322,0.1226,0.1285,14736504.48
68,1626048000000,0.1285,0.1326,0.1216,0.125,9482844.55
69,1626134400000,0.1248,0.1268,0.1188,0.1209,6710825.48
70,1626220800000,0.1209,0.125,0.1143,0.1225,8006060.51
71,1626307200000,0.1224,0.1325,0.1171,0.125,20773757.0
72,1626393600000,0.1254,0.1308,0.1167,0.1172,12231857.63
73,1626480000000,0.1172,0.12,0.1147,0.1156,5931144.15
74,1626566400000,0.1156,0.1197,0.1136,0.1153,5616060.53
75,1626652800000,0.1153,0.116,0.1061,0.1081,5166635.94
76,1626739200000,0.1081,0.109,0.0932,0.0983,14713369.57
77,1626825600000,0.0983,0.1077,0.096,0.1057,11837549.28
78,1626912000000,0.1058,0.1086,0.1034,0.1078,10337194.23
79,1626998400000,0.1078,0.1147,0.1058,0.112,13558052.52
80,1627084800000,0.1121,0.12,0.1104,0.1166,13854076.77
81,1627171200000,0.1166,0.1197,0.1106,0.1159,13305925.4
82,1627257600000,0.1159,0.1286,0.1151,0.1175,26373465.23
83,1627344000000,0.1174,0.1416,0.1125,0.1306,45175751.98
84,1627430400000,0.1302,0.136,0.1221,0.1244,32744775.71
85,1627516800000,0.1247,0.1286,0.1218,0.1267,17780908.98
86,1627603200000,0.1267,0.1294,0.1176,0.1284,15027133.21
87,1627689600000,0.1284,0.1311,0.1242,0.1265,19620293.54
88,1627776000000,0.1266,0.1343,0.1205,0.1228,17953824.72
89,1627862400000,0.1226,0.1258,0.1206,0.1229,13246332.18
90,1627948800000,0.1229,0.1264,0.117,0.1244,18562161.18
91,1628035200000,0.1245,0.1354,0.1227,0.1324,18089422.86
92,1628121600000,0.1321,0.14,0.1265,0.1397,21256969.72
93,1628208000000,0.1399,0.1577,0.1344,0.1543,43116738.52
94,1628294400000,0.1543,0.17,0.15,0.16,42065838.29
95,1628380800000,0.16,0.1646,0.1455,0.1474,22797520.04
96,1628467200000,0.1475,0.1623,0.14,0.1569,46500663.71
97,1628553600000,0.1567,0.16,0.1468,0.1528,52223543.51
98,1628640000000,0.153,0.1723,0.152,0.1627,47649071.91
99,1628726400000,0.1628,0.17,0.1563,0.1573,16414962.89
