,time,Open,High,Low,Close,Volume
0,1620172800000,1.2741,1.4533,1.2541,1.4425,32738167.36
1,1620259200000,1.4419,1.5792,1.4129,1.5444,64557373.8
2,1620345600000,1.5444,1.6965,1.471,1.5769,65135937.22
3,1620432000000,1.5775,1.6244,1.488,1.5182,33259498.39
4,1620518400000,1.5182,1.53,1.4261,1.5151,32906775.52
5,1620604800000,1.5152,1.5561,1.3054,1.3707,37404899.93
6,1620691200000,1.3704,1.4776,1.323,1.474,29157905.15
7,1620777600000,1.474,1.4997,1.2396,1.2734,41345401.83
8,1620864000000,1.2732,1.453,1.201,1.3526,58295062.52
9,1620950400000,1.3528,1.49,1.3229,1.4775,38997654.08
10,1621036800000,1.4772,1.537,1.373,1.3888,54344627.65
11,1621123200000,1.3884,1.54,1.3318,1.3956,52071682.45
12,1621209600000,1.396,1.4126,1.256,1.2842,39031598.92
13,1621296000000,1.2854,1.393,1.2567,1.365,30186993.39
14,1621382400000,1.3658,1.388,0.7561,0.9309,111653363.05
15,1621468800000,0.9329,1.12,0.8377,1.1089,64554630.71
16,1621555200000,1.1086,1.1472,0.8441,0.9736,50329798.21
17,1621641600000,0.9735,1.0153,0.8552,0.9739,38750541.91
18,1621728000000,0.9739,1.0405,0.6774,0.8178,65498680.99
19,1621814400000,0.8169,1.0063,0.8005,0.9811,32235991.16
20,1621900800000,0.9813,1.0179,0.8672,0.9754,36972077.69
21,1621987200000,0.9757,1.0593,0.9538,1.0237,35451063.14
22,1622073600000,1.0235,1.0333,0.9356,0.9752,23181140.83
23,1622160000000,0.9756,0.987,0.8458,0.8999,29097745.82
24,1622246400000,0.9006,0.9306,0.7904,0.8315,21248486.75
25,1622332800000,0.8319,0.8946,0.7784,0.8491,19187675.92
26,1622419200000,0.8491,0.9385,0.8139,0.9359,23377949.57
27,1622505600000,0.9356,0.9515,0.876,0.8952,20571318.46
28,1622592000000,0.8951,1.0708,0.8725,1.0187,34348783.01
29,1622678400000,1.0189,1.1537,1.0049,1.1113,34622258.52
30,1622764800000,1.1119,1.133,0.9719,1.0284,30312792.76
31,1622851200000,1.0274,1.0942,0.947,0.9763,24711755.92
32,1622937600000,0.9752,1.0253,0.9642,1.0247,14186891.49
33,1623024000000,1.0248,1.089,0.9469,0.9633,20579526.56
34,1623110400000,0.9632,0.9766,0.856,0.9406,26800573.26
35,1623196800000,0.9403,1.1523,0.9076,1.0415,68702978.3
36,1623283200000,1.041,1.0522,0.9741,1.0496,36549059.74
37,1623369600000,1.0488,1.0819,0.9566,0.9732,39320033.71
38,1623456000000,0.9729,1.0198,0.9105,0.991,23426336.5
39,1623542400000,0.9907,1.0662,0.9626,1.0406,18843798.88
40,1623628800000,1.0411,1.0865,1.0241,1.0552,20055900.79
41,1623715200000,1.0557,1.0937,1.0229,1.0323,19892856.17
42,1623801600000,1.0324,1.057,0.998,1.0178,15850200.16
43,1623888000000,1.0178,1.0848,1.0128,1.0646,19738793.88
44,1623974400000,1.0646,1.0924,0.9599,0.992,20249014.79
