,time,Open,High,Low,Close,Volume
0,1620172800000,13.8567,15.6989,13.6501,14.5661,6291154.33
1,1620259200000,14.5877,16.1,13.61,14.2121,7182117.39
2,1620345600000,14.2122,14.7656,13.0,13.5578,4554534.26
3,1620432000000,13.5733,15.753,13.4387,14.2869,6924016.57
4,1620518400000,14.3099,14.3981,13.04,13.7957,3533005.6
5,1620604800000,13.7938,15.1837,10.4,11.6673,6086711.04
6,1620691200000,11.6554,13.2,11.2,12.9655,4127984.18
7,1620777600000,12.9528,14.0,9.831,9.975,5236125.83
8,1620864000000,9.9754,11.87,9.48,10.3671,4740286.98
9,1620950400000,10.3763,11.8943,10.2036,11.2207,3343453.95
10,1621036800000,11.237,11.49,9.8776,10.0471,2996148.06
11,1621123200000,10.0389,11.99,9.9836,10.9934,4068162.4
12,1621209600000,10.9844,13.53,9.5,13.0828,11063836.45
13,1621296000000,13.0618,13.7659,11.3111,11.5961,7045014.59
14,1621382400000,11.5997,12.03,5.8,6.7655,10801157.3
15,1621468800000,6.7609,8.321,6.0307,7.4573,6386889.03
16,1621555200000,7.4484,8.0507,5.2101,6.3574,6346490.67
17,1621641600000,6.3225,6.4982,5.25,6.0947,4620574.92
18,1621728000000,6.0947,6.2499,3.7617,5.105,7259012.55
19,1621814400000,5.11,6.2,4.9185,6.1489,5544418.66
20,1621900800000,6.1489,7.09,5.277,6.82,6887731.79
21,1621987200000,6.8215,7.75,6.52,7.5704,7283168.58
22,1622073600000,7.5704,8.904,6.701,7.76,8284846.66
23,1622160000000,7.7791,8.371,6.3251,6.8863,7337843.04
24,1622246400000,6.886,7.3917,5.5364,5.9385,4445841.83
25,1622332800000,5.9635,7.6,5.5117,6.9962,7227619.8
26,1622419200000,6.9962,7.5,6.474,7.4392,6176222.67
27,1622505600000,7.4195,7.72,6.66,6.9202,4745506.4
28,1622592000000,6.9218,7.2,6.6,6.81,3549678.37
29,1622678400000,6.8009,7.4299,6.7179,7.2199,4674262.83
30,1622764800000,7.2275,7.249,5.8836,6.2709,4524915.2
31,1622851200000,6.2672,6.8,5.7501,6.0585,3635094.75
32,1622937600000,6.0585,6.2391,5.9406,6.0998,1472648.82
33,1623024000000,6.1071,6.5244,5.4,5.6151,3394539.36
34,1623110400000,5.6178,5.6718,4.85,5.347,3194827.42
35,1623196800000,5.3419,5.8,4.9696,5.715,2730511.55
36,1623283200000,5.722,5.9,5.2718,5.5341,2375437.39
37,1623369600000,5.5467,6.71,5.312,6.0536,7082658.74
38,1623456000000,6.0696,6.0964,5.1251,5.3134,3823093.14
39,1623542400000,5.3197,6.25,5.1688,6.0426,3014206.81
40,1623628800000,6.0464,6.1057,5.5814,5.8398,3291429.94
41,1623715200000,5.8408,6.19,5.5178,5.636,4184911.07
42,1623801600000,5.6394,6.0193,5.21,5.2952,4860338.38
43,1623888000000,5.2952,5.9799,5.2735,5.67,7518809.59
44,1623974400000,5.6675,5.8448,5.1236,5.2576,4154037.72
45,1624060800000,5.2535,5.33,4.9278,4.964,2166047.33
46,1624147200000,4.969,5.1919,4.5,4.9899,2971656.27
47,1624233600000,4.9916,5.033,3.7,3.757,4594282.78
48,1624320000000,3.7561,4.0771,3.17,3.5904,6055290.89
49,1624406400000,3.5935,4.8175,3.48,4.7386,6491461.38
50,1624492800000,4.7318,4.7479,4.3135,4.447,4166423.35
51,1624579200000,4.4423,4.515,3.74,3.7822,3274586.51
52,1624665600000,3.7789,3.9069,3.3976,3.6726,3028728.1
53,1624752000000,3.6758,3.8126,3.4575,3.8036,2734608.39
54,1624838400000,3.807,4.0524,3.736,3.8965,2945313.19
55,1624924800000,3.9098,4.2494,3.8332,3.9926,3041013.36
56,1625011200000,3.9932,4.0478,3.6292,3.921,3017026.15
57,1625097600000,3.921,4.3588,3.8104,4.115,7364131.83
58,1625184000000,4.115,4.2709,3.79,3.949,3058292.24
59,1625270400000,3.949,4.1999,3.8361,4.0563,2428527.38
60,1625356800000,4.0556,5.25,3.9766,4.7922,11258057.89
61,1625443200000,4.7951,4.88,4.3149,4.6596,6537881.22
62,1625529600000,4.6625,6.0,4.6545,5.852,12564353.86
63,1625616000000,5.8587,6.49,5.5572,5.69,9632079.71
64,1625702400000,5.6829,7.0553,5.3732,5.5019,18415370.31
65,1625788800000,5.4946,6.7869,5.0222,6.4711,12635311.95
66,1625875200000,6.4712,7.35,6.035,6.2968,13408087.32
67,1625961600000,6.2979,7.4204,6.193,7.0409,11289956.68
68,1626048000000,7.051,7.297,6.2534,6.5546,7838479.29
69,1626134400000,6.5639,7.5713,6.4281,6.8872,15754781.57
70,1626220800000,6.8877,7.5,5.9062,7.2729,14580932.76
71,1626307200000,7.2691,8.5778,6.8374,6.9482,26175519.33
72,1626393600000,6.9482,7.3,5.72,5.7516,12017680.41
