,time,Open,High,Low,Close,Volume
0,1620172800000,1.8604,2.099,1.833,1.9877,15160020.97
1,1620259200000,1.9885,2.04,1.8906,1.9289,15363487.75
2,1620345600000,1.929,2.0724,1.851,1.9436,15322480.26
3,1620432000000,1.9411,1.98,1.7972,1.8755,25333468.54
4,1620518400000,1.8765,1.9104,1.7994,1.8809,13345467.25
5,1620604800000,1.8812,1.9194,1.5295,1.6662,13917799.51
6,1620691200000,1.666,1.887,1.6115,1.8799,13807116.66
7,1620777600000,1.8799,2.39,1.7778,1.8081,67619285.36
8,1620864000000,1.8083,2.52,1.6996,2.2367,91997419.47
9,1620950400000,2.2387,2.4691,2.1293,2.2166,36147298.19
10,1621036800000,2.2171,2.2596,1.925,1.9433,19591686.39
11,1621123200000,1.9433,2.1,1.75,1.8944,17291875.47
12,1621209600000,1.8931,1.94,1.6479,1.7803,21277975.29
13,1621296000000,1.783,2.0,1.76,1.8879,19669177.65
14,1621382400000,1.8878,1.9215,1.02,1.1441,47133595.03
15,1621468800000,1.1444,1.4164,1.1,1.3126,28044804.85
16,1621555200000,1.312,1.405,0.879,1.0491,44172467.53
17,1621641600000,1.0467,1.0719,0.87,0.8831,21710957.99
18,1621728000000,0.8852,0.9242,0.5083,0.6512,44967990.97
19,1621814400000,0.65,0.9582,0.6356,0.9337,44040750.16
20,1621900800000,0.9335,0.9997,0.771,0.8543,35896896.01
21,1621987200000,0.8541,0.9855,0.8275,0.968,24820032.96
22,1622073600000,0.9682,0.9738,0.8624,0.8959,18257467.76
23,1622160000000,0.8957,0.9321,0.7275,0.769,25376250.82
24,1622246400000,0.768,0.8229,0.6631,0.7018,17925909.13
25,1622332800000,0.7023,0.8,0.6573,0.7527,14349205.81
26,1622419200000,0.751,0.8767,0.6958,0.8674,26378689.02
27,1622505600000,0.8653,0.8887,0.7839,0.8239,17304961.03
28,1622592000000,0.8259,0.8818,0.7939,0.8351,14250502.58
29,1622678400000,0.8344,0.9416,0.8224,0.9258,25788663.94
30,1622764800000,0.9259,0.9267,0.7787,0.8229,20605331.27
31,1622851200000,0.8223,0.883,0.75,0.7765,20163193.26
32,1622937600000,0.7775,0.8127,0.7665,0.7909,6459656.06
33,1623024000000,0.7909,0.8171,0.697,0.7047,11999056.02
34,1623110400000,0.705,0.7171,0.6166,0.6752,15870767.06
35,1623196800000,0.6739,0.73,0.6255,0.7281,14871121.44
36,1623283200000,0.7286,0.7565,0.6464,0.6607,14759789.72
37,1623369600000,0.6602,0.7175,0.5728,0.5914,30502696.0
38,1623456000000,0.5914,0.6028,0.5507,0.5802,16227878.62
39,1623542400000,0.5805,0.622,0.561,0.6123,13983242.44
40,1623628800000,0.6123,0.6394,0.5931,0.6254,18085527.94
41,1623715200000,0.6263,0.6712,0.6196,0.6394,20278110.83
42,1623801600000,0.6394,0.6394,0.5852,0.5912,11925690.78
43,1623888000000,0.5918,0.6196,0.5801,0.5983,6597874.99
44,1623974400000,0.5983,0.6071,0.5411,0.5585,8132189.95
45,1624060800000,0.5583,0.5685,0.5339,0.5368,5984215.86
46,1624147200000,0.5359,0.5656,0.4946,0.5374,11431658.01
47,1624233600000,0.5384,0.546,0.3903,0.393,17410112.83
48,1624320000000,0.3934,0.4157,0.303,0.335,49629442.39
49,1624406400000,0.335,0.3952,0.3188,0.3735,38885964.16
50,1624492800000,0.3731,0.4099,0.3525,0.3957,24125585.2
51,1624579200000,0.3957,0.413,0.3417,0.353,26433728.16
52,1624665600000,0.3527,0.38,0.3321,0.3587,23037598.11
53,1624752000000,0.3584,0.3865,0.3495,0.3855,9926904.64
54,1624838400000,0.3862,0.4414,0.3756,0.4208,28636326.92
55,1624924800000,0.4208,0.5157,0.4177,0.4742,42651560.14
56,1625011200000,0.4742,0.4851,0.4333,0.4845,30958566.18
57,1625097600000,0.4844,0.4848,0.4282,0.4352,14319948.54
58,1625184000000,0.4352,0.4483,0.4195,0.4445,14919593.37
59,1625270400000,0.4443,0.4624,0.4321,0.4591,11160505.19
60,1625356800000,0.4593,0.5419,0.4483,0.5303,25040563.24
61,1625443200000,0.5304,0.6342,0.501,0.6068,71573289.33
62,1625529600000,0.6061,0.89,0.6046,0.7873,195755189.09
63,1625616000000,0.7875,0.9474,0.7566,0.9102,79051030.92
64,1625702400000,0.9089,0.9266,0.7113,0.7387,76809037.36
65,1625788800000,0.7382,0.7597,0.698,0.7395,32744675.54
66,1625875200000,0.7394,0.8571,0.731,0.7528,56024186.23
67,1625961600000,0.7527,0.7965,0.739,0.769,19123982.84
68,1626048000000,0.77,0.844,0.7246,0.7477,33131419.17
69,1626134400000,0.7472,0.7557,0.6585,0.6696,28101289.78
70,1626220800000,0.6698,0.6729,0.5821,0.6139,54710971.17
71,1626307200000,0.614,0.65,0.5432,0.566,45378914.33
72,1626393600000,0.5662,0.6037,0.5172,0.5336,36959740.73
73,1626480000000,0.5343,0.5586,0.5019,0.5129,23423236.27
74,1626566400000,0.5129,0.5499,0.4908,0.5153,19784328.21
75,1626652800000,0.515,0.5175,0.4542,0.4676,18480910.46
76,1626739200000,0.4671,0.5265,0.415,0.4971,59497656.04
77,1626825600000,0.4971,0.5554,0.4741,0.5462,59445590.74
78,1626912000000,0.5465,0.5754,0.5192,0.5608,35674140.66
79,1626998400000,0.5616,0.5747,0.5187,0.5646,26888248.4
80,1627084800000,0.565,0.609,0.5555,0.5978,31076401.36
81,1627171200000,0.5978,0.6246,0.5501,0.5983,33832602.32
82,1627257600000,0.598,0.675,0.5931,0.6069,47510635.35
83,1627344000000,0.6069,0.625,0.57,0.6064,32504308.38
84,1627430400000,0.6052,0.6209,0.5795,0.5979,21630619.86
85,1627516800000,0.5973,0.6199,0.585,0.6194,17099209.56
86,1627603200000,0.619,0.654,0.5903,0.6385,27631597.53
87,1627689600000,0.639,0.6515,0.6121,0.6355,19824292.22
88,1627776000000,0.635,0.7243,0.6274,0.6759,42117329.43
89,1627862400000,0.6753,0.7115,0.6455,0.6753,28781156.09
90,1627948800000,0.6755,0.6928,0.634,0.6527,21264137.18
91,1628035200000,0.652,0.749,0.6427,0.747,34675008.7
92,1628121600000,0.747,0.8925,0.723,0.813,86312573.8
93,1628208000000,0.8132,0.8293,0.776,0.8002,26254885.73
94,1628294400000,0.8002,1.0199,0.7875,0.9355,78508597.31
95,1628380800000,0.9356,0.9632,0.8475,0.8658,31488844.58
96,1628467200000,0.8659,0.97,0.83,0.9601,31933928.91
97,1628553600000,0.9597,0.967,0.8912,0.9298,28114977.45
98,1628640000000,0.9294,1.08,0.9268,0.9948,52696811.69
99,1628726400000,0.9934,1.047,0.9431,0.9457,18834232.17
