,time,Open,High,Low,Close,Volume
0,1620172800000,0.35703,0.3878,0.34,0.38416,10571101.2
1,1620259200000,0.38559,0.4094,0.36958,0.40848,12220511.7
2,1620345600000,0.40852,0.6345,0.377,0.42914,143209324.0
3,1620432000000,0.42941,0.46039,0.41,0.43232,45889521.7
4,1620518400000,0.43431,0.45954,0.40155,0.42473,14961194.4
5,1620604800000,0.42473,0.42545,0.35526,0.36282,10529195.4
6,1620691200000,0.36089,0.38887,0.34111,0.38219,12707493.5
7,1620777600000,0.38219,0.39611,0.31711,0.31819,8981782.9
8,1620864000000,0.31736,0.33854,0.29411,0.32006,11819070.7
9,1620950400000,0.31997,0.3503,0.31462,0.3404,10072971.8
10,1621036800000,0.341,0.349,0.31178,0.31754,5438426.4
11,1621123200000,0.31708,0.34701,0.292,0.31507,8134400.3
12,1621209600000,0.31579,0.37001,0.2716,0.30208,33111510.4
13,1621296000000,0.30262,0.3259,0.29214,0.31093,18951485.4
14,1621382400000,0.30969,0.31581,0.15188,0.20764,22400450.4
15,1621468800000,0.20763,0.253,0.18212,0.25161,11210769.6
16,1621555200000,0.2515,0.30245,0.20273,0.25773,38442856.2
17,1621641600000,0.25774,0.34125,0.22977,0.26858,60514082.3
18,1621728000000,0.26948,0.27102,0.17197,0.21796,22094512.0
19,1621814400000,0.21948,0.241,0.1911,0.23788,18379958.1
20,1621900800000,0.23788,0.25,0.20161,0.22663,12898363.1
21,1621987200000,0.22541,0.24488,0.22023,0.24242,11913548.6
22,1622073600000,0.24287,0.26573,0.22339,0.24876,10515774.7
23,1622160000000,0.2509,0.25671,0.2066,0.22273,7053421.9
24,1622246400000,0.2226,0.24819,0.19802,0.2102,5245112.6
25,1622332800000,0.21235,0.22182,0.199,0.21467,5815939.2
26,1622419200000,0.21385,0.22344,0.20198,0.22202,3120467.3
27,1622505600000,0.22202,0.23,0.20781,0.22085,7842815.1
28,1622592000000,0.2191,0.23759,0.2139,0.23646,6127359.9
29,1622678400000,0.23558,0.24298,0.22778,0.23937,3517468.4
30,1622764800000,0.23952,0.23952,0.20974,0.22246,4411353.7
31,1622851200000,0.2208,0.22997,0.20613,0.21498,2446939.2
32,1622937600000,0.21344,0.23324,0.21078,0.22045,5908310.4
33,1623024000000,0.22039,0.23856,0.20601,0.20928,9215862.5
34,1623110400000,0.20736,0.21032,0.18,0.19622,7167287.7
35,1623196800000,0.19535,0.20329,0.18303,0.19969,7107223.1
36,1623283200000,0.19969,0.22254,0.19651,0.20469,23185928.5
37,1623369600000,0.20617,0.2167,0.17956,0.18242,10727510.2
38,1623456000000,0.18241,0.18642,0.1574,0.16319,16448261.4
39,1623542400000,0.16326,0.1772,0.1571,0.176,8487515.6
40,1623628800000,0.17631,0.18679,0.17475,0.18274,11517989.4
41,1623715200000,0.18346,0.18443,0.17554,0.17892,5788687.2
42,1623801600000,0.17855,0.17982,0.16363,0.16536,6028638.2
43,1623888000000,0.16536,0.17034,0.1591,0.16477,3463310.5
44,1623974400000,0.16462,0.17484,0.151,0.15825,5215235.8
45,1624060800000,0.15847,0.16005,0.151,0.15133,2914823.4
46,1624147200000,0.15111,0.15648,0.13419,0.15042,15487049.8
47,1624233600000,0.15042,0.16318,0.11045,0.11137,15186409.4
48,1624320000000,0.11076,0.11967,0.08713,0.10146,14990486.9
49,1624406400000,0.10145,0.11386,0.0979,0.10865,11139816.5
50,1624492800000,0.10887,0.1168,0.10342,0.11618,6619677.2
51,1624579200000,0.11679,0.11886,0.10271,0.10506,7229712.5
52,1624665600000,0.10432,0.10838,0.09701,0.10677,6350025.8
53,1624752000000,0.1069,0.10999,0.103,0.10989,7457002.9
54,1624838400000,0.10989,0.12171,0.10593,0.12073,11761330.0
55,1624924800000,0.1203,0.13788,0.12022,0.13256,14980038.6
56,1625011200000,0.13268,0.17683,0.13018,0.15536,66524921.2
57,1625097600000,0.15495,0.19704,0.14756,0.18433,84672458.5
58,1625184000000,0.18357,0.18357,0.15036,0.16242,35592936.5
59,1625270400000,0.16242,0.17097,0.15763,0.16973,18145213.6
60,1625356800000,0.17002,0.23779,0.17001,0.18443,53360727.2
61,1625443200000,0.18405,0.1919,0.16837,0.17778,15304604.3
62,1625529600000,0.1774,0.18245,0.17144,0.17883,10257260.1
63,1625616000000,0.17881,0.17951,0.17213,0.17685,5976074.3
64,1625702400000,0.17688,0.17693,0.15223,0.15699,10652045.9
65,1625788800000,0.15747,0.18039,0.15549,0.16365,11834949.4
66,1625875200000,0.16374,0.16938,0.15617,0.16108,5582946.5
67,1625961600000,0.16143,0.16708,0.15496,0.1655,7584875.9
68,1626048000000,0.1655,0.17897,0.15921,0.16553,8243489.1
69,1626134400000,0.165,0.17394,0.15717,0.16544,8120890.9
70,1626220800000,0.16509,0.16568,0.15008,0.16065,5866210.8
71,1626307200000,0.16015,0.16626,0.15396,0.16193,6310126.2
72,1626393600000,0.16192,0.16239,0.14196,0.14504,4436041.8
73,1626480000000,0.14503,0.15004,0.14324,0.14751,2211114.9
74,1626566400000,0.14769,0.15048,0.14397,0.148,1958251.4
75,1626652800000,0.148,0.1499,0.13229,0.13425,2323166.8
76,1626739200000,0.13458,0.14141,0.11678,0.12419,11729891.1
77,1626825600000,0.12419,0.13517,0.11945,0.13422,5933139.7
78,1626912000000,0.13369,0.14183,0.13052,0.14012,4287653.2
79,1626998400000,0.1398,0.14679,0.13357,0.14159,10307145.4
80,1627084800000,0.14232,0.15063,0.14096,0.14432,4874072.5
81,1627171200000,0.14504,0.14759,0.1398,0.14651,2514603.8
82,1627257600000,0.14581,0.15733,0.14473,0.1513,8171926.0
83,1627344000000,0.1512,0.16547,0.14928,0.162,11531016.4
84,1627430400000,0.16199,0.1659,0.15621,0.1656,5198116.8
85,1627516800000,0.16559,0.203,0.16089,0.19179,28861466.0
86,1627603200000,0.19158,0.20098,0.17677,0.19581,15954951.1
87,1627689600000,0.19581,0.37798,0.19581,0.30594,188236044.3
88,1627776000000,0.3058,0.30957,0.24392,0.24698,52490645.8
89,1627862400000,0.2466,0.256,0.22336,0.2537,35693152.6
90,1627948800000,0.2538,0.2538,0.23069,0.24063,17367827.4
91,1628035200000,0.24093,0.24761,0.2266,0.24549,10954397.8
92,1628121600000,0.2454,0.26449,0.23109,0.24851,23360023.3
93,1628208000000,0.24848,0.2528,0.2405,0.25175,10549491.4
94,1628294400000,0.25174,0.25777,0.24725,0.25563,18654199.6
95,1628380800000,0.2561,0.25656,0.24152,0.24948,5809828.0
96,1628467200000,0.24948,0.25665,0.23675,0.25576,6354350.1
97,1628553600000,0.25576,0.26881,0.25058,0.2681,10679847.9
98,1628640000000,0.26691,0.27865,0.26068,0.27073,12862055.3
