,time,Open,High,Low,Close,Volume
0,1620950400000,27.18,77.8,27.18,29.212,2048140.68
1,1621036800000,29.2,32.7,26.101,26.622,909417.91
2,1621123200000,26.865,27.996,22.694,23.895,334890.13
3,1621209600000,23.879,25.001,21.155,22.678,342267.94
4,1621296000000,22.735,25.938,21.979,22.543,222359.51
5,1621382400000,22.745,22.985,10.327,16.479,523010.18
6,1621468800000,16.479,18.889,14.807,18.755,406826.98
7,1621555200000,18.755,20.89,13.633,15.376,501008.02
8,1621641600000,15.309,16.8,12.5,14.264,311117.44
9,1621728000000,14.248,15.0,9.9,13.28,279919.45
10,1621814400000,13.336,15.75,12.35,15.124,324527.73
11,1621900800000,15.205,15.715,12.75,14.78,328269.31
12,1621987200000,14.785,18.89,14.725,17.631,255550.73
13,1622073600000,17.496,17.552,15.106,15.55,239152.28
14,1622160000000,15.551,15.664,13.03,14.602,274979.63
15,1622246400000,14.612,16.153,11.813,12.75,342815.81
16,1622332800000,12.75,15.253,12.176,14.225,160359.58
17,1622419200000,14.111,15.304,12.481,15.304,192736.31
18,1622505600000,15.304,17.129,14.605,15.462,242486.78
19,1622592000000,15.456,17.653,15.081,16.885,177735.46
20,1622678400000,16.885,18.778,16.0,18.704,237536.57
21,1622764800000,18.702,20.0,15.047,15.987,396983.91
22,1622851200000,15.996,17.5,14.9,15.374,166930.88
23,1622937600000,15.374,16.365,15.174,15.656,84395.55
24,1623024000000,15.661,22.375,15.439,17.461,1264759.3
25,1623110400000,17.398,21.431,15.459,17.083,1717805.46
26,1623196800000,17.014,18.752,15.5,18.0,591139.46
27,1623283200000,18.038,19.42,16.499,16.668,363455.19
28,1623369600000,16.585,16.985,15.11,15.589,255470.17
29,1623456000000,15.589,15.641,13.886,14.654,239442.72
30,1623542400000,14.654,17.279,13.547,15.802,322746.49
31,1623628800000,15.871,16.785,15.035,16.2,209100.41
32,1623715200000,16.2,16.86,15.749,15.898,140130.37
33,1623801600000,15.934,16.0,14.62,15.029,159426.52
34,1623888000000,15.029,16.918,14.794,16.186,170905.46
35,1623974400000,16.154,17.485,15.0,15.685,332994.94
36,1624060800000,15.674,17.998,15.368,17.372,297512.45
37,1624147200000,17.375,19.31,15.41,18.429,615632.4
38,1624233600000,18.427,18.436,13.198,13.529,388456.29
39,1624320000000,13.524,14.767,10.935,12.033,464202.17
40,1624406400000,11.981,13.39,11.116,11.784,542818.0
41,1624492800000,11.742,12.5,10.76,11.442,456047.84
42,1624579200000,11.442,11.727,9.148,9.524,596874.71
43,1624665600000,9.524,10.0,8.27,9.0,479169.45
44,1624752000000,8.995,10.522,8.858,10.212,669374.65
45,1624838400000,10.248,10.668,9.357,9.995,357578.73
46,1624924800000,9.993,11.399,9.987,10.736,235384.81
47,1625011200000,10.727,10.799,9.833,10.348,192491.93
48,1625097600000,10.349,12.76,10.017,10.873,718820.49
49,1625184000000,10.873,11.045,9.713,10.613,313127.9
50,1625270400000,10.612,10.989,10.0,10.562,321425.46
51,1625356800000,10.563,11.4,10.282,10.929,447969.1
52,1625443200000,10.929,11.224,10.35,10.635,943436.97
53,1625529600000,10.622,11.471,10.619,11.156,787668.64
54,1625616000000,11.124,12.979,10.981,11.84,220543.21
55,1625702400000,11.844,12.392,10.57,10.887,295108.54
56,1625788800000,10.881,11.199,10.38,11.012,95013.62
57,1625875200000,11.012,11.15,10.202,10.76,112930.42
58,1625961600000,10.791,11.675,10.585,11.379,77263.19
59,1626048000000,11.37,11.452,10.427,10.6,82194.18
60,1626134400000,10.6,10.63,9.897,10.185,123732.88
61,1626220800000,10.185,10.584,9.647,10.062,115412.14
62,1626307200000,10.061,10.243,9.25,9.406,112613.09
63,1626393600000,9.42,9.713,8.5,8.754,121429.31
64,1626480000000,8.772,8.95,8.15,8.619,182784.19
65,1626566400000,8.618,10.5,8.618,9.007,342801.32
66,1626652800000,8.982,9.056,7.89,8.16,166281.63
67,1626739200000,8.15,8.441,7.193,7.207,260759.19
68,1626825600000,7.207,8.666,7.101,8.254,372089.31
69,1626912000000,8.254,8.72,7.888,8.49,188471.6
70,1626998400000,8.49,8.965,8.138,8.936,294397.04
71,1627084800000,8.936,9.134,8.759,8.915,237519.23
72,1627171200000,8.915,11.073,8.762,10.027,409805.06
73,1627257600000,10.031,11.0,9.161,9.314,429997.07
74,1627344000000,9.314,10.298,8.88,9.967,193252.64
75,1627430400000,9.967,12.5,9.692,11.184,886716.1
76,1627516800000,11.162,11.58,10.557,11.19,243730.08
77,1627603200000,11.146,11.386,10.316,11.184,169238.2
78,1627689600000,11.184,12.2,10.85,11.678,206469.11
79,1627776000000,11.678,14.0,11.352,11.494,688870.08
80,1627862400000,11.505,11.97,11.2,11.544,203000.59
81,1627948800000,11.542,11.68,10.622,10.92,203757.55
82,1628035200000,10.92,11.999,10.799,11.329,213654.58
83,1628121600000,11.318,11.606,10.668,11.511,259496.69
84,1628208000000,11.521,13.6,10.996,12.663,979175.31
85,1628294400000,12.651,15.027,12.617,13.811,767621.15
86,1628380800000,13.826,16.5,13.3,14.917,1023035.8
87,1628467200000,14.919,16.5,14.028,14.997,530218.68
88,1628553600000,15.049,15.286,14.202,14.972,228188.77
89,1628640000000,14.967,16.006,14.8,14.924,469770.37
90,1628726400000,14.924,15.319,13.761,14.297,467419.96
