,time,Open,High,Low,Close,Volume
0,1620172800000,8.986,9.5,8.705,9.338,149156.969
1,1620259200000,9.305,9.625,8.728,8.996,174092.125
2,1620345600000,8.979,9.467,8.765,9.094,112984.565
3,1620432000000,9.088,9.46,8.953,9.047,90790.466
4,1620518400000,9.029,9.132,8.408,8.78,86080.356
5,1620604800000,8.803,8.953,7.86,8.094,103083.167
6,1620691200000,8.078,8.516,7.78,8.286,59519.386
7,1620777600000,8.309,12.57,8.006,8.059,1641905.322
8,1620864000000,8.059,11.97,7.671,8.539,1466255.871
9,1620950400000,8.554,10.5,8.231,9.808,521098.101
10,1621036800000,9.764,16.773,9.506,12.15,4312075.744
11,1621123200000,12.15,15.0,10.7,11.167,2248959.103
12,1621209600000,11.167,11.301,9.664,10.188,562098.403
13,1621296000000,10.191,14.25,10.173,12.885,1664554.418
14,1621382400000,12.881,13.184,7.35,7.692,1207296.941
15,1621468800000,7.7,9.28,6.96,8.684,568814.044
16,1621555200000,8.685,11.441,7.9,9.822,1072143.601
17,1621641600000,9.814,9.998,7.855,7.931,422982.807
18,1621728000000,7.935,8.247,4.857,5.794,478504.786
19,1621814400000,5.852,6.524,5.278,6.241,292379.814
20,1621900800000,6.26,6.549,5.312,5.8,312027.387
21,1621987200000,5.835,6.39,5.7,6.198,327437.843
22,1622073600000,6.229,7.356,5.628,6.768,793889.755
23,1622160000000,6.781,7.95,5.826,6.135,770842.321
24,1622246400000,6.135,6.363,5.336,5.935,275805.34
25,1622332800000,5.875,6.2,5.587,5.919,162079.616
26,1622419200000,5.888,6.27,5.562,6.105,175469.329
27,1622505600000,6.106,6.22,5.658,5.731,143855.851
28,1622592000000,5.707,6.584,5.563,5.969,352959.582
29,1622678400000,5.978,6.628,5.912,6.321,169456.368
30,1622764800000,6.345,6.364,5.665,5.86,151349.267
31,1622851200000,5.838,6.06,5.574,5.929,149685.981
32,1622937600000,5.91,5.98,5.5,5.733,247248.243
33,1623024000000,5.739,6.269,5.4,5.409,359085.734
34,1623110400000,5.409,5.543,4.582,5.148,250376.168
35,1623196800000,5.148,5.463,4.912,5.45,176554.561
36,1623283200000,5.425,6.38,5.118,6.128,618418.993
37,1623369600000,6.1,9.903,5.716,6.5,6192416.115
38,1623456000000,6.479,6.503,5.7,5.868,688034.468
39,1623542400000,5.868,6.251,5.565,6.02,390760.19
40,1623628800000,6.02,6.376,5.904,6.123,702115.471
41,1623715200000,6.123,6.75,5.921,6.358,389983.937
42,1623801600000,6.36,6.65,5.968,6.019,245758.071
43,1623888000000,6.017,6.95,6.017,6.401,417931.406
44,1623974400000,6.406,6.82,5.956,6.263,325173.833
45,1624060800000,6.241,6.794,6.088,6.348,297423.941
46,1624147200000,6.362,6.55,5.749,6.119,247184.504
47,1624233600000,6.119,6.138,4.858,4.921,243557.436
48,1624320000000,4.897,5.241,4.626,4.977,306091.061
49,1624406400000,4.982,5.496,4.858,5.2,128836.403
50,1624492800000,5.202,5.5,5.006,5.281,651598.387
51,1624579200000,5.285,5.45,4.76,4.899,313789.521
52,1624665600000,4.876,5.343,4.663,5.049,259427.392
53,1624752000000,5.03,5.099,4.784,5.02,160221.132
54,1624838400000,5.035,5.129,4.88,5.039,141447.333
55,1624924800000,5.04,5.3,5.014,5.113,278855.348
56,1625011200000,5.112,5.226,4.866,5.053,183106.652
57,1625097600000,5.059,5.421,4.833,5.075,447437.391
58,1625184000000,5.064,5.103,4.874,4.975,209515.84
59,1625270400000,4.986,5.055,4.893,4.994,123629.131
60,1625356800000,4.994,5.443,4.909,5.032,240305.357
61,1625443200000,5.032,5.364,4.927,5.003,255865.01
62,1625529600000,4.995,5.185,4.948,5.021,225593.971
63,1625616000000,5.041,5.182,4.931,5.05,256866.698
64,1625702400000,5.05,5.07,4.87,4.901,152870.172
65,1625788800000,4.885,4.99,4.704,4.951,105893.76
66,1625875200000,4.938,5.2,4.88,5.076,121558.647
67,1625961600000,5.076,5.49,5.033,5.094,337301.371
68,1626048000000,5.095,6.413,5.016,5.677,659968.935
69,1626134400000,5.677,5.988,5.401,5.8,259350.491
70,1626220800000,5.8,6.1,5.41,5.84,234071.4
71,1626307200000,5.838,6.049,5.415,5.48,193370.608
72,1626393600000,5.479,5.691,5.167,5.226,138313.667
73,1626480000000,5.226,5.531,5.17,5.352,80057.987
74,1626566400000,5.362,5.575,5.269,5.4,57328.685
75,1626652800000,5.385,5.801,5.294,5.569,226362.994
76,1626739200000,5.57,5.749,5.173,5.336,223491.551
77,1626825600000,5.336,5.899,5.29,5.75,261718.451
78,1626912000000,5.736,6.374,5.643,6.291,405140.548
79,1626998400000,6.291,7.27,6.056,6.858,442894.02
80,1627084800000,6.856,6.989,6.367,6.481,223095.813
81,1627171200000,6.481,6.703,6.286,6.627,200206.913
82,1627257600000,6.623,6.8,6.24,6.356,203903.692
83,1627344000000,6.332,6.699,6.223,6.459,178575.987
84,1627430400000,6.462,6.5,6.228,6.39,115749.791
85,1627516800000,6.404,7.199,6.366,6.739,258145.952
86,1627603200000,6.753,7.18,6.71,6.905,182791.633
87,1627689600000,6.905,7.2,6.779,7.001,142207.281
88,1627776000000,7.012,7.104,6.78,6.795,111480.172
89,1627862400000,6.781,7.951,6.75,7.334,330807.761
90,1627948800000,7.336,7.626,7.017,7.078,183731.917
91,1628035200000,7.094,7.498,7.04,7.224,120541.982
92,1628121600000,7.208,7.323,7.0,7.23,113430.178
93,1628208000000,7.23,7.688,6.998,7.316,275810.194
94,1628294400000,7.316,7.668,7.118,7.46,239420.572
95,1628380800000,7.441,7.839,7.228,7.249,263565.808
96,1628467200000,7.272,8.86,7.201,8.325,1168608.245
97,1628553600000,8.327,8.46,7.959,8.016,407582.562
98,1628640000000,8.016,8.196,7.802,7.873,208048.225
99,1628726400000,7.86,8.088,7.804,7.95,135481.995
