,time,Open,High,Low,Close,Volume
0,1620172800000,20.975,24.881,20.582,24.877,3992867.769
1,1620259200000,24.876,27.119,24.091,25.542,6880841.625
2,1620345600000,25.533,32.324,24.999,28.641,12153118.692
3,1620432000000,28.651,31.452,26.871,29.524,6832430.562
4,1620518400000,29.493,29.99,26.1,28.712,4651058.502
5,1620604800000,28.712,29.9,23.6,25.357,5304505.166
6,1620691200000,25.357,27.065,23.834,26.902,3648487.697
7,1620777600000,26.898,27.778,22.3,23.012,4686306.761
8,1620864000000,22.947,25.305,21.814,23.494,4650901.438
9,1620950400000,23.494,25.872,23.402,25.856,2573798.367
10,1621036800000,25.86,28.749,24.337,24.495,7364754.859
11,1621123200000,24.495,26.75,22.631,24.264,3652274.288
12,1621209600000,24.249,24.264,20.648,21.091,4203544.096
13,1621296000000,21.072,23.416,20.8,22.84,3742855.948
14,1621382400000,22.84,23.5,9.551,13.757,12337466.093
15,1621468800000,13.795,17.363,12.133,16.916,7632586.621
16,1621555200000,16.918,17.561,11.353,13.572,7099077.196
17,1621641600000,13.57,13.699,11.354,12.237,5064275.574
18,1621728000000,12.246,13.097,8.51,11.648,9013012.315
19,1621814400000,11.649,14.58,11.056,14.541,6313675.186
20,1621900800000,14.541,14.95,12.357,13.934,5195073.903
21,1621987200000,13.916,15.667,13.6,15.278,3954342.679
22,1622073600000,15.277,15.315,13.543,14.525,2763054.13
23,1622160000000,14.536,14.627,11.979,12.701,3520379.263
24,1622246400000,12.702,14.405,11.38,12.059,3206676.691
25,1622332800000,12.064,13.124,11.264,12.551,1903649.578
26,1622419200000,12.548,14.0,11.89,13.962,2331698.682
27,1622505600000,13.947,14.532,13.31,13.757,2095119.605
28,1622592000000,13.744,15.338,13.582,14.86,2468156.554
29,1622678400000,14.873,17.2,14.651,16.665,3679544.752
30,1622764800000,16.667,17.11,14.014,15.067,3172651.887
31,1622851200000,15.071,16.343,14.233,14.858,2399738.813
32,1622937600000,14.851,15.414,14.472,15.125,1227547.951
33,1623024000000,15.131,15.78,13.275,13.46,2055342.951
34,1623110400000,13.46,13.804,12.015,13.56,3066134.722
35,1623196800000,13.573,14.005,12.603,13.932,2542304.682
36,1623283200000,13.94,14.055,12.559,12.829,2364548.247
37,1623369600000,12.833,12.953,11.557,11.95,1957376.418
38,1623456000000,11.941,12.057,10.914,11.616,1753079.418
39,1623542400000,11.625,12.534,11.288,12.53,1668229.281
40,1623628800000,12.531,13.39,12.216,13.301,1834397.847
41,1623715200000,13.315,13.575,12.641,12.951,1505914.741
42,1623801600000,12.951,13.477,12.313,13.425,1932702.646
43,1623888000000,13.419,14.683,13.292,13.618,3732653.493
44,1623974400000,13.623,13.623,11.927,12.472,2237575.356
45,1624060800000,12.46,12.721,11.809,11.85,1311810.652
46,1624147200000,11.854,12.477,11.04,11.977,2215875.598
47,1624233600000,11.983,12.109,9.473,9.519,4060092.917
48,1624320000000,9.517,10.57,7.83,9.002,6291115.057
49,1624406400000,8.992,10.489,8.565,9.613,3272473.739
50,1624492800000,9.605,10.713,9.01,10.386,2896156.006
51,1624579200000,10.386,10.703,8.85,9.066,3817236.091
52,1624665600000,9.066,9.6,8.647,9.596,2216941.42
53,1624752000000,9.59,10.087,9.417,10.087,2119873.714
54,1624838400000,10.08,10.9,9.917,10.89,1884182.909
55,1624924800000,10.899,12.875,10.825,11.65,4117510.115
56,1625011200000,11.638,12.052,11.034,12.045,2470921.749
57,1625097600000,12.045,12.078,10.713,11.033,1862697.849
58,1625184000000,11.036,11.81,10.522,11.795,2147051.238
59,1625270400000,11.795,12.2,11.526,11.8,1803444.076
60,1625356800000,11.804,12.452,11.515,12.307,1476353.215
61,1625443200000,12.312,13.966,11.927,13.531,5547395.975
62,1625529600000,13.541,14.049,12.812,13.136,2631196.476
63,1625616000000,13.143,13.51,12.82,12.939,1637466.77
64,1625702400000,12.945,12.974,11.661,11.916,2076085.477
65,1625788800000,11.92,13.699,11.411,13.181,4075187.053
66,1625875200000,13.183,14.541,12.958,14.425,3111063.546
