,time,Open,High,Low,Close,Volume
0,1620172800000,2.268,2.4616,2.229,2.428,7189263.33
1,1620259200000,2.4304,2.55,2.3,2.345,7935078.99
2,1620345600000,2.3457,2.3975,2.2259,2.2829,6258210.41
3,1620432000000,2.2827,2.38,2.1689,2.2279,6055080.06
4,1620518400000,2.2261,2.323,2.0517,2.1517,5313413.34
5,1620604800000,2.1521,2.5631,1.9912,2.0786,12118136.05
6,1620691200000,2.0757,2.1706,1.9655,2.1454,6208512.52
7,1620777600000,2.1474,2.1856,1.77,1.7788,5305802.32
8,1620864000000,1.7787,1.9484,1.7,1.8129,5846249.02
9,1620950400000,1.81,2.1037,1.8,1.996,5032286.52
10,1621036800000,1.9974,2.0208,1.7564,1.7985,4390439.51
11,1621123200000,1.8002,1.9279,1.6189,1.8462,5819829.87
12,1621209600000,1.8461,2.3675,1.7129,2.0559,26226781.19
13,1621296000000,2.0568,2.3191,1.9501,1.9992,12802162.12
14,1621382400000,2.0032,2.0578,0.98,1.2568,18537396.05
15,1621468800000,1.2567,1.5019,1.16,1.4138,8590484.17
16,1621555200000,1.4119,1.4971,1.0772,1.2117,6529615.52
17,1621641600000,1.2118,1.2351,1.064,1.0945,4724909.13
18,1621728000000,1.0936,1.1363,0.732,0.9156,10685347.27
19,1621814400000,0.9154,1.17,0.8854,1.1619,8531262.16
20,1621900800000,1.1619,1.1965,1.0177,1.1748,8439536.51
21,1621987200000,1.1754,1.2926,1.1419,1.2682,6836250.12
22,1622073600000,1.2681,1.359,1.1519,1.2269,7407117.91
23,1622160000000,1.2269,1.2349,1.0235,1.0553,6035016.58
24,1622246400000,1.0531,1.0985,0.9221,0.9611,5592491.59
25,1622332800000,0.9598,1.093,0.902,1.0033,7366502.8
26,1622419200000,1.0033,1.079,0.943,1.0685,5585331.99
27,1622505600000,1.0664,1.2,1.0245,1.1085,14788407.15
28,1622592000000,1.1084,1.188,1.0928,1.1725,6731481.88
29,1622678400000,1.1727,1.27,1.1456,1.1743,7608561.38
30,1622764800000,1.1742,1.1848,1.0391,1.0773,6274047.47
31,1622851200000,1.0784,1.1334,1.0148,1.0392,3701359.58
32,1622937600000,1.0392,1.1001,1.0322,1.09,2896586.43
33,1623024000000,1.0921,1.1322,0.9909,0.9983,4602399.7
34,1623110400000,0.9975,1.093,0.9078,0.9972,9502099.66
35,1623196800000,0.9972,1.0621,0.9636,1.0538,5706874.72
36,1623283200000,1.0538,1.0642,0.9793,0.9971,3879080.2
37,1623369600000,0.9984,1.2367,0.9734,1.0337,10998235.22
38,1623456000000,1.0336,1.06,0.9618,0.9851,6204891.08
39,1623542400000,0.986,1.0397,0.967,1.0296,4568588.06
40,1623628800000,1.0296,1.217,1.0212,1.1181,11367787.67
41,1623715200000,1.1181,1.1295,1.0635,1.0732,5837598.24
42,1623801600000,1.0732,1.1342,1.0112,1.0173,4603014.58
43,1623888000000,1.0173,1.0851,0.9666,1.0198,4224638.07
44,1623974400000,1.0192,1.045,0.8821,0.9133,4500659.27
45,1624060800000,0.9136,0.9418,0.8876,0.8887,2782958.37
46,1624147200000,0.888,0.9098,0.8149,0.8929,3317885.85
47,1624233600000,0.892,0.9025,0.74,0.7441,4573433.84
48,1624320000000,0.7448,0.7989,0.59,0.664,10478060.63
49,1624406400000,0.6638,0.78,0.6485,0.728,5283443.93
50,1624492800000,0.729,0.7475,0.7001,0.7292,3013239.22
51,1624579200000,0.7307,0.7447,0.6516,0.6583,3295729.23
52,1624665600000,0.6587,0.7345,0.6373,0.7093,4772807.57
53,1624752000000,0.7088,0.7609,0.6647,0.7456,5664000.84
54,1624838400000,0.7467,0.8694,0.732,0.7682,9163117.5
