,time,Open,High,Low,Close,Volume
0,1620172800000,30.307,35.616,29.7,35.258,3289567.944
1,1620259200000,35.225,39.3,34.66,38.003,6195375.726
2,1620345600000,38.002,43.885,35.969,37.875,6802609.557
3,1620432000000,37.852,39.844,37.157,38.399,2493215.197
4,1620518400000,38.399,39.5,35.017,38.969,2403153.534
5,1620604800000,38.988,41.8,29.69,34.652,4334618.088
6,1620691200000,34.65,37.3,32.575,36.8,2729477.604
7,1620777600000,36.768,41.47,32.0,32.8,5512564.2
8,1620864000000,32.872,37.17,30.739,35.075,4599017.978
9,1620950400000,35.036,38.0,33.276,36.999,2531482.455
10,1621036800000,36.993,39.99,34.031,34.439,4984162.837
11,1621123200000,34.464,39.7,32.5,36.6,5278663.199
12,1621209600000,36.597,37.936,31.75,33.67,4761781.536
13,1621296000000,33.684,37.7,33.268,36.875,3692884.156
14,1621382400000,36.907,38.535,17.775,23.052,7854204.012
15,1621468800000,23.064,28.2,20.809,25.086,4667836.199
16,1621555200000,25.042,26.712,18.368,21.827,3781391.334
17,1621641600000,21.825,22.474,18.3,18.797,2628918.371
18,1621728000000,18.809,19.668,12.086,15.606,5463994.514
19,1621814400000,15.603,20.5,15.034,19.395,4361327.481
20,1621900800000,19.395,20.243,17.001,19.446,2878326.676
21,1621987200000,19.431,21.453,18.918,20.797,3101870.521
22,1622073600000,20.794,21.198,18.717,19.118,1878833.966
23,1622160000000,19.133,19.568,16.015,16.727,2318888.923
24,1622246400000,16.727,17.592,15.169,16.168,1260980.209
25,1622332800000,16.194,17.468,15.101,16.518,1133881.014
26,1622419200000,16.504,18.198,15.671,18.14,1357131.015
27,1622505600000,18.153,18.583,17.066,17.748,1195464.415
28,1622592000000,17.748,19.419,17.145,18.687,1696639.301
29,1622678400000,18.686,20.7,18.219,20.268,1754635.671
30,1622764800000,20.247,20.55,17.41,18.243,1844859.941
31,1622851200000,18.236,19.142,16.86,17.23,1557214.89
32,1622937600000,17.233,18.0,17.09,17.383,747036.541
33,1623024000000,17.38,18.053,15.304,15.536,2846106.846
34,1623110400000,15.533,16.048,13.639,14.792,2622746.581
35,1623196800000,14.803,15.765,13.65,15.4,2507532.953
36,1623283200000,15.403,15.578,13.73,14.193,2406206.41
37,1623369600000,14.193,14.616,13.14,13.408,1985298.581
38,1623456000000,13.423,14.0,12.638,13.545,1721108.689
39,1623542400000,13.551,14.999,13.241,14.761,1905070.736
40,1623628800000,14.762,15.419,14.371,15.113,1753753.579
41,1623715200000,15.111,15.632,14.581,14.714,1618961.454
42,1623801600000,14.715,14.951,13.913,14.078,1593156.605
43,1623888000000,14.081,15.498,14.02,14.844,2176578.341
44,1623974400000,14.858,15.3,13.1,13.64,1646645.548
45,1624060800000,13.635,14.04,13.209,13.383,677502.975
46,1624147200000,13.374,14.188,12.783,13.917,1178226.514
47,1624233600000,13.914,14.069,11.077,11.2,2203255.627
48,1624320000000,11.19,11.764,9.325,10.578,3283390.301
49,1624406400000,10.585,11.899,10.15,11.456,2090766.333
50,1624492800000,11.467,11.757,10.822,11.493,1288733.896
51,1624579200000,11.499,11.756,10.2,10.235,1369495.419
52,1624665600000,10.238,10.6,9.784,10.318,1136001.579
53,1624752000000,10.317,10.98,10.087,10.941,692604.829
54,1624838400000,10.953,11.469,10.694,11.322,1022964.874
55,1624924800000,11.333,12.348,11.077,11.92,1388415.123
56,1625011200000,11.921,12.166,11.035,11.949,1137246.751
57,1625097600000,11.94,12.08,11.0,11.181,717086.767
58,1625184000000,11.19,11.355,10.572,11.112,979100.755
59,1625270400000,11.117,11.676,10.878,11.509,737397.368
60,1625356800000,11.499,12.9,11.21,12.345,1361790.033
61,1625443200000,12.342,12.44,11.519,12.042,1408712.788
62,1625529600000,12.041,14.226,12.026,13.384,2391422.133
63,1625616000000,13.369,14.2,13.04,13.105,2048553.788
64,1625702400000,13.091,13.118,11.838,12.098,1467700.322
65,1625788800000,12.093,12.88,11.639,12.552,1365886.913
66,1625875200000,12.559,12.851,11.838,12.015,729693.403
67,1625961600000,12.023,12.49,11.912,12.433,574831.74
68,1626048000000,12.437,12.841,11.7,12.157,1105226.312
