,time,Open,High,Low,Close,Volume
0,1620172800000,5.1907,5.6732,5.1,5.3276,1307132.05
1,1620259200000,5.3238,5.3577,4.9882,5.1376,881349.63
2,1620345600000,5.1228,5.2212,4.936,5.0377,674615.99
3,1620432000000,5.0377,5.18,4.9336,5.0506,547413.99
4,1620518400000,5.0504,5.195,4.9063,5.074,697025.01
5,1620604800000,5.0877,5.2488,4.65,4.9036,1288675.08
6,1620691200000,4.8836,5.2835,4.66,5.0806,1057428.27
7,1620777600000,5.0895,5.6999,4.8851,4.9122,1773929.32
8,1620864000000,4.91,5.52,4.65,4.815,1646946.66
9,1620950400000,4.815,5.3234,4.6889,5.0029,1169113.5
10,1621036800000,5.0082,5.3977,4.67,4.7445,1494999.0
11,1621123200000,4.7634,5.35,4.23,4.6326,1646367.62
12,1621209600000,4.6313,4.8035,4.0001,4.426,1204335.07
13,1621296000000,4.4433,4.6629,4.15,4.22,623496.8
14,1621382400000,4.2365,4.3187,2.315,3.0439,2127749.99
15,1621468800000,3.0439,3.9396,2.75,3.5423,1149674.59
16,1621555200000,3.5423,3.715,2.43,2.9377,1416048.13
17,1621641600000,2.9364,3.182,2.5679,3.0028,845658.32
18,1621728000000,2.9964,3.245,2.123,2.4957,1927844.12
19,1621814400000,2.4958,3.4406,2.36,3.1128,2177590.54
20,1621900800000,3.1116,3.242,2.612,2.9519,1132661.57
21,1621987200000,2.9634,3.29,2.9098,3.1641,1013387.57
22,1622073600000,3.1634,3.4448,2.8446,3.1405,5702373.1
23,1622160000000,3.1516,3.3772,2.5802,2.7704,6913963.77
24,1622246400000,2.7838,2.8847,2.43,2.6214,584928.41
25,1622332800000,2.6207,2.8798,2.4528,2.731,651278.46
26,1622419200000,2.7164,2.9527,2.601,2.9105,426899.58
27,1622505600000,2.9021,2.9521,2.75,2.8913,392082.36
28,1622592000000,2.8998,3.089,2.8349,2.935,913506.91
29,1622678400000,2.9459,3.3529,2.9259,3.196,695318.08
30,1622764800000,3.1978,3.33,2.8625,3.0184,1031897.67
31,1622851200000,3.02,3.1714,2.7946,2.8812,614951.39
32,1622937600000,2.8681,3.0628,2.818,2.8685,646443.93
33,1623024000000,2.8685,2.9324,2.6,2.6059,464110.58
34,1623110400000,2.6028,2.7536,2.3088,2.7151,700895.92
35,1623196800000,2.7311,2.8999,2.5806,2.8849,811541.47
36,1623283200000,2.8839,3.065,2.769,2.8159,870239.22
37,1623369600000,2.8254,2.8606,2.52,2.5728,571813.38
38,1623456000000,2.5567,2.5977,2.3675,2.4926,405408.09
39,1623542400000,2.4831,2.9144,2.4021,2.8166,1493389.68
40,1623628800000,2.8158,2.9997,2.7,2.848,1021394.33
41,1623715200000,2.8387,2.982,2.8122,2.9508,727999.1
42,1623801600000,2.9486,3.9079,2.858,3.3598,13679046.86
43,1623888000000,3.36,3.5999,3.0216,3.0921,4025645.22
44,1623974400000,3.0921,3.1191,2.72,2.8143,1315557.11
45,1624060800000,2.8086,2.8657,2.7206,2.7539,429950.82
46,1624147200000,2.7615,2.7836,2.4399,2.6765,902100.52
47,1624233600000,2.6657,2.6811,2.1748,2.206,978571.73
48,1624320000000,2.1985,2.3702,1.8,2.1509,1487468.39
49,1624406400000,2.147,2.4294,2.0554,2.2071,1058533.14
50,1624492800000,2.2071,2.3482,2.1194,2.2827,563508.02
51,1624579200000,2.2827,2.3298,2.1001,2.1721,687584.65
52,1624665600000,2.1721,2.25,2.0057,2.1448,517550.34
