,time,Open,High,Low,Close,Volume
0,1620172800000,8.0716,8.7923,7.96,8.6501,2179905.13
1,1620259200000,8.6501,8.6659,7.6731,7.8894,1941344.99
2,1620345600000,7.8894,9.01,7.4157,8.3896,3068164.2
3,1620432000000,8.3901,8.999,8.1872,8.2626,2774532.74
4,1620518400000,8.2621,8.3868,7.6789,8.0754,1078564.85
5,1620604800000,8.0839,8.3013,6.8173,7.1796,2475007.96
6,1620691200000,7.1754,8.4447,6.9887,8.09,1907950.57
7,1620777600000,8.09,9.199,6.61,6.7962,4109634.88
8,1620864000000,6.7567,7.7799,6.21,6.9745,3358964.32
9,1620950400000,6.9571,7.497,6.86,7.0721,1221070.06
10,1621036800000,7.0611,7.1803,6.3679,6.5747,1284460.1
11,1621123200000,6.557,7.3316,6.0654,6.5009,1806121.41
12,1621209600000,6.5012,6.98,5.8636,6.5268,2788929.49
13,1621296000000,6.5306,7.1436,6.4,6.604,1894466.27
14,1621382400000,6.6219,6.72,1.808,3.9604,4442426.54
15,1621468800000,3.9604,4.9426,3.5378,4.705,2522951.82
16,1621555200000,4.7035,5.3547,3.6613,4.3414,4182080.49
17,1621641600000,4.3517,4.369,3.7,3.9245,1747139.89
18,1621728000000,3.9245,4.0609,2.73,3.3449,3428635.74
19,1621814400000,3.3454,4.3,3.3454,4.1867,3675987.61
20,1621900800000,4.1803,4.3789,3.7073,4.1435,2170258.45
21,1621987200000,4.1416,4.9151,3.9985,4.9151,3141481.09
22,1622073600000,4.9072,4.92,4.3,4.8121,2321529.42
23,1622160000000,4.8142,5.0301,4.022,4.1926,2682872.6
24,1622246400000,4.1963,6.0483,4.1858,4.7466,11179886.66
25,1622332800000,4.7485,4.8905,4.13,4.5338,6824683.2
26,1622419200000,4.5283,5.2991,4.4837,4.9429,7524046.94
27,1622505600000,4.9357,4.9652,4.55,4.6935,2919078.81
28,1622592000000,4.6935,4.7639,4.4813,4.7062,1543377.56
29,1622678400000,4.7088,4.825,4.5765,4.7911,1260189.46
30,1622764800000,4.7913,4.8676,4.1385,4.3521,1646796.49
31,1622851200000,4.3588,4.4999,4.0722,4.199,961066.87
32,1622937600000,4.199,4.4138,4.158,4.3694,628192.4
33,1623024000000,4.3759,4.5266,3.998,4.0354,1319804.49
34,1623110400000,4.02,4.1337,3.412,3.8617,1915839.23
35,1623196800000,3.8556,4.1024,3.546,4.0129,1739758.99
36,1623283200000,4.0138,4.198,3.767,3.949,2200711.01
37,1623369600000,3.9427,5.1379,3.9168,4.3183,10917428.44
38,1623456000000,4.3068,4.3176,3.7344,3.7885,2657384.38
39,1623542400000,3.7909,4.0465,3.6437,3.9863,1368722.12
40,1623628800000,3.9872,4.2694,3.8501,4.1801,2235022.9
41,1623715200000,4.18,4.523,4.041,4.4991,1962376.9
42,1623801600000,4.5,4.8807,4.1512,4.1935,3097464.31
43,1623888000000,4.193,4.75,4.164,4.7113,1750789.23
44,1623974400000,4.7108,5.0,4.2123,4.3835,3811771.49
45,1624060800000,4.3879,4.5353,4.1923,4.2089,1039086.69
46,1624147200000,4.2101,4.2781,3.8106,4.204,1716471.55
47,1624233600000,4.2057,4.2227,3.19,3.2,2272807.18
48,1624320000000,3.1928,3.6891,2.8577,3.1834,3849394.14
49,1624406400000,3.2015,3.8,3.0851,3.7084,2645106.64
50,1624492800000,3.7204,3.8541,3.4845,3.81,1619519.19
51,1624579200000,3.81,3.9389,3.3842,3.4265,1394225.28
52,1624665600000,3.424,3.6169,3.2525,3.5944,1280927.27
53,1624752000000,3.599,3.74,3.4701,3.7236,1150693.78
54,1624838400000,3.7258,4.0571,3.6611,3.971,1211254.39
55,1624924800000,3.971,4.8398,3.9623,4.6161,2299672.76
56,1625011200000,4.6166,5.88,4.4432,5.6709,7279305.32
57,1625097600000,5.6723,5.99,5.1771,5.7438,3287882.81
58,1625184000000,5.7401,6.3908,5.74,6.0684,5953260.26
59,1625270400000,6.0681,7.985,5.7813,7.7296,7477997.03
60,1625356800000,7.7309,9.8599,7.5538,8.7658,13892649.79
61,1625443200000,8.7661,8.9306,7.735,8.03,6349108.52
62,1625529600000,8.0414,11.9,8.0,10.8897,19691979.67
63,1625616000000,10.8896,16.7,10.4259,13.5773,31564558.23
64,1625702400000,13.5599,15.804,11.5723,12.0772,26096918.25
65,1625788800000,12.0756,16.75,11.2497,16.5423,30111010.04
66,1625875200000,16.5423,19.6,16.2718,17.6645,28414272.01
67,1625961600000,17.6717,19.16,16.0,18.9409,17438044.25
68,1626048000000,18.953,19.238,16.85,17.4843,11917701.86
69,1626134400000,17.4841,22.5555,17.3752,20.8123,26778119.82
70,1626220800000,20.8063,24.35,19.5,23.3231,22006708.02
71,1626307200000,23.3313,29.2,22.666,24.0193,28081311.41
72,1626393600000,24.0204,27.39,20.4535,20.9999,25427692.39
73,1626480000000,20.9999,21.209,17.3734,18.523,18978187.55
74,1626566400000,18.5323,20.9,17.3696,18.627,15357906.44
75,1626652800000,18.6271,19.0141,15.6122,17.0624,14719186.38
76,1626739200000,17.0562,17.2484,14.1355,15.009,13962951.22
77,1626825600000,15.0186,22.8,14.7238,22.3499,24733420.42
78,1626912000000,22.35,25.9778,21.9024,24.7944,27726272.03
79,1626998400000,24.8062,48.8,24.2662,42.5294,47018716.65
80,1627084800000,42.5409,49.7807,38.3449,42.1086,39402439.95
81,1627171200000,42.1638,44.1,37.5989,43.9341,18229312.75
82,1627257600000,43.9084,45.4861,35.0,40.8703,20801347.1
83,1627344000000,40.8861,53.5,36.2,46.8442,36740586.22
84,1627430400000,46.8442,50.5,44.41,45.6178,15673506.08
85,1627516800000,45.6216,46.88,41.5332,44.2,12432748.11
86,1627603200000,44.2195,45.3233,41.1787,43.2476,10028744.08
87,1627689600000,43.2224,45.7187,41.8,42.4886,8280404.5
88,1627776000000,42.477,42.8951,37.3622,37.7381,6640805.79
89,1627862400000,37.7137,42.88,37.7137,40.197,8770622.75
90,1627948800000,40.197,40.287,37.55,38.4,4366942.33
91,1628035200000,38.4052,46.0051,37.8,43.7819,12644078.22
92,1628121600000,43.7693,45.1045,41.0498,42.6126,5900218.85
93,1628208000000,42.6013,44.0,41.445,42.6268,4142289.11
94,1628294400000,42.6262,43.6329,40.1592,41.2951,4557742.04
95,1628380800000,41.3,47.49,40.1019,42.2301,7766872.79
96,1628467200000,42.2159,45.2,40.6596,43.549,5279523.76
97,1628553600000,43.5446,65.0,43.2908,64.2582,16059814.9
98,1628640000000,64.2856,77.4894,63.1951,66.3128,18351629.94
99,1628726400000,66.2281,71.4771,63.2141,69.2856,6852056.48
