,time,Open,High,Low,Close,Volume
0,1620172800000,30.976,34.94,30.776,33.962,142427.483
1,1620259200000,33.971,34.343,31.114,31.861,160311.158
2,1620345600000,31.739,47.739,31.035,34.366,1046195.594
3,1620432000000,34.306,43.665,33.888,37.953,1353144.959
4,1620518400000,37.926,38.26,33.948,35.175,475809.036
5,1620604800000,35.175,36.448,29.938,31.698,246143.789
6,1620691200000,31.789,32.745,30.075,32.473,124949.565
7,1620777600000,32.469,37.492,28.79,29.521,311079.926
8,1620864000000,29.52,33.8,27.034,28.849,229746.324
9,1620950400000,28.865,31.501,28.697,29.711,137899.426
10,1621036800000,29.711,30.797,26.406,26.534,83884.509
11,1621123200000,26.651,29.463,24.873,26.158,106238.509
12,1621209600000,26.222,26.648,23.621,24.531,106847.679
13,1621296000000,24.616,27.0,23.681,25.081,211011.172
14,1621382400000,25.09,25.435,3.063,16.254,367055.535
15,1621468800000,16.254,19.794,15.093,18.251,261533.166
16,1621555200000,18.264,19.5,13.254,15.025,236077.397
17,1621641600000,15.078,15.428,13.137,13.74,146051.093
18,1621728000000,13.74,14.032,8.2,10.51,233389.61
19,1621814400000,10.511,12.949,10.345,12.531,190583.03
20,1621900800000,12.531,13.234,11.192,12.857,214199.313
21,1621987200000,12.821,15.311,12.686,14.885,372111.662
22,1622073600000,14.885,14.888,13.268,13.535,149783.042
23,1622160000000,13.517,13.651,10.999,11.655,158562.164
24,1622246400000,11.655,12.164,10.6,11.01,120635.663
25,1622332800000,11.001,12.315,10.6,11.828,82479.413
26,1622419200000,11.753,12.938,11.1,12.588,129328.883
27,1622505600000,12.619,12.88,11.505,12.688,99287.735
28,1622592000000,12.762,20.538,12.272,17.977,2209214.393
29,1622678400000,17.975,19.54,17.147,17.95,1017558.846
30,1622764800000,17.895,18.016,14.716,15.897,367596.03
31,1622851200000,15.953,17.204,14.84,15.32,289077.974
32,1622937600000,15.32,16.253,14.936,15.209,204259.417
33,1623024000000,15.209,16.248,13.45,13.583,260318.303
34,1623110400000,13.668,14.008,11.642,13.0,218435.573
35,1623196800000,12.971,16.015,12.18,14.839,458274.467
36,1623283200000,14.78,15.2,13.05,13.617,238025.013
37,1623369600000,13.538,14.421,12.517,12.82,221272.288
38,1623456000000,12.786,12.903,11.701,12.233,96888.585
39,1623542400000,12.297,13.472,11.74,13.101,81857.74
40,1623628800000,13.157,14.287,12.865,13.928,103503.915
41,1623715200000,13.929,14.7,13.319,13.627,173795.558
42,1623801600000,13.551,13.993,12.717,12.885,83514.532
43,1623888000000,12.885,13.575,12.532,12.903,86571.273
44,1623974400000,12.935,12.962,11.362,11.739,94444.865
45,1624060800000,11.739,14.0,11.249,12.256,357518.018
46,1624147200000,12.295,12.629,11.3,12.136,220548.627
47,1624233600000,12.147,12.168,9.149,9.149,254135.213
48,1624320000000,9.199,9.911,7.635,7.949,289013.361
