,time,Open,High,Low,Close,Volume
0,1620172800000,6.0285,6.8,5.92,6.1636,16734240.0
1,1620259200000,6.1609,6.49,5.5,5.751,20819308.5
2,1620345600000,5.7459,6.5,5.0,6.2626,29707364.5
3,1620432000000,6.2448,7.3842,5.9915,6.4318,34642355.4
4,1620518400000,6.4262,6.94,5.86,6.1247,17023575.8
5,1620604800000,6.1155,6.507,5.255,5.3831,16785850.3
6,1620691200000,5.3832,6.15,5.1,6.05,13212914.6
7,1620777600000,6.053,6.4,4.622,4.6939,16357471.0
8,1620864000000,4.7,5.4244,4.5,4.88,16448755.6
9,1620950400000,4.88,6.05,4.822,5.7219,20900027.7
10,1621036800000,5.7219,6.62,5.4343,5.71,27392888.7
11,1621123200000,5.6901,7.97,5.61,7.2357,46176886.6
12,1621209600000,7.2383,7.5,6.07,6.7209,34013119.1
13,1621296000000,6.7152,7.27,5.9901,6.535,25065121.1
14,1621382400000,6.5401,6.6495,3.3,4.0439,42228142.2
15,1621468800000,4.0437,5.4395,3.3333,4.9089,34898700.7
16,1621555200000,4.9129,5.224,2.9934,3.6872,39345111.4
17,1621641600000,3.6871,3.85,3.01,3.0756,24293267.3
18,1621728000000,3.0809,3.218,1.86,2.355,48243072.3
19,1621814400000,2.3588,3.547,2.3168,3.3247,56465970.0
20,1621900800000,3.3235,3.82,3.009,3.5208,43010470.3
21,1621987200000,3.513,4.4444,3.42,4.4428,34945395.8
22,1622073600000,4.4444,5.15,3.7206,4.8303,44536732.0
23,1622160000000,4.8303,5.1,3.95,4.455,54897880.4
24,1622246400000,4.4554,4.7889,3.7145,4.0864,35535604.7
25,1622332800000,4.0865,4.2972,3.6761,4.0718,30038414.7
26,1622419200000,4.0693,4.229,3.6,4.1434,27001975.1
27,1622505600000,4.1434,4.45,3.9036,4.0504,18908556.4
28,1622592000000,4.0505,4.43,3.91,4.1851,19947849.2
29,1622678400000,4.1898,4.61,4.1297,4.4914,17449680.6
30,1622764800000,4.496,4.5281,3.7,3.8968,17026938.7
31,1622851200000,3.8881,4.1993,3.66,3.8026,14966053.7
32,1622937600000,3.8051,3.8921,3.5565,3.7657,10117851.0
33,1623024000000,3.7615,4.0,3.2047,3.2628,18332761.2
34,1623110400000,3.2628,3.41,2.6888,3.0204,30637393.9
35,1623196800000,3.0205,3.3246,2.8075,3.292,27631504.2
36,1623283200000,3.2939,3.332,2.8,2.9476,18257159.7
37,1623369600000,2.9485,3.6731,2.81,3.1849,46858015.4
38,1623456000000,3.1828,3.2217,2.8231,3.0069,27044153.4
39,1623542400000,3.01,3.326,2.9062,3.1914,15479263.0
40,1623628800000,3.1909,3.3952,3.1233,3.3465,15418430.1
41,1623715200000,3.3426,3.4847,3.1718,3.252,13249917.5
42,1623801600000,3.2514,3.2514,2.95,3.0251,13112991.6
43,1623888000000,3.0233,3.2321,3.0109,3.1201,12119221.3
44,1623974400000,3.1242,3.19,2.7891,2.9226,14747576.6
45,1624060800000,2.9199,2.9632,2.801,2.8678,8728730.8
46,1624147200000,2.8691,2.928,2.5803,2.8403,13374656.6
47,1624233600000,2.8447,2.8667,2.0302,2.0782,28943692.0
48,1624320000000,2.0796,2.3379,1.5639,1.8339,47742925.4
49,1624406400000,1.8356,2.555,1.7528,2.5195,44602671.9
50,1624492800000,2.5203,2.69,2.1665,2.2403,40012370.3
51,1624579200000,2.2405,2.3385,1.809,1.9159,30959095.3
52,1624665600000,1.9131,1.9589,1.7148,1.8504,22773703.1
53,1624752000000,1.8523,1.9598,1.7303,1.9372,21620442.1
54,1624838400000,1.9395,1.9617,1.7825,1.8582,19696919.7
55,1624924800000,1.8579,2.195,1.831,2.0255,27720815.0
56,1625011200000,2.0265,2.0536,1.8168,1.939,18578128.2
57,1625097600000,1.9373,1.95,1.7576,1.8026,12800964.9
58,1625184000000,1.8012,1.8275,1.6672,1.7567,10241134.7
59,1625270400000,1.7565,1.887,1.727,1.8224,11862157.1
60,1625356800000,1.8205,2.18,1.7946,2.0143,24895457.7
61,1625443200000,2.0168,2.0168,1.8032,1.8484,20162029.7
62,1625529600000,1.8497,2.068,1.843,2.0147,27839190.3
63,1625616000000,2.0135,2.4485,1.96,2.1945,53284783.5
64,1625702400000,2.1968,2.4049,1.9671,1.9958,54621795.5
65,1625788800000,1.9966,2.1452,1.8578,2.0799,25063302.7
66,1625875200000,2.0781,2.1978,1.9352,1.9934,24052106.1
67,1625961600000,1.9946,2.0796,1.91,2.0136,13003183.9
68,1626048000000,2.014,2.1699,1.9121,1.9727,18265590.7
69,1626134400000,1.9741,2.0179,1.8615,1.9096,10628677.3
70,1626220800000,1.9099,1.9501,1.7508,1.8958,15773634.4
71,1626307200000,1.8946,2.3899,1.89,2.2472,84085130.9
72,1626393600000,2.244,2.3904,1.9301,1.9406,53030146.2
73,1626480000000,1.9411,1.9696,1.8135,1.8765,19750096.5
74,1626566400000,1.8769,1.9778,1.8166,1.8592,14185953.7
75,1626652800000,1.8585,1.87,1.6301,1.6762,13396774.6
76,1626739200000,1.6775,1.7,1.443,1.5734,18350422.6
77,1626825600000,1.5745,1.7533,1.534,1.702,16205697.8
78,1626912000000,1.7028,1.7794,1.6338,1.7233,19495922.5
79,1626998400000,1.7233,1.855,1.6465,1.8341,18066399.3
80,1627084800000,1.8342,2.0737,1.783,1.9464,37907148.9
81,1627171200000,1.9469,2.07,1.8396,1.9779,29743092.9
82,1627257600000,1.9779,2.2194,1.8989,1.9175,37819965.1
83,1627344000000,1.9174,1.9851,1.7982,1.9593,21452075.1
84,1627430400000,1.9593,2.0198,1.873,1.9152,18309376.4
85,1627516800000,1.9158,1.9514,1.8524,1.9141,13624324.6
86,1627603200000,1.9148,1.975,1.8149,1.9557,13594995.7
87,1627689600000,1.9557,2.085,1.8802,2.0132,22194906.5
88,1627776000000,2.0157,2.21,1.97,2.0035,32045316.5
89,1627862400000,2.0047,2.0596,1.917,1.999,17191627.7
90,1627948800000,1.9978,2.0379,1.8763,1.9227,11816990.6
91,1628035200000,1.9227,2.055,1.89,2.0487,14827162.2
92,1628121600000,2.0497,2.1909,1.9421,2.1517,23386530.6
93,1628208000000,2.1516,2.2745,2.045,2.2385,29516664.7
94,1628294400000,2.2398,2.4342,2.17,2.3514,31907382.2
95,1628380800000,2.3513,2.396,2.1117,2.1593,21017238.5
96,1628467200000,2.1609,2.4141,2.0893,2.3351,22680620.9
97,1628553600000,2.3342,2.5289,2.2801,2.4647,32436915.7
98,1628640000000,2.465,2.685,2.4567,2.5,30019816.7
99,1628726400000,2.5,2.6198,2.349,2.3664,15033374.5
