,time,Open,High,Low,Close,Volume
0,1620172800000,65.068,68.775,64.039,68.753,239552.298
1,1620259200000,68.677,69.192,64.537,66.555,141725.496
2,1620345600000,66.554,68.11,63.296,64.771,136805.603
3,1620432000000,64.757,71.243,63.726,69.643,150799.623
4,1620518400000,69.656,70.867,64.071,66.27,153515.698
5,1620604800000,66.277,69.374,57.33,61.631,199613.037
6,1620691200000,61.583,74.6,58.81,70.597,298646.762
7,1620777600000,70.575,73.947,60.025,61.702,317755.563
8,1620864000000,61.712,66.397,56.479,59.871,220866.507
9,1620950400000,59.887,65.999,59.437,63.251,141437.119
10,1621036800000,63.308,64.154,56.016,56.356,111630.677
11,1621123200000,56.638,59.808,50.703,54.017,131392.246
12,1621209600000,54.017,54.544,47.253,48.525,165620.131
13,1621296000000,48.597,56.0,48.102,49.675,114839.284
14,1621382400000,49.665,50.87,24.939,33.681,441784.709
15,1621468800000,33.702,41.36,29.507,38.322,328761.743
16,1621555200000,38.312,40.615,28.586,32.861,222862.586
17,1621641600000,32.8,33.388,28.584,29.916,128015.147
18,1621728000000,29.929,30.988,21.284,25.396,216394.539
19,1621814400000,25.429,32.058,25.154,31.814,165272.71
20,1621900800000,31.702,33.066,28.162,31.717,139385.541
21,1621987200000,31.775,33.994,31.243,33.928,89804.207
22,1622073600000,33.931,34.179,30.775,31.472,143148.813
23,1622160000000,31.586,31.915,27.157,28.237,119463.131
24,1622246400000,28.21,30.494,25.909,26.837,165205.611
25,1622332800000,26.856,29.025,25.367,27.648,47521.439
26,1622419200000,27.617,30.999,26.327,30.757,116897.105
27,1622505600000,30.649,31.093,27.918,29.076,86738.596
28,1622592000000,29.081,31.682,28.265,30.558,126459.972
29,1622678400000,30.532,32.37,29.942,31.799,97511.433
30,1622764800000,31.798,31.81,28.143,29.095,128428.948
31,1622851200000,29.167,30.613,27.443,28.545,57749.974
32,1622937600000,28.45,29.532,28.313,29.108,27802.87
33,1623024000000,29.11,30.932,26.714,27.168,137713.768
34,1623110400000,27.161,27.558,23.557,25.185,117075.951
35,1623196800000,25.146,26.655,24.003,26.276,97770.541
36,1623283200000,26.305,26.386,23.966,24.513,94594.586
37,1623369600000,24.53,24.779,22.668,23.061,56627.208
38,1623456000000,23.092,23.352,21.63,22.454,79671.547
39,1623542400000,22.524,23.95,21.821,23.798,49219.004
40,1623628800000,23.796,24.71,23.281,24.275,79672.139
41,1623715200000,24.275,25.201,23.536,23.936,116703.676
42,1623801600000,23.924,24.071,22.072,22.268,74567.004
43,1623888000000,22.295,23.311,21.777,22.327,52990.527
44,1623974400000,22.386,22.421,18.76,19.658,146952.514
45,1624060800000,19.686,20.179,18.79,18.818,89420.41
46,1624147200000,18.805,19.67,17.513,19.399,83005.05
47,1624233600000,19.401,19.61,15.114,15.433,182420.235
48,1624320000000,15.408,16.682,13.588,16.306,260863.879
49,1624406400000,16.271,17.792,15.526,16.79,151169.695
50,1624492800000,16.814,18.297,16.222,18.052,244878.069
51,1624579200000,18.058,18.273,15.766,15.846,108221.586
52,1624665600000,15.844,16.396,14.538,15.164,327511.686
53,1624752000000,15.163,16.421,14.9,16.372,95642.282
54,1624838400000,16.408,19.853,16.235,18.8,440070.1
55,1624924800000,18.8,21.615,18.744,20.567,294824.032
56,1625011200000,20.538,22.418,19.22,22.226,441233.314
57,1625097600000,22.24,22.254,19.757,20.112,174213.664
58,1625184000000,20.082,21.518,19.275,21.229,118512.759
59,1625270400000,21.222,23.749,20.847,22.486,234382.144
60,1625356800000,22.444,26.0,22.05,25.242,397438.404
61,1625443200000,25.235,25.615,23.599,24.305,255847.143
62,1625529600000,24.354,26.423,24.299,24.888,191712.912
63,1625616000000,24.862,25.6,24.278,24.399,180955.336
64,1625702400000,24.406,24.473,21.654,22.154,143343.765
65,1625788800000,22.079,22.828,21.265,22.357,55532.261
66,1625875200000,22.361,22.941,21.384,21.872,48016.612
67,1625961600000,21.864,22.361,21.404,21.996,29115.305
68,1626048000000,22.016,23.063,20.405,20.871,94420.16
69,1626134400000,20.822,20.989,19.573,19.865,68019.802
70,1626220800000,19.885,20.5,18.594,19.973,62314.749
71,1626307200000,19.994,20.402,18.655,18.917,61156.107
72,1626393600000,18.915,19.211,17.558,17.584,48331.8
73,1626480000000,17.58,18.321,17.321,17.75,73133.987
74,1626566400000,17.784,20.466,17.735,18.232,269902.154
75,1626652800000,18.218,18.415,16.895,17.013,183446.961
76,1626739200000,17.017,17.3,15.819,16.062,130582.747
77,1626825600000,16.055,18.213,15.718,17.669,152239.293
78,1626912000000,17.67,18.489,17.25,17.885,123788.612
79,1626998400000,17.885,18.683,17.482,18.656,98953.601
80,1627084800000,18.656,19.476,18.424,19.202,171884.651
81,1627171200000,19.209,19.313,18.189,19.119,80900.891
82,1627257600000,19.122,21.595,18.998,19.6,268092.352
83,1627344000000,19.608,20.259,18.8,20.085,94911.126
84,1627430400000,20.055,20.511,19.55,19.878,107610.006
85,1627516800000,19.913,20.342,19.339,20.163,71122.144
86,1627603200000,20.18,20.777,19.467,20.721,90674.579
87,1627689600000,20.734,21.796,20.32,21.562,124003.409
88,1627776000000,21.648,23.185,20.821,21.319,450958.153
89,1627862400000,21.35,22.749,20.975,22.048,121516.398
90,1627948800000,22.054,22.799,20.456,21.647,479644.023
91,1628035200000,21.658,23.039,21.311,22.671,284873.635
92,1628121600000,22.695,24.395,21.908,24.018,537035.891
93,1628208000000,24.052,26.1,23.446,25.096,643682.282
94,1628294400000,25.089,26.718,24.52,26.075,392222.631
