,time,Open,High,Low,Close,Volume
0,1620172800000,18.266,20.673,17.871,19.337,4445053.044
1,1620259200000,19.353,19.78,17.709,18.317,2615405.913
2,1620345600000,18.33,19.278,17.371,17.872,2379040.025
3,1620432000000,17.872,18.424,17.211,17.721,1422442.647
4,1620518400000,17.721,18.093,16.516,17.713,2154800.616
5,1620604800000,17.715,18.435,15.12,16.119,2542906.43
6,1620691200000,16.131,16.97,15.601,16.826,1429274.578
7,1620777600000,16.847,17.98,13.927,14.349,3102130.642
8,1620864000000,14.348,16.048,13.15,14.619,2621874.211
9,1620950400000,14.624,15.935,14.417,15.233,1416086.481
10,1621036800000,15.218,15.507,13.738,13.838,1333987.511
11,1621123200000,13.825,15.254,13.042,14.065,1495000.829
12,1621209600000,14.037,14.1,12.094,12.497,1753975.493
13,1621296000000,12.512,14.31,12.381,13.758,1682418.837
14,1621382400000,13.729,13.981,5.5,8.931,6922979.058
15,1621468800000,8.931,10.844,7.8,10.264,3260590.718
16,1621555200000,10.255,10.73,7.153,8.448,3310639.839
17,1621641600000,8.436,8.638,7.34,7.998,1645059.544
18,1621728000000,7.987,8.274,5.24,6.826,3509828.227
19,1621814400000,6.826,8.354,6.59,8.2,2430707.504
20,1621900800000,8.2,8.625,7.235,8.08,1871750.75
21,1621987200000,8.07,9.413,7.887,9.178,1775139.229
22,1622073600000,9.18,9.558,8.149,8.668,1703126.163
23,1622160000000,8.675,8.796,7.154,7.511,1808249.364
24,1622246400000,7.51,7.847,6.401,6.798,1426163.298
25,1622332800000,6.794,7.631,6.33,7.391,1131658.45
26,1622419200000,7.386,9.988,6.971,8.965,11320204.793
27,1622505600000,8.973,9.15,8.218,8.56,3103514.86
28,1622592000000,8.56,9.093,8.132,8.59,1878484.81
29,1622678400000,8.589,9.44,8.461,9.136,1879751.207
30,1622764800000,9.143,9.143,7.955,8.214,1247499.653
31,1622851200000,8.205,8.7,7.648,7.938,1353571.854
32,1622937600000,7.932,8.134,7.81,8.092,662368.832
33,1623024000000,8.086,8.384,7.182,7.273,1193982.312
34,1623110400000,7.268,7.425,6.407,7.065,1820561.789
35,1623196800000,7.073,7.889,6.77,7.754,1702287.521
36,1623283200000,7.756,7.802,7.025,7.115,967242.727
37,1623369600000,7.11,7.266,6.421,6.563,1107113.207
38,1623456000000,6.559,6.789,6.075,6.517,1375396.949
39,1623542400000,6.522,6.992,6.166,6.955,1158083.353
40,1623628800000,6.961,7.303,6.713,7.293,1256039.705
41,1623715200000,7.296,7.989,7.231,7.29,1822057.169
42,1623801600000,7.29,7.435,6.765,6.859,1291117.536
43,1623888000000,6.865,7.247,6.657,6.978,896322.481
44,1623974400000,6.974,7.032,6.13,6.375,1194763.365
45,1624060800000,6.373,6.5,6.063,6.071,839103.286
46,1624147200000,6.066,6.318,5.719,6.177,987093.33
47,1624233600000,6.177,6.242,4.85,4.861,1631624.155
48,1624320000000,4.862,5.249,4.064,4.739,2553162.41
49,1624406400000,4.743,5.469,4.53,5.453,2002300.629
50,1624492800000,5.456,5.711,5.076,5.644,1363897.054
51,1624579200000,5.644,5.774,5.028,5.062,1650428.538
52,1624665600000,5.061,5.224,4.56,4.895,2280179.631
53,1624752000000,4.89,5.22,4.673,5.168,1070599.227
54,1624838400000,5.17,5.54,5.019,5.262,1445751.981
55,1624924800000,5.263,6.083,5.24,6.056,1957575.612
56,1625011200000,6.056,6.115,5.537,5.957,1535252.003
57,1625097600000,5.962,5.963,5.34,5.511,1210925.234
58,1625184000000,5.507,5.606,5.224,5.565,644655.697
59,1625270400000,5.566,5.83,5.457,5.772,685830.854
60,1625356800000,5.77,6.48,5.651,6.238,1417403.151
61,1625443200000,6.238,6.335,5.778,5.995,1293340.75
62,1625529600000,5.999,6.76,5.987,6.388,1472338.483
63,1625616000000,6.383,7.163,6.249,6.698,1602646.765
64,1625702400000,6.698,6.748,6.003,6.106,1435817.257
65,1625788800000,6.105,6.752,5.825,6.588,1097007.956
66,1625875200000,6.595,6.843,6.141,6.296,1027042.342
67,1625961600000,6.289,6.95,6.195,6.698,1306484.032
68,1626048000000,6.7,6.701,6.167,6.385,910703.31
69,1626134400000,6.386,6.914,6.229,6.355,1704635.315
70,1626220800000,6.351,6.395,5.735,5.99,1069682.869
71,1626307200000,5.988,6.125,5.457,5.547,1033717.052
72,1626393600000,5.546,5.679,5.039,5.07,1047661.473
73,1626480000000,5.071,5.186,4.945,5.096,579142.538
74,1626566400000,5.099,5.321,4.939,4.965,687952.922
75,1626652800000,4.967,5.157,4.647,4.75,796680.199
76,1626739200000,4.748,4.854,4.223,4.388,878823.955
77,1626825600000,4.392,5.175,4.283,5.1,788060.217
78,1626912000000,5.1,5.2,4.901,5.063,821620.102
79,1626998400000,5.063,5.313,4.881,5.294,884191.076
80,1627084800000,5.3,5.629,5.22,5.419,998099.977
81,1627171200000,5.417,5.464,5.095,5.412,636918.859
82,1627257600000,5.408,6.064,5.377,5.42,1625583.327
83,1627344000000,5.417,5.849,5.259,5.776,939389.079
84,1627430400000,5.764,5.902,5.528,5.664,633783.124
85,1627516800000,5.659,6.539,5.526,6.334,2047943.025
86,1627603200000,6.337,6.375,5.81,6.307,1227199.118
87,1627689600000,6.308,6.588,6.114,6.476,783084.633
88,1627776000000,6.479,6.776,6.076,6.175,1253676.56
89,1627862400000,6.174,6.436,6.071,6.201,765624.543
90,1627948800000,6.21,6.645,5.96,6.375,1370633.799
91,1628035200000,6.379,6.635,6.154,6.482,902135.655
92,1628121600000,6.476,7.244,6.325,7.084,1992303.678
93,1628208000000,7.087,7.548,6.887,7.289,1430035.385
94,1628294400000,7.292,7.727,7.091,7.407,1569470.114
95,1628380800000,7.411,7.57,6.845,6.926,1306546.312
96,1628467200000,6.929,7.426,6.74,7.334,1272220.27
97,1628553600000,7.332,8.796,7.195,8.194,3160858.902
98,1628640000000,8.193,8.605,7.931,8.055,1651726.492
99,1628726400000,8.046,8.339,7.673,7.767,747350.934
