,time,Open,High,Low,Close,Volume
0,1620172800000,1.1652,1.374,1.1565,1.3631,34366102.73
1,1620259200000,1.3635,1.45,1.326,1.4039,42571826.38
2,1620345600000,1.4029,1.5948,1.3518,1.4064,58692939.48
3,1620432000000,1.4071,1.517,1.3793,1.4183,28042547.97
4,1620518400000,1.4183,1.4644,1.3345,1.4119,24914810.34
5,1620604800000,1.411,1.4974,1.2379,1.3121,35539233.4
6,1620691200000,1.312,1.3984,1.2585,1.3969,25357563.35
7,1620777600000,1.3969,1.417,1.15,1.1644,24645396.46
8,1620864000000,1.1653,1.2525,1.088,1.1933,32440820.65
9,1620950400000,1.191,1.25,1.175,1.2186,16856254.17
10,1621036800000,1.2182,1.23,1.1244,1.1358,16872117.38
11,1621123200000,1.1354,1.2399,1.0762,1.1424,21275837.2
12,1621209600000,1.1421,1.1445,1.02,1.0591,22140278.37
13,1621296000000,1.0571,1.1426,1.0481,1.1057,15619640.85
14,1621382400000,1.1056,1.1189,0.5629,0.7447,60337907.48
15,1621468800000,0.7451,0.9173,0.6616,0.8761,37979385.95
16,1621555200000,0.8755,0.9193,0.6486,0.7547,39722671.48
17,1621641600000,0.755,0.7648,0.652,0.6804,26771159.33
18,1621728000000,0.6806,0.7086,0.4541,0.5576,50330774.78
19,1621814400000,0.5588,0.7454,0.5471,0.7258,36694512.98
20,1621900800000,0.7263,0.7731,0.66,0.7376,22408633.41
21,1621987200000,0.737,0.8887,0.7328,0.8887,25297626.12
22,1622073600000,0.8887,0.93,0.7918,0.8445,31338052.37
23,1622160000000,0.8449,0.856,0.7009,0.7482,25859323.19
24,1622246400000,0.7471,0.7881,0.6394,0.6811,19190114.6
25,1622332800000,0.6803,0.7403,0.6359,0.7036,14438359.98
26,1622419200000,0.7036,0.7681,0.6675,0.7679,13648087.96
27,1622505600000,0.7673,0.775,0.7225,0.747,12224651.15
28,1622592000000,0.7472,0.8475,0.7324,0.7969,21380592.73
29,1622678400000,0.797,0.85,0.7866,0.83,12880206.93
30,1622764800000,0.8304,0.8307,0.7152,0.7609,17115084.07
31,1622851200000,0.7607,0.8191,0.7188,0.7506,15375892.29
32,1622937600000,0.7508,0.7786,0.7418,0.7628,8344119.9
33,1623024000000,0.7625,0.7999,0.6879,0.6948,14150596.86
34,1623110400000,0.6946,0.7087,0.6061,0.6696,20816045.12
35,1623196800000,0.6692,0.7038,0.6349,0.7029,12771071.03
36,1623283200000,0.703,0.7082,0.6452,0.6643,9886878.53
37,1623369600000,0.6644,0.719,0.6391,0.6466,17357058.81
38,1623456000000,0.6467,0.6478,0.5916,0.6168,14755802.68
39,1623542400000,0.6168,0.66,0.5973,0.6486,12391091.7
40,1623628800000,0.6486,0.677,0.6382,0.6716,12787488.22
