,time,Open,High,Low,Close,Volume
0,1620172800000,2.49,2.56,0.79,0.81,28114508.53
1,1620259200000,0.83,1.1,0.52,0.6,79105577.05
2,1620345600000,0.6,0.93,0.6,0.8,50386987.7
3,1620432000000,0.81,0.84,0.63,0.7,43280135.89
4,1620518400000,0.71,0.91,0.65,0.68,27805732.63
5,1620604800000,0.68,0.96,0.53,0.77,52995555.66
6,1620691200000,0.77,0.8,0.48,0.49,52228843.33
7,1620777600000,0.48,0.89,0.4,0.83,69566466.63
8,1620864000000,0.83,0.98,0.63,0.77,62460006.98
9,1620950400000,0.77,0.82,0.61,0.67,26315521.53
10,1621036800000,0.66,0.84,0.62,0.82,23649177.68
11,1621123200000,0.83,0.94,0.67,0.81,26484598.95
12,1621209600000,0.81,1.17,0.81,0.95,31616437.09
13,1621296000000,0.95,1.0,0.73,0.84,22155565.08
14,1621382400000,0.85,4.41,0.5,1.17,65052614.98
15,1621468800000,1.17,1.51,0.582,0.644,39314016.54
16,1621555200000,0.647,1.28,0.575,0.946,11132764.01
17,1621641600000,0.946,1.305,0.786,1.11,5820186.2
18,1621728000000,1.11,1.972,0.996,1.41,6665722.13
19,1621814400000,1.41,1.498,0.65,0.66,4436058.27
20,1621900800000,0.657,0.833,0.58,0.73,5141372.92
21,1621987200000,0.73,0.759,0.586,0.639,2960372.47
22,1622073600000,0.636,0.772,0.548,0.655,3427447.18
23,1622160000000,0.662,0.829,0.635,0.757,3934261.39
24,1622246400000,0.757,0.922,0.685,0.842,1725877.96
25,1622332800000,0.837,0.922,0.748,0.804,1685224.85
26,1622419200000,0.822,0.887,0.665,0.686,2329913.78
27,1622505600000,0.694,0.773,0.642,0.722,1937629.57
28,1622592000000,0.712,0.757,0.654,0.7,1085266.52
29,1622678400000,0.7,0.722,0.606,0.651,1109924.62
30,1622764800000,0.651,0.82,0.651,0.752,2109288.16
31,1622851200000,0.752,0.845,0.702,0.81,1360611.8
32,1622937600000,0.81,0.82,0.753,0.794,686163.89
33,1623024000000,0.789,0.973,0.75,0.955,781507.2
34,1623110400000,0.958,1.115,0.922,0.956,1532312.38
35,1623196800000,0.957,1.044,0.833,0.848,1201259.01
36,1623283200000,0.833,0.975,0.82,0.933,1348332.05
37,1623369600000,0.94,1.036,0.906,1.018,818115.88
38,1623456000000,1.016,1.11,0.96,0.998,926325.75
39,1623542400000,0.989,1.072,0.88,0.88,708302.96
40,1623628800000,0.88,0.933,0.794,0.794,1157149.17
41,1623715200000,0.791,0.876,0.761,0.841,1023639.71
42,1623801600000,0.841,0.963,0.839,0.96,1133772.01
43,1623888000000,0.948,0.979,0.863,0.935,785427.65
44,1623974400000,0.935,1.105,0.934,1.045,1286760.34
45,1624060800000,1.048,1.084,0.975,1.083,977316.63
46,1624147200000,1.083,1.242,1.053,1.066,1452309.1
