,time,Open,High,Low,Close,Volume
0,1620172800000,8.9,22.94,8.64,22.22,2423198.97
1,1620259200000,22.19,26.83,14.77,23.42,3789098.28
2,1620345600000,23.23,23.3,15.32,17.42,704429.21
3,1620432000000,17.38,20.85,16.57,19.04,634048.5
4,1620518400000,18.94,19.89,16.32,19.89,805359.88
5,1620604800000,19.81,23.41,13.37,16.74,818150.32
6,1620691200000,16.64,23.13,16.16,23.13,789566.94
7,1620777600000,23.13,26.0,13.34,14.25,1022737.3
8,1620864000000,14.26,16.42,12.27,14.84,943952.28
9,1620950400000,14.82,16.61,14.29,15.57,383412.89
10,1621036800000,15.53,16.25,13.14,13.31,399406.12
11,1621123200000,13.32,15.16,12.14,13.26,616595.77
12,1621209600000,13.26,13.28,10.43,11.69,461081.32
13,1621296000000,11.75,13.45,11.4,12.01,705163.67
14,1621382400000,12.04,12.4,0.27,0.71,103577923.94
15,1621468800000,0.71,0.962,0.59,0.895,31893202.7
16,1621555200000,0.896,0.95,0.553,0.689,5870373.09
17,1621641600000,0.69,0.728,0.553,0.594,3312416.25
18,1621728000000,0.593,0.64,0.377,0.484,5656323.89
19,1621814400000,0.482,0.794,0.463,0.779,9113557.29
20,1621900800000,0.786,0.846,0.654,0.73,4343027.26
21,1621987200000,0.732,0.833,0.711,0.792,4157177.73
22,1622073600000,0.793,0.862,0.702,0.779,2636529.97
23,1622160000000,0.775,0.793,0.626,0.68,6140239.38
24,1622246400000,0.685,0.737,0.549,0.61,2356827.04
25,1622332800000,0.608,0.677,0.549,0.626,1759428.33
26,1622419200000,0.622,0.709,0.579,0.691,3962984.4
27,1622505600000,0.691,0.726,0.631,0.67,1714019.5
28,1622592000000,0.676,0.721,0.645,0.686,844000.45
29,1622678400000,0.685,0.756,0.668,0.72,955615.21
30,1622764800000,0.719,0.724,0.585,0.633,1953945.77
31,1622851200000,0.636,0.669,0.568,0.595,1661208.39
32,1622937600000,0.595,0.633,0.587,0.606,772942.83
33,1623024000000,0.605,0.633,0.488,0.498,1703167.61
34,1623110400000,0.497,0.509,0.414,0.492,3453833.61
35,1623196800000,0.493,0.548,0.448,0.546,2930798.01
36,1623283200000,0.547,0.555,0.484,0.504,1181105.24
37,1623369600000,0.5,0.515,0.457,0.466,1239642.6
38,1623456000000,0.465,0.486,0.425,0.472,820219.81
39,1623542400000,0.472,0.521,0.442,0.517,1045279.78
40,1623628800000,0.521,0.553,0.496,0.553,1662544.64
41,1623715200000,0.554,0.567,0.519,0.539,1131180.25
42,1623801600000,0.533,0.535,0.484,0.488,2426908.42
43,1623888000000,0.49,0.531,0.477,0.498,1681257.29
44,1623974400000,0.498,0.499,0.425,0.449,1037304.59
45,1624060800000,0.448,0.472,0.433,0.433,664929.79
46,1624147200000,0.431,0.446,0.383,0.439,1634647.04
47,1624233600000,0.439,0.441,0.307,0.309,2725718.3
48,1624320000000,0.309,0.334,0.23,0.289,7033128.67
49,1624406400000,0.289,0.333,0.272,0.318,2271358.95
50,1624492800000,0.32,0.344,0.302,0.329,1530821.23
51,1624579200000,0.335,0.345,0.292,0.297,2457612.97
52,1624665600000,0.293,0.31,0.27,0.303,2009794.72
53,1624752000000,0.304,0.328,0.29,0.326,1808600.79
54,1624838400000,0.328,0.377,0.32,0.354,1267375.64
55,1624924800000,0.356,0.415,0.355,0.385,1510375.47
56,1625011200000,0.385,0.399,0.35,0.387,2039020.49
57,1625097600000,0.387,0.387,0.334,0.347,4864931.56
58,1625184000000,0.348,0.358,0.321,0.348,662753.84
59,1625270400000,0.348,0.371,0.337,0.358,665175.47
60,1625356800000,0.359,0.407,0.347,0.388,709114.35
61,1625443200000,0.387,0.388,0.336,0.358,1019856.51
62,1625529600000,0.357,0.391,0.351,0.368,1804912.7
63,1625616000000,0.366,0.401,0.359,0.363,1181029.56
64,1625702400000,0.364,0.366,0.325,0.338,1048612.79
65,1625788800000,0.33,0.377,0.313,0.367,615045.9
66,1625875200000,0.367,0.38,0.335,0.355,684592.86
67,1625961600000,0.36,0.367,0.344,0.356,1167277.14
68,1626048000000,0.357,0.375,0.315,0.328,760776.3
69,1626134400000,0.325,0.334,0.294,0.301,1041795.86
70,1626220800000,0.302,0.319,0.268,0.302,1187888.21
71,1626307200000,0.305,0.313,0.269,0.282,1002811.02
72,1626393600000,0.287,0.297,0.26,0.262,783687.57
73,1626480000000,0.261,0.271,0.251,0.258,903781.76
74,1626566400000,0.258,0.279,0.253,0.262,486492.21
75,1626652800000,0.26,0.264,0.229,0.234,1377132.87
76,1626739200000,0.231,0.239,0.195,0.21,2173336.24
77,1626825600000,0.213,0.253,0.204,0.247,1723908.79
78,1626912000000,0.247,0.264,0.241,0.262,1017070.92
79,1626998400000,0.26,0.2765,0.249,0.2755,578020.18
80,1627084800000,0.2755,0.2854,0.2692,0.279,496516.19
81,1627171200000,0.278,0.28,0.2581,0.2738,411099.14
82,1627257600000,0.2756,0.352,0.2722,0.3051,2557321.48
83,1627344000000,0.305,0.333,0.2872,0.3302,825363.41
84,1627430400000,0.3322,0.3556,0.315,0.343,1161419.47
85,1627516800000,0.3415,0.3921,0.3258,0.3803,1224772.63
86,1627603200000,0.3819,0.402,0.3503,0.402,1261586.36
87,1627689600000,0.402,0.4082,0.3785,0.3905,856491.24
88,1627776000000,0.387,0.4172,0.3432,0.362,1414648.99
89,1627862400000,0.362,0.4237,0.3523,0.3863,870801.22
90,1627948800000,0.3863,0.3989,0.3542,0.3777,462890.43
91,1628035200000,0.3789,0.4,0.3595,0.3915,577013.62
92,1628121600000,0.3898,0.3983,0.3552,0.3934,919933.26
93,1628208000000,0.3948,0.415,0.3754,0.4084,945539.55
94,1628294400000,0.4071,0.463,0.4028,0.4491,1797598.5
95,1628380800000,0.4496,0.4605,0.4014,0.4047,889303.43
96,1628467200000,0.4044,0.4771,0.3848,0.4621,1121790.53
97,1628553600000,0.4626,0.49,0.4317,0.464,1159508.58
98,1628640000000,0.463,0.5334,0.4598,0.5131,1615562.63
99,1628726400000,0.514,0.5668,0.479,0.4862,1997097.91
