,time,Open,High,Low,Close,Volume
0,1620172800000,1.3866,1.5447,1.3732,1.5032,4386975.51
1,1620259200000,1.5032,1.568,1.42,1.4816,4953601.32
2,1620345600000,1.4825,1.68,1.4125,1.5791,8599888.99
3,1620432000000,1.58,1.7269,1.5172,1.56,6475755.85
4,1620518400000,1.5566,1.5844,1.4314,1.5119,3498613.45
5,1620604800000,1.5126,1.5492,1.2235,1.3052,5160506.66
6,1620691200000,1.2947,1.3943,1.29,1.3499,4763179.72
7,1620777600000,1.3499,1.524,1.21,1.2328,7976374.81
8,1620864000000,1.2282,1.63,1.156,1.4533,18376385.73
9,1620950400000,1.4533,1.6,1.3785,1.4359,6971980.23
10,1621036800000,1.4359,1.4555,1.2665,1.2745,5139531.25
11,1621123200000,1.2767,1.55,1.263,1.4691,9115713.55
12,1621209600000,1.4708,1.4983,1.2234,1.3401,7841806.88
13,1621296000000,1.3447,1.4072,1.2716,1.299,4338193.11
14,1621382400000,1.299,1.3292,0.6464,0.8404,11322075.07
15,1621468800000,0.8361,1.0334,0.7599,0.9713,8435486.1
16,1621555200000,0.9713,1.0157,0.6729,0.7793,6692298.48
17,1621641600000,0.778,0.7857,0.661,0.7132,4094701.44
18,1621728000000,0.7132,0.7308,0.4567,0.5594,6141891.67
19,1621814400000,0.5617,0.6999,0.5387,0.6814,4367484.26
20,1621900800000,0.6815,0.7452,0.5795,0.7075,6750985.35
21,1621987200000,0.7094,0.77,0.6677,0.7338,4751656.33
22,1622073600000,0.7338,0.7527,0.6475,0.6961,3002062.88
23,1622160000000,0.6954,0.98,0.6815,0.8436,39943664.65
24,1622246400000,0.8436,0.96,0.7015,0.7399,16255164.31
25,1622332800000,0.7435,0.7794,0.6788,0.7337,5787137.81
26,1622419200000,0.7305,0.7881,0.6805,0.7699,4764756.29
27,1622505600000,0.7699,0.8719,0.73,0.8472,9463132.81
28,1622592000000,0.8512,0.852,0.7925,0.8047,4357572.32
29,1622678400000,0.8047,0.8786,0.8,0.8382,4835864.75
30,1622764800000,0.8379,0.8392,0.695,0.7249,4865249.65
31,1622851200000,0.7247,0.7685,0.68,0.6923,3157228.75
32,1622937600000,0.6923,0.7842,0.6922,0.749,4964826.82
33,1623024000000,0.7497,0.7649,0.6187,0.6271,4010262.46
34,1623110400000,0.6312,0.6504,0.5471,0.6279,4371505.75
35,1623196800000,0.6292,0.7343,0.5807,0.6755,10895954.28
36,1623283200000,0.6784,0.7628,0.6313,0.6942,10638136.7
37,1623369600000,0.6946,0.7072,0.6004,0.6161,4720046.95
38,1623456000000,0.6156,0.6735,0.5721,0.6353,3290395.95
39,1623542400000,0.633,0.6888,0.607,0.6727,3498039.24
40,1623628800000,0.6727,0.69,0.6464,0.6695,5836342.22
41,1623715200000,0.6679,0.72,0.6475,0.6658,3296486.04
42,1623801600000,0.6661,0.6661,0.6155,0.6222,2063579.52
43,1623888000000,0.6222,0.6686,0.6193,0.637,2316406.08
44,1623974400000,0.6355,0.6394,0.57,0.6176,2446670.28
45,1624060800000,0.6156,0.6475,0.585,0.6002,2063756.08
46,1624147200000,0.6003,0.6033,0.5358,0.5715,2161470.57
47,1624233600000,0.5718,0.5798,0.4392,0.442,2980806.81
48,1624320000000,0.442,0.4698,0.3502,0.3996,5452458.7
49,1624406400000,0.4028,0.4458,0.3901,0.4188,2623617.89
50,1624492800000,0.4189,0.469,0.3962,0.445,5945970.77
51,1624579200000,0.4458,0.4599,0.3892,0.4009,2678655.16
52,1624665600000,0.3994,0.4243,0.3755,0.3996,2586743.06
53,1624752000000,0.3995,0.4208,0.3864,0.4141,3376369.94
54,1624838400000,0.4161,0.4327,0.4041,0.4176,2027796.46
55,1624924800000,0.4202,0.482,0.4187,0.4559,3446387.44
56,1625011200000,0.4587,0.4654,0.4091,0.4366,2979132.99
57,1625097600000,0.4367,0.4367,0.3959,0.4071,1726568.33
58,1625184000000,0.408,0.4201,0.3893,0.4194,1520526.41
59,1625270400000,0.4195,0.4368,0.4034,0.4213,9690993.76
60,1625356800000,0.42,0.4486,0.4015,0.4372,9889824.97
61,1625443200000,0.4372,0.4636,0.4052,0.4121,7344295.37
62,1625529600000,0.4117,0.4497,0.4113,0.4288,3690452.08
63,1625616000000,0.4272,0.5146,0.4206,0.4447,6736605.16
64,1625702400000,0.4443,0.4475,0.4071,0.4147,4630102.18
