,time,Open,High,Low,Close,Volume
0,1620172800000,3.8881,4.283,3.85,4.1923,2696200.08
1,1620259200000,4.1923,4.7,4.0364,4.3612,4693508.85
2,1620345600000,4.3785,4.5358,4.1015,4.2552,2738184.46
3,1620432000000,4.2587,4.3842,4.0312,4.0837,1694865.23
4,1620518400000,4.0808,4.1261,3.8131,3.9727,1683621.65
5,1620604800000,3.9759,4.0738,3.2494,3.5269,2715416.42
6,1620691200000,3.5155,4.094,3.4023,3.92,3684388.32
7,1620777600000,3.92,4.0351,3.145,3.1846,2445452.98
8,1620864000000,3.2137,3.4148,2.8912,3.1557,3151557.75
9,1620950400000,3.1577,3.578,3.0734,3.3502,3600883.12
10,1621036800000,3.3507,3.4293,3.017,3.0342,2966067.56
11,1621123200000,3.0396,3.2946,2.6923,2.9838,2789087.13
12,1621209600000,2.9799,3.15,2.6012,2.7428,3706259.01
13,1621296000000,2.7433,2.977,2.66,2.7198,3063499.84
14,1621382400000,2.7255,2.7756,1.3,1.5517,7436968.09
15,1621468800000,1.55,1.9583,1.4002,1.7821,4760962.31
16,1621555200000,1.776,1.8908,1.245,1.473,4579425.19
17,1621641600000,1.4655,1.5592,1.2798,1.4404,3190944.4
18,1621728000000,1.441,1.5312,1.002,1.239,4316388.05
19,1621814400000,1.2423,1.5258,1.2052,1.4919,3618127.08
20,1621900800000,1.4937,1.65,1.3282,1.6497,3746212.34
21,1621987200000,1.6498,1.9626,1.5973,1.7818,4108006.43
22,1622073600000,1.7786,2.47,1.5772,2.2346,15742989.51
23,1622160000000,2.2363,2.3597,1.7,1.7884,10040905.96
24,1622246400000,1.7809,1.8971,1.5446,1.6152,6913385.37
25,1622332800000,1.6153,1.7549,1.5001,1.6628,2830104.6
26,1622419200000,1.6528,2.188,1.5772,2.1744,7521254.64
27,1622505600000,2.175,2.2465,1.84,1.9975,9800588.83
28,1622592000000,1.9998,2.1168,1.9015,2.0038,4602419.15
29,1622678400000,2.0038,2.1724,1.9796,1.9933,4528061.4
30,1622764800000,1.9932,2.0038,1.7125,1.7642,4923524.33
31,1622851200000,1.7681,1.9835,1.6193,1.6862,7569432.95
32,1622937600000,1.6861,1.8081,1.6612,1.787,2895345.95
33,1623024000000,1.786,1.8783,1.6166,1.6329,2589828.17
34,1623110400000,1.633,1.675,1.403,1.5734,2522344.46
35,1623196800000,1.5734,1.7997,1.4785,1.7233,5765208.55
36,1623283200000,1.7269,1.7456,1.5824,1.6372,2519348.65
37,1623369600000,1.6381,1.8173,1.5822,1.6058,4416897.63
38,1623456000000,1.6092,1.8,1.4757,1.7317,6441803.55
39,1623542400000,1.7328,1.7673,1.6383,1.7396,3976049.27
40,1623628800000,1.7395,1.8873,1.7041,1.7934,4615570.78
41,1623715200000,1.7931,1.8574,1.7459,1.7838,2792046.84
