,time,Open,High,Low,Close,Volume
0,1620172800000,9.7,9.86,8.2,8.31,867895.0
1,1620259200000,8.33,9.32,8.28,8.95,489665.29
2,1620345600000,8.96,9.63,8.61,9.24,315116.08
3,1620432000000,9.27,9.46,8.1,8.56,197433.74
4,1620518400000,8.51,9.15,7.44,7.9,406159.24
5,1620604800000,7.89,9.78,7.1,8.48,878871.24
6,1620691200000,8.49,8.75,7.33,7.38,906435.92
7,1620777600000,7.38,10.0,6.95,9.37,922420.68
8,1620864000000,9.37,12.3,8.06,9.45,2373650.18
9,1620950400000,9.55,9.74,7.74,8.16,615042.39
10,1621036800000,8.2,9.39,7.93,9.31,657867.46
11,1621123200000,9.26,10.2,7.84,9.18,735369.84
12,1621209600000,9.16,12.4,9.16,11.13,842827.49
13,1621296000000,11.1,11.98,10.07,11.19,461893.38
14,1621382400000,11.18,60.0,6.1,9.75,3591303.05
15,1621468800000,9.77,13.2,4.68,5.27,3366967.78
16,1621555200000,5.27,10.995,4.525,6.833,4756696.69
17,1621641600000,6.87,9.5,5.83,7.079,2311798.75
18,1621728000000,7.119,13.0,6.478,8.3,3750866.33
19,1621814400000,8.279,8.58,4.2,4.34,4062274.42
20,1621900800000,4.334,5.3,3.458,4.15,6817822.55
21,1621987200000,4.11,4.398,2.94,3.069,6371861.3
22,1622073600000,3.069,3.879,3.011,3.253,7936181.46
23,1622160000000,3.255,4.444,3.178,4.002,7574854.16
24,1622246400000,4.009,4.8,3.532,4.54,5316982.52
25,1622332800000,4.54,4.888,3.549,3.803,5126300.37
26,1622419200000,3.806,4.253,2.958,3.029,7110848.52
27,1622505600000,3.031,3.266,2.781,2.83,9095051.75
28,1622592000000,2.813,3.018,2.07,2.217,9965813.21
29,1622678400000,2.218,2.309,1.85,1.888,11095586.47
30,1622764800000,1.887,2.66,1.874,2.136,17298790.82
31,1622851200000,2.148,2.283,1.771,2.092,15940309.32
32,1622937600000,2.095,2.189,1.96,2.052,8990295.21
