,time,Open,High,Low,Close,Volume
0,1620172800000,609.41,656.67,605.0,651.1,2270137.4732
1,1620259200000,651.1,653.77,620.0,633.99,2065376.5442
2,1620345600000,634.03,644.02,611.43,624.3,1979435.9584
3,1620432000000,624.3,657.91,618.36,646.1,2186084.7749
4,1620518400000,646.07,679.0,630.54,661.74,2343402.1219
5,1620604800000,661.74,691.77,588.0,631.1,3074645.0692
6,1620691200000,631.16,673.0,621.11,671.91,2640713.327
7,1620777600000,671.9,684.91,581.4,594.65,2813834.8185
8,1620864000000,594.2,633.5,526.6,571.1,5485323.7047
9,1620950400000,571.1,615.0,566.0,602.61,2187570.2996
10,1621036800000,602.61,611.31,560.0,563.41,2259793.5825
11,1621123200000,563.42,606.78,534.88,564.32,2939528.1774
12,1621209600000,564.66,564.66,483.0,512.07,4029118.3527
13,1621296000000,512.06,534.0,490.0,507.88,2720596.4374
14,1621382400000,507.9,516.5,280.0,334.8,11497731.3774
15,1621468800000,334.8,423.83,284.27,391.17,8116861.4224
16,1621555200000,391.37,415.71,274.0,326.01,8827845.3858
17,1621641600000,326.23,335.82,284.55,299.76,5303046.012
18,1621728000000,299.75,313.45,211.7,260.72,8801148.1832
19,1621814400000,260.72,350.0,257.4,345.64,7794003.641
20,1621900800000,345.64,378.12,306.61,343.18,7638986.0132
21,1621987200000,343.18,388.28,336.21,379.16,5336916.0722
22,1622073600000,379.16,387.56,340.0,369.67,4275801.5014
23,1622160000000,369.83,373.68,312.3,328.82,5253443.3619
24,1622246400000,328.86,347.0,295.22,305.04,3764083.2923
25,1622332800000,305.18,338.32,291.06,325.57,3739673.1138
26,1622419200000,325.55,356.0,307.55,353.33,4110136.8744
27,1622505600000,353.37,364.4,339.48,362.39,3652280.6916
28,1622592000000,362.36,419.43,350.43,401.54,4377024.6685
29,1622678400000,401.52,433.0,391.32,428.48,4214469.415
30,1622764800000,428.46,429.5,365.0,390.7,4926793.4499
31,1622851200000,390.68,426.0,373.8,390.08,3977579.347
32,1622937600000,390.05,400.29,381.5,393.73,1862065.4318
33,1623024000000,393.82,407.42,353.53,357.96,3028938.8445
34,1623110400000,357.94,366.33,319.18,352.5,4986849.8512
35,1623196800000,352.5,378.77,333.56,375.54,3494285.669
36,1623283200000,375.56,377.55,344.13,351.94,2417974.6499
37,1623369600000,351.96,366.28,340.84,345.75,2215352.723
38,1623456000000,345.76,348.88,325.3,343.7,2074837.0012
39,1623542400000,343.68,369.0,330.48,365.8,1958071.3656
40,1623628800000,365.81,377.33,355.07,370.19,1978613.2384
41,1623715200000,370.2,379.58,363.23,366.48,1545190.4369
42,1623801600000,366.48,366.77,343.35,347.22,1531522.2062
43,1623888000000,347.22,362.47,345.85,352.85,1239146.5273
44,1623974400000,352.84,357.12,327.22,337.16,1583897.2791
45,1624060800000,337.21,345.0,331.11,334.01,1067456.2119
46,1624147200000,334.03,340.57,310.13,339.08,1618406.0051
47,1624233600000,339.09,342.0,268.57,270.76,3729539.0167
48,1624320000000,270.76,291.5,225.42,262.1,5570573.4851
49,1624406400000,262.1,309.75,251.41,296.25,3319089.777
50,1624492800000,296.17,316.49,281.5,308.62,2635799.196
51,1624579200000,308.6,314.84,275.24,280.81,2711888.8709
52,1624665600000,280.89,290.33,264.26,279.65,2263064.3633
53,1624752000000,279.58,291.7,269.72,290.87,1539903.0268
54,1624838400000,290.89,299.96,283.55,290.0,1884580.1557
55,1624924800000,290.0,315.6,289.19,300.79,2126079.3416
56,1625011200000,300.79,304.88,281.53,303.71,2061866.47
57,1625097600000,303.75,304.0,281.0,287.43,1388151.0265
58,1625184000000,287.49,290.74,276.4,287.17,1003331.2269
59,1625270400000,287.17,303.21,282.77,298.13,1016731.5662
60,1625356800000,298.18,314.91,292.58,307.62,1309414.0255
