,time,Open,High,Low,Close,Volume
0,1625443200000,37.48,42.0,33.37,34.28,269443.75
1,1625529600000,34.2,37.4,33.32,33.79,93122.25
2,1625616000000,33.79,34.88,33.33,33.54,45330.58
3,1625702400000,33.54,33.57,30.01,30.35,59515.8
4,1625788800000,30.33,32.31,29.48,30.71,34136.34
5,1625875200000,30.67,31.35,30.0,30.03,19586.39
6,1625961600000,30.17,30.88,29.6,30.06,29272.72
7,1626048000000,30.01,32.4,27.49,28.26,45290.91
8,1626134400000,28.26,29.12,26.32,26.76,31398.67
9,1626220800000,26.77,27.35,25.99,26.9,14122.15
10,1626307200000,26.87,29.02,24.56,25.01,68500.19
11,1626393600000,25.05,25.57,23.5,24.15,60799.74
12,1626480000000,24.13,24.59,22.13,22.8,45950.51
13,1626566400000,22.79,24.7,22.54,23.4,54875.81
14,1626652800000,23.43,25.09,19.95,20.17,126082.19
15,1626739200000,20.2,21.45,19.08,19.84,150542.42
16,1626825600000,19.93,21.34,19.68,20.3,120255.91
17,1626912000000,20.31,21.73,20.03,21.08,122850.51
18,1626998400000,21.08,23.8,20.76,22.71,146828.14
19,1627084800000,22.73,22.99,21.58,22.06,99489.46
20,1627171200000,22.09,23.8,21.79,22.44,99497.52
21,1627257600000,22.48,23.53,21.51,21.8,132256.6
22,1627344000000,21.81,22.31,21.21,21.89,46869.3
23,1627430400000,21.86,21.9,20.66,20.93,50753.52
24,1627516800000,20.93,21.26,20.36,20.86,95146.96
25,1627603200000,20.9,21.88,20.06,21.15,131857.73
26,1627689600000,21.18,22.87,21.04,22.55,145150.24
27,1627776000000,22.51,24.98,21.94,22.47,162693.91
28,1627862400000,22.43,23.31,21.65,22.04,68695.54
29,1627948800000,21.99,21.99,20.7,20.74,68455.3
30,1628035200000,20.8,22.1,20.52,21.68,65351.03
31,1628121600000,21.69,23.59,21.26,21.54,149013.99
32,1628208000000,21.55,22.89,21.45,22.35,146985.31
33,1628294400000,22.36,23.56,21.91,23.3,199290.88
34,1628380800000,23.3,33.93,23.2,27.44,1203522.21
35,1628467200000,27.44,28.0,25.3,27.08,348622.73
36,1628553600000,27.15,27.45,25.64,26.13,129270.2
37,1628640000000,26.15,28.26,26.0,27.18,118074.75
38,1628726400000,27.18,28.21,25.28,25.4,72670.08
