,time,Open,High,Low,Close,Volume
0,1547337600000,81.0,86.43,72.84,76.09,223182.87542
1,1547424000000,76.09,81.13,74.59,78.91,134291.91877
2,1547510400000,78.92,80.44,74.76,75.96,87446.69338
3,1547596800000,75.97,78.04,75.18,76.89,68014.67011
4,1547683200000,76.89,77.16,74.8,76.75,41120.48712
5,1547769600000,76.74,76.74,74.07,74.88,42222.36171
6,1547856000000,74.89,77.2,74.63,76.22,30492.45692
7,1547942400000,76.21,76.21,72.85,74.14,30746.052
8,1548028800000,74.16,76.42,73.25,73.99,31325.5052
9,1548115200000,74.0,76.17,71.78,75.23,38916.69825
10,1548201600000,75.23,76.1,74.19,74.9,33949.54477
11,1548288000000,74.9,74.95,73.36,73.89,20782.43725
12,1548374400000,73.91,75.75,72.81,73.94,31464.93807
13,1548460800000,73.97,75.28,73.0,73.24,21891.07964
14,1548547200000,73.24,73.53,70.22,71.14,23153.83173
15,1548633600000,71.17,71.17,61.65,64.34,67551.75926
16,1548720000000,64.36,65.43,61.08,63.0,50258.04319
17,1548806400000,62.99,67.86,62.49,65.85,52326.31051
18,1548892800000,65.81,67.16,62.5,63.49,39890.52684
19,1548979200000,63.52,64.99,62.8,63.85,23804.14575
20,1549065600000,63.88,65.97,63.66,65.49,23348.20962
21,1549152000000,65.49,65.65,63.33,63.78,21763.96561
22,1549238400000,63.75,64.29,62.81,63.06,19207.63024
23,1549324800000,63.05,63.13,60.66,61.0,23122.00781
24,1549411200000,61.0,69.88,57.38,62.68,181149.71189
25,1549497600000,62.67,66.19,60.88,62.49,106120.0963
26,1549584000000,62.46,69.57,61.25,66.99,91079.41597
27,1549670400000,67.1,67.49,65.07,65.89,42552.17755
28,1549756800000,65.87,66.52,62.99,66.52,35176.02629
29,1549843200000,66.47,66.75,64.49,64.72,25892.59178
30,1549929600000,64.73,66.93,63.84,65.42,47417.6585
31,1550016000000,65.38,66.01,64.0,64.32,27474.37841
32,1550102400000,64.31,64.55,62.28,62.36,23164.82286
33,1550188800000,62.27,63.43,61.67,62.21,23520.24168
34,1550275200000,62.25,63.04,61.8,62.18,22680.2793
35,1550361600000,62.22,63.71,61.73,62.72,27748.18874
36,1550448000000,62.69,71.0,62.68,67.5,142548.18385
37,1550534400000,67.43,70.83,66.55,66.58,105435.13872
38,1550620800000,66.56,67.69,64.67,66.93,59805.00863
39,1550707200000,66.92,67.49,64.51,65.11,36573.9118
40,1550793600000,65.11,65.98,64.33,65.2,34730.79005
41,1550880000000,65.26,68.71,64.66,68.71,47760.33218
42,1550966400000,68.7,69.66,59.55,60.3,110498.87238
43,1551052800000,60.35,71.89,60.18,67.52,188364.16723
44,1551139200000,67.5,75.38,67.42,73.78,263788.11344
45,1551225600000,73.74,73.81,65.7,67.31,122054.17694
46,1551312000000,67.3,68.81,65.75,66.66,64843.36135
47,1551398400000,66.66,68.13,65.92,66.43,36750.96816
48,1551484800000,66.41,66.87,65.34,66.13,21263.28265
49,1551571200000,66.14,66.54,64.4,64.76,18584.18189
50,1551657600000,64.77,64.97,61.9,62.72,30184.02695
51,1551744000000,62.72,67.27,62.67,66.53,72636.04176
52,1551830400000,66.49,67.0,65.33,66.18,33868.76551
53,1551916800000,66.17,66.7,65.62,66.34,25001.83237
54,1552003200000,66.35,69.68,64.6,64.94,71740.50491
55,1552089600000,64.94,68.34,64.68,66.37,43909.21134
56,1552176000000,66.39,68.35,65.46,66.23,31357.76024
57,1552262400000,66.23,66.6,64.38,64.71,28025.57947
58,1552348800000,64.68,65.67,64.11,65.46,18073.90243
59,1552435200000,65.47,65.56,63.79,64.3,27014.61077
60,1552521600000,64.3,67.29,64.24,65.76,54027.78454
61,1552608000000,65.76,68.0,65.02,67.1,43982.62888
62,1552694400000,67.1,71.89,66.93,68.27,97550.70742
63,1552780800000,68.28,68.7,66.53,67.77,33046.37025
64,1552867200000,67.78,69.83,65.6,66.57,55219.17901
65,1552953600000,66.57,66.77,65.24,66.21,37321.03409
66,1553040000000,66.19,66.41,65.33,66.22,35736.07861
67,1553126400000,66.25,68.1,63.37,65.27,53676.22566
68,1553212800000,65.28,66.97,64.81,66.12,32697.68356
69,1553299200000,66.08,67.8,65.76,66.93,35915.18481
70,1553385600000,66.91,66.99,65.34,65.49,25901.15009
71,1553472000000,65.47,65.56,62.79,63.91,33327.96058
72,1553558400000,63.93,65.02,62.4,63.7,26828.96425
73,1553644800000,63.71,65.44,63.51,65.28,36227.38041
74,1553731200000,65.24,65.24,63.62,63.88,24417.34619
75,1553817600000,63.87,65.03,63.6,64.31,27096.45144
76,1553904000000,64.38,66.79,64.31,64.98,42957.80366
77,1553990400000,64.99,65.13,64.14,64.83,17769.66647
78,1554076800000,64.8,66.66,64.37,65.92,30248.79518
79,1554163200000,66.0,80.65,65.77,78.98,208953.47465
80,1554249600000,78.98,96.0,77.2,82.31,507301.24092
81,1554336000000,82.36,93.4,80.0,82.62,300165.93102
82,1554422400000,82.61,85.87,82.0,83.8,91834.51871
83,1554508800000,83.8,89.68,81.0,84.18,121884.41782
84,1554595200000,84.2,87.77,83.09,85.73,81949.90241
85,1554681600000,85.75,87.94,79.09,82.29,106307.75252
86,1554768000000,82.28,82.37,76.34,78.01,77164.35118
