,time,Open,High,Low,Close,Volume
0,1620172800000,63.428,75.0,62.399,69.896,307584.749
1,1620259200000,69.814,77.42,66.869,72.297,329544.651
2,1620345600000,72.288,75.0,68.0,70.069,163935.674
3,1620432000000,70.071,78.798,68.402,73.345,281058.871
4,1620518400000,73.635,74.463,69.025,69.529,139977.402
5,1620604800000,69.529,73.0,64.001,66.109,195120.564
6,1620691200000,66.152,68.513,64.971,67.841,100953.327
7,1620777600000,67.701,69.999,58.388,58.981,143027.038
8,1620864000000,58.976,65.033,55.0,59.152,178060.104
9,1620950400000,59.151,77.0,58.778,70.251,377556.412
10,1621036800000,70.25,74.859,64.706,66.207,218602.734
11,1621123200000,65.968,74.9,65.8,70.309,191903.838
12,1621209600000,70.309,73.0,58.512,69.242,322751.813
13,1621296000000,69.293,77.0,69.0,74.944,327202.593
14,1621382400000,74.938,75.759,51.538,56.822,415283.919
15,1621468800000,56.667,66.5,51.583,60.774,238354.565
16,1621555200000,60.668,63.634,39.334,49.204,426433.665
17,1621641600000,49.202,50.458,37.803,39.387,378459.657
18,1621728000000,39.181,40.717,21.632,29.084,399591.805
19,1621814400000,28.942,39.2,25.824,36.853,420137.963
20,1621900800000,36.853,41.5,30.845,33.77,240517.046
21,1621987200000,33.981,39.5,32.698,38.998,196107.82
22,1622073600000,38.998,50.498,35.552,42.417,403610.149
23,1622160000000,42.416,44.1,35.08,38.177,192979.603
24,1622246400000,38.177,39.558,31.1,33.671,143315.016
25,1622332800000,33.671,36.9,31.7,34.788,88875.446
26,1622419200000,34.609,38.0,32.204,37.626,128331.397
27,1622505600000,37.387,39.76,34.374,35.927,150312.989
28,1622592000000,35.971,38.3,34.5,36.285,204129.773
29,1622678400000,36.285,39.5,35.526,38.888,119252.68
30,1622764800000,38.888,38.954,33.219,34.754,89555.263
31,1622851200000,34.722,36.658,32.909,34.068,79481.429
32,1622937600000,34.149,34.404,32.773,33.649,71847.782
33,1623024000000,33.68,35.09,30.001,30.397,91734.449
34,1623110400000,30.299,31.069,25.922,30.237,161413.98
35,1623196800000,30.22,31.285,28.2,30.447,149984.097
36,1623283200000,30.448,30.945,28.376,28.612,96511.973
37,1623369600000,28.751,30.097,26.66,26.828,93421.592
38,1623456000000,26.813,28.784,25.339,26.816,120818.179
39,1623542400000,26.82,30.49,26.048,28.516,75802.741
40,1623628800000,28.63,31.1,28.158,29.958,113592.654
41,1623715200000,29.974,31.1,29.369,30.459,72038.595
42,1623801600000,30.557,30.558,28.495,28.908,59305.833
43,1623888000000,28.932,30.492,28.519,28.946,55246.976
44,1623974400000,28.9,28.944,25.611,25.919,63040.58
45,1624060800000,25.919,26.486,24.61,24.934,98629.304
46,1624147200000,24.99,25.618,22.65,24.352,91070.514
47,1624233600000,24.352,24.613,17.666,17.795,298061.166
48,1624320000000,17.836,19.5,15.1,18.554,219573.623
49,1624406400000,18.454,22.173,17.703,20.831,149026.517
50,1624492800000,20.83,21.776,19.366,21.167,83487.807
51,1624579200000,21.185,23.1,18.098,18.32,155420.363
52,1624665600000,18.359,18.991,16.292,18.117,158455.658
53,1624752000000,18.117,18.9,17.522,18.89,88440.992
54,1624838400000,18.889,19.343,18.13,19.196,88166.844
55,1624924800000,19.299,21.243,19.031,19.783,131711.825
56,1625011200000,19.868,20.124,18.0,19.332,103141.772
57,1625097600000,19.332,19.346,17.9,18.488,65659.969
58,1625184000000,18.392,18.6,17.119,17.784,81800.31
59,1625270400000,17.784,18.9,17.6,18.671,69517.849
60,1625356800000,18.671,21.099,18.109,19.804,198695.049
61,1625443200000,19.747,20.246,18.52,19.285,127728.741
62,1625529600000,19.242,20.355,19.157,19.82,114312.594
63,1625616000000,19.886,20.997,19.35,19.443,156628.368
64,1625702400000,19.368,20.0,17.79,18.217,128347.012
65,1625788800000,18.196,18.584,17.601,18.157,63879.212
66,1625875200000,18.159,18.554,17.706,18.0,51474.712
67,1625961600000,18.0,18.763,17.844,18.393,52729.106
68,1626048000000,18.426,18.893,17.208,17.497,74728.787
69,1626134400000,17.495,17.988,16.728,17.205,81292.588
70,1626220800000,17.161,17.205,16.21,16.6,89316.253
71,1626307200000,16.611,17.457,15.55,15.91,159051.909
72,1626393600000,15.912,16.199,13.0,13.687,505782.907
73,1626480000000,13.724,14.829,13.289,13.868,230344.282
74,1626566400000,13.843,14.405,13.691,13.931,124770.164
75,1626652800000,13.927,21.34,13.567,16.548,2197708.236
76,1626739200000,16.549,16.683,11.637,13.33,1332871.325
77,1626825600000,13.301,15.299,12.919,14.096,648011.917
78,1626912000000,14.103,14.601,13.865,14.474,315658.096
79,1626998400000,14.473,14.6,13.452,14.586,279246.863
80,1627084800000,14.587,15.361,14.208,14.756,366994.432
81,1627171200000,14.756,15.477,14.343,15.453,231182.444
82,1627257600000,15.453,21.5,15.359,16.814,2058359.826
83,1627344000000,16.814,17.8,15.0,16.822,553063.961
84,1627430400000,16.829,18.395,16.38,16.945,403954.308
85,1627516800000,16.956,17.49,16.501,16.81,192271.035
86,1627603200000,16.81,17.848,16.107,17.401,218033.229
87,1627689600000,17.451,17.977,16.889,17.588,215410.161
88,1627776000000,17.59,19.076,17.42,18.177,294363.314
89,1627862400000,18.191,18.265,17.221,17.627,183552.924
90,1627948800000,17.6,17.978,16.9,17.2,113863.885
91,1628035200000,17.261,18.08,16.946,17.901,156184.052
92,1628121600000,17.842,19.0,17.202,18.953,312815.897
93,1628208000000,18.953,20.405,18.256,20.149,411352.109
94,1628294400000,20.149,25.443,20.111,23.809,1050945.609
95,1628380800000,23.717,23.881,21.128,21.658,281347.916
96,1628467200000,21.701,24.449,20.847,23.89,340173.587
97,1628553600000,23.844,24.192,22.5,23.441,210650.497
98,1628640000000,23.374,25.6,23.315,24.503,369092.931
99,1628726400000,24.463,26.239,22.74,22.786,238358.889
