,time,Open,High,Low,Close,Volume
0,1620172800000,129.918,152.65,128.239,150.65,152018.47
1,1620259200000,150.65,154.972,139.459,144.503,143635.72
2,1620345600000,144.745,156.0,139.685,149.222,243304.25
3,1620432000000,149.422,158.5,147.359,155.714,274606.6
4,1620518400000,155.714,157.142,143.333,152.032,154759.06
5,1620604800000,152.275,158.499,128.813,139.891,248876.17
6,1620691200000,139.891,143.86,133.896,142.858,118111.45
7,1620777600000,143.102,149.4,104.539,109.959,294318.11
8,1620864000000,109.541,116.958,91.507,108.857,543140.53
9,1620950400000,109.048,116.5,105.68,109.935,170882.9
10,1621036800000,109.85,113.083,95.77,96.645,322275.54
11,1621123200000,96.598,109.767,83.45,94.54,432230.47
12,1621209600000,94.602,96.333,77.0,83.095,624552.53
13,1621296000000,83.032,91.0,77.9,80.2,556980.89
14,1621382400000,80.385,83.0,30.22,57.554,5294599.03
15,1621468800000,57.213,76.071,52.339,69.37,980075.3
16,1621555200000,69.576,74.994,48.0,58.498,1242713.57
17,1621641600000,58.363,63.992,52.496,59.478,983383.31
18,1621728000000,59.511,62.248,40.5,51.161,1306740.86
19,1621814400000,51.233,67.2,50.011,63.701,948449.78
20,1621900800000,63.701,66.815,56.379,62.148,534047.04
21,1621987200000,62.454,70.521,60.558,65.057,395262.23
22,1622073600000,65.057,69.0,58.46,62.736,390632.69
23,1622160000000,62.864,64.0,50.421,53.476,619898.78
24,1622246400000,53.639,58.85,47.193,50.235,566809.89
25,1622332800000,50.011,56.154,46.346,53.483,394525.73
26,1622419200000,53.355,59.249,48.656,58.533,493457.34
27,1622505600000,58.384,60.394,53.177,56.696,403565.03
28,1622592000000,56.695,61.6,54.116,59.233,283356.77
29,1622678400000,59.318,65.687,58.109,64.821,313533.29
30,1622764800000,64.883,64.938,52.654,56.832,457854.43
31,1622851200000,56.844,60.35,49.955,52.419,403219.98
32,1622937600000,52.418,55.537,51.4,53.4,252530.14
33,1623024000000,53.367,56.628,45.5,46.206,415186.82
34,1623110400000,46.302,47.8,36.869,45.607,750477.62
35,1623196800000,45.62,57.927,42.648,57.404,1132985.7
36,1623283200000,57.404,60.95,53.018,55.437,971271.49
37,1623369600000,55.444,58.176,53.388,57.25,527454.77
38,1623456000000,57.1,57.57,49.827,52.3,561630.82
39,1623542400000,52.333,63.406,50.25,62.155,651835.82
40,1623628800000,62.158,67.84,61.082,66.327,842420.05
41,1623715200000,66.329,69.0,63.057,65.323,673550.24
42,1623801600000,65.253,66.406,59.211,59.831,591318.26
43,1623888000000,59.831,64.182,57.234,59.1,662169.54
44,1623974400000,59.031,59.454,50.798,52.842,676446.83
45,1624060800000,52.764,54.55,49.63,51.955,578795.8
46,1624147200000,51.836,53.573,46.04,52.097,725123.36
47,1624233600000,51.991,52.419,40.568,41.695,1498783.75
48,1624320000000,41.695,45.87,34.709,43.617,2015597.85
49,1624406400000,43.686,49.8,41.629,46.75,1006219.83
50,1624492800000,46.734,51.336,43.211,49.508,721856.88
51,1624579200000,49.511,51.854,40.163,41.184,1227323.0
52,1624665600000,41.233,44.16,37.531,42.94,1162195.57
53,1624752000000,42.855,49.5,42.118,49.48,989510.0
54,1624838400000,49.485,51.0,47.1,48.836,722783.51
55,1624924800000,48.847,54.481,48.085,52.693,869996.64
56,1625011200000,52.745,53.197,47.441,50.231,649280.28
