,time,Open,High,Low,Close,Volume
0,1620172800000,0.9994,1.0,0.9985,0.9985,1843265757.35
1,1620259200000,0.9986,0.9994,0.9982,0.9992,1864963702.21
2,1620345600000,0.9992,0.9997,0.9984,0.9991,2037258089.61
3,1620432000000,0.9991,0.9991,0.9977,0.9985,1888776595.81
4,1620518400000,0.9986,1.0029,0.9981,0.999,2945036937.76
5,1620604800000,0.999,0.9997,0.9979,0.9989,2383630576.65
6,1620691200000,0.9989,0.9995,0.9982,0.9987,1792164199.99
7,1620777600000,0.9987,1.0002,0.9981,1.0002,2038513008.08
8,1620864000000,1.0002,1.0005,0.9984,0.9999,2993746270.35
9,1620950400000,0.9998,0.9999,0.9979,0.9991,2051945893.33
10,1621036800000,0.999,0.9997,0.9987,0.9995,1440836582.13
11,1621123200000,0.9995,1.0005,0.9992,0.9995,1805286643.91
12,1621209600000,0.9995,1.0002,0.9986,0.9997,2039063216.31
13,1621296000000,0.9997,0.9999,0.9987,0.9993,1351426235.18
14,1621382400000,0.9993,1.0009,0.9883,0.9981,4837335343.68
15,1621468800000,0.9982,0.999,0.9975,0.9979,2836014072.2
16,1621555200000,0.9979,0.9994,0.9973,0.9983,2464998242.99
17,1621641600000,0.9983,0.9994,0.9981,0.9991,1212891660.24
18,1621728000000,0.999,0.9997,0.9984,0.9986,1899242316.19
19,1621814400000,0.9986,0.999,0.9982,0.9988,1936614562.08
20,1621900800000,0.9989,0.999,0.998,0.9989,1385213311.29
21,1621987200000,0.999,0.9991,0.9983,0.9986,1179973773.37
22,1622073600000,0.9986,0.9992,0.9984,0.999,1046387733.84
23,1622160000000,0.9991,0.9998,0.9987,0.9996,1244362267.9
24,1622246400000,0.9996,0.9998,0.9991,0.9993,959006219.51
25,1622332800000,0.9993,0.9998,0.9992,0.9994,819303699.36
26,1622419200000,0.9994,0.9998,0.9991,0.9997,1046258345.88
27,1622505600000,0.9997,1.0004,0.9996,1.0002,1490459701.32
28,1622592000000,1.0003,1.0005,0.9999,1.0,1432995285.49
29,1622678400000,0.9999,1.0005,0.9995,0.9998,1166259313.58
30,1622764800000,0.9999,1.0,0.9993,0.9995,1442631517.74
31,1622851200000,0.9996,1.0001,0.9994,0.9997,904860327.96
32,1622937600000,0.9996,0.9999,0.9994,0.9997,596168029.48
33,1623024000000,0.9996,1.0,0.9992,0.9997,1155234693.38
34,1623110400000,0.9997,0.9998,0.999,0.9992,1397041973.0
35,1623196800000,0.9993,0.9995,0.999,0.9995,1056608602.76
36,1623283200000,0.9995,0.9997,0.9993,0.9996,787387586.49
37,1623369600000,0.9997,1.0,0.9995,1.0,660341066.85
38,1623456000000,1.0,1.0,0.9996,0.9998,614982622.11
39,1623542400000,0.9999,1.0,0.9997,0.9998,494318109.82
40,1623628800000,0.9999,1.0,0.9995,0.9996,786680702.67
41,1623715200000,0.9997,1.0002,0.9996,1.0,718315859.48
42,1623801600000,0.9999,1.0003,0.9998,1.0003,550500967.01
43,1623888000000,1.0002,1.0003,1.0,1.0,490838280.21
44,1623974400000,1.0001,1.0001,0.9994,0.9996,784583692.06
45,1624060800000,0.9996,0.9998,0.9994,0.9997,476912874.03
46,1624147200000,0.9998,1.0013,0.9997,1.0001,880947157.04
47,1624233600000,1.0001,1.0004,0.9996,1.0002,1562680675.75
48,1624320000000,1.0002,1.0003,0.9995,0.9997,1600057446.77
49,1624406400000,0.9997,0.9999,0.9994,0.9999,1335810823.79
50,1624492800000,0.9999,1.0004,0.9998,1.0002,802561070.24
51,1624579200000,1.0002,1.0003,0.9999,1.0001,906943778.92
52,1624665600000,1.0001,1.0005,0.9998,1.0001,827330881.66
53,1624752000000,1.0,1.0001,0.9997,0.9998,669616218.2
54,1624838400000,0.9998,1.0002,0.9996,0.9999,1140808627.44
55,1624924800000,0.9998,1.0,0.9995,0.9999,911183857.69
56,1625011200000,1.0,1.0,0.9996,0.9998,622258214.11
57,1625097600000,0.9998,1.0002,0.9998,0.9998,762214597.76
58,1625184000000,0.9998,1.0002,0.9998,0.9999,607596047.45
59,1625270400000,1.0,1.0,0.9997,0.9998,412086100.57
60,1625356800000,0.9998,1.0001,0.9997,1.0,519143095.97
61,1625443200000,0.9999,1.0,0.9997,0.9997,441413822.78
62,1625529600000,0.9997,1.0,0.9996,0.9999,650004034.42
63,1625616000000,0.9999,1.0,0.9996,0.9998,559006931.02
64,1625702400000,0.9998,1.0,0.9996,0.9999,630116895.11
65,1625788800000,0.9999,1.0001,0.9998,1.0001,515696923.84
66,1625875200000,1.0001,1.0001,0.9999,1.0,351513512.84
67,1625961600000,0.9999,1.0001,0.9999,0.9999,314979687.86
68,1626048000000,1.0,1.0001,0.9999,0.9999,587897254.94
69,1626134400000,0.9999,1.0002,0.9997,1.0,681270019.92
70,1626220800000,1.0001,1.0002,0.9999,1.0,555584525.3
71,1626307200000,1.0,1.0004,0.9998,1.0002,740398506.97
72,1626393600000,1.0002,1.0002,0.9998,0.9999,533678603.31
73,1626480000000,0.9998,1.0,0.9998,0.9998,332790917.44
74,1626566400000,0.9998,1.0,0.9998,0.9999,290302331.15
75,1626652800000,1.0,1.0006,0.9999,1.0,622754712.09
76,1626739200000,1.0,1.0002,0.9998,0.9999,506883123.53
77,1626825600000,0.9999,1.0002,0.9998,1.0,797402433.29
78,1626912000000,1.0,1.0001,0.9999,1.0001,697526959.25
79,1626998400000,1.0,1.0001,0.9998,0.9998,687571090.33
80,1627084800000,0.9998,0.9999,0.9994,0.9995,839731806.8
81,1627171200000,0.9996,0.9996,0.9994,0.9995,667320927.54
82,1627257600000,0.9994,1.0005,0.9993,0.9998,2077984090.32
83,1627344000000,0.9998,1.0,0.9995,0.9998,1236216934.03
84,1627430400000,0.9998,1.0,0.9995,0.9998,997038395.76
85,1627516800000,0.9999,0.9999,0.9996,0.9998,615550044.18
86,1627603200000,0.9998,0.9998,0.9994,0.9994,847441145.83
87,1627689600000,0.9995,0.9997,0.9992,0.9994,727460044.08
88,1627776000000,0.9993,0.9998,0.9992,0.9997,706157132.5
89,1627862400000,0.9997,1.0,0.9996,0.9997,574404882.29
90,1627948800000,0.9998,1.0001,0.9997,1.0,630323284.51
91,1628035200000,1.0001,1.0002,0.9999,1.0001,581865454.91
92,1628121600000,1.0001,1.0003,0.9994,0.9996,1032077413.52
93,1628208000000,0.9997,1.0,0.9995,0.9995,942453497.67
94,1628294400000,0.9995,0.9996,0.9992,0.9993,1068721471.91
95,1628380800000,0.9993,0.9996,0.999,0.9993,934165181.04
96,1628467200000,0.9994,0.9999,0.9993,0.9998,846816923.66
97,1628553600000,0.9997,0.9998,0.9994,0.9996,747672351.06
98,1628640000000,0.9996,0.9999,0.9994,0.9995,964234472.0
99,1628726400000,0.9995,0.9998,0.9994,0.9997,501380421.64
