,time,Open,High,Low,Close,Volume
0,1620172800000,0.9552,1.1758,0.9375,1.0018,72733390.13
1,1620259200000,1.0015,1.0343,0.888,0.9013,26363764.09
2,1620345600000,0.9,1.043,0.8635,0.9387,29180744.29
3,1620432000000,0.9389,0.9868,0.8897,0.9064,12020114.74
4,1620518400000,0.9053,0.9294,0.8266,0.8696,17481788.92
5,1620604800000,0.8708,0.925,0.6732,0.7349,37556705.2
6,1620691200000,0.7353,0.7992,0.7137,0.7831,17756646.65
7,1620777600000,0.7835,0.885,0.6469,0.6676,63147351.43
8,1620864000000,0.6676,0.7623,0.6267,0.7098,25617471.41
9,1620950400000,0.71,0.8222,0.6932,0.7732,24292018.03
10,1621036800000,0.7732,0.7834,0.6738,0.6865,17557805.35
11,1621123200000,0.6867,0.7531,0.6327,0.6818,13544017.51
12,1621209600000,0.6825,0.72,0.583,0.6574,22113303.48
13,1621296000000,0.6577,0.7129,0.6433,0.6668,13140438.35
14,1621382400000,0.667,0.6793,0.26,0.3454,69980918.52
15,1621468800000,0.3454,0.4253,0.3071,0.3899,39740616.38
16,1621555200000,0.3895,0.4207,0.2638,0.3135,39556932.88
17,1621641600000,0.3129,0.3214,0.2662,0.2915,17882680.41
18,1621728000000,0.2914,0.3025,0.1844,0.2404,33950404.74
19,1621814400000,0.2402,0.3049,0.2328,0.2989,23666545.49
20,1621900800000,0.2988,0.3138,0.2591,0.2968,21041280.33
21,1621987200000,0.2968,0.399,0.2892,0.3785,49257701.0
22,1622073600000,0.3782,0.3949,0.3208,0.3681,36855217.26
23,1622160000000,0.368,0.3773,0.2867,0.3156,42796873.79
24,1622246400000,0.3156,0.337,0.2582,0.2761,24402629.23
25,1622332800000,0.2763,0.3163,0.2558,0.31,26101243.62
26,1622419200000,0.3097,0.346,0.2861,0.3297,35475036.34
27,1622505600000,0.3295,0.3457,0.3111,0.3284,18753827.3
28,1622592000000,0.3281,0.366,0.3123,0.3483,25614203.46
29,1622678400000,0.3479,0.3798,0.3334,0.3711,19135067.12
30,1622764800000,0.372,0.372,0.3057,0.3257,27070375.36
31,1622851200000,0.3255,0.354,0.2993,0.3142,28786732.74
32,1622937600000,0.314,0.34,0.3088,0.337,14964059.53
33,1623024000000,0.3376,0.349,0.2759,0.2843,22663406.07
34,1623110400000,0.2843,0.2922,0.2469,0.2756,27260679.72
35,1623196800000,0.2756,0.3047,0.2586,0.2948,27377740.54
36,1623283200000,0.2949,0.308,0.2758,0.2763,26539037.14
37,1623369600000,0.2767,0.3121,0.2671,0.2723,28956368.2
38,1623456000000,0.2729,0.274,0.2422,0.2588,13594370.95
39,1623542400000,0.2588,0.2943,0.2526,0.2857,12355041.69
40,1623628800000,0.2861,0.3249,0.2826,0.3171,152815841.24
41,1623715200000,0.3174,0.3269,0.3021,0.3229,23936109.13
42,1623801600000,0.3232,0.3582,0.3051,0.31,30436310.18
43,1623888000000,0.3101,0.3426,0.3088,0.3371,22270155.24
44,1623974400000,0.3379,0.3395,0.2741,0.2834,23440012.76
