,time,Open,High,Low,Close,Volume
0,1620172800000,36.546,40.7,36.5,38.971,4107567.781
1,1620259200000,38.971,39.04,35.591,36.723,5299276.772
2,1620345600000,36.705,37.68,34.051,36.024,4819771.111
3,1620432000000,36.036,39.35,35.64,37.028,4517835.783
4,1620518400000,37.021,39.9,36.08,38.303,4787319.632
5,1620604800000,38.333,40.642,35.0,35.982,5089710.577
6,1620691200000,36.0,37.128,34.7,36.814,3322016.246
7,1620777600000,36.812,37.199,29.09,29.303,6969563.205
8,1620864000000,29.41,33.652,27.299,29.566,9419855.261
9,1620950400000,29.564,33.0,29.0,31.638,4922547.01
10,1621036800000,31.639,32.123,28.3,28.633,4200997.904
11,1621123200000,28.643,32.5,27.12,29.2,5288166.1
12,1621209600000,29.199,29.25,24.147,26.73,7599512.98
13,1621296000000,26.766,29.074,25.9,26.977,6341959.623
14,1621382400000,26.977,27.641,14.7,15.665,20914305.215
15,1621468800000,15.663,22.5,13.625,20.181,21425201.956
16,1621555200000,20.174,21.698,13.5,16.826,15353478.949
17,1621641600000,16.804,17.5,14.076,15.142,9987589.373
18,1621728000000,15.166,15.929,9.447,12.716,20870721.558
19,1621814400000,12.697,18.444,12.671,17.813,19763702.838
20,1621900800000,17.813,19.4,15.15,17.7,13979950.656
21,1621987200000,17.695,20.1,17.346,19.306,10285734.316
22,1622073600000,19.31,19.677,17.022,18.22,10220779.1
23,1622160000000,18.223,18.492,15.102,15.897,8767794.284
24,1622246400000,15.916,16.855,13.934,14.675,6453417.49
25,1622332800000,14.682,16.547,13.812,15.875,6706109.311
26,1622419200000,15.865,18.312,14.9,17.926,7620027.171
27,1622505600000,17.926,18.5,16.916,17.842,6206430.064
28,1622592000000,17.842,20.587,17.28,19.259,7629440.978
29,1622678400000,19.251,21.528,18.839,21.18,6337765.242
30,1622764800000,21.18,21.258,17.688,19.081,7892052.873
31,1622851200000,19.075,21.073,18.092,18.954,7006090.92
32,1622937600000,18.951,19.479,18.046,18.819,5068058.847
33,1623024000000,18.814,20.381,16.907,17.01,8449100.667
34,1623110400000,17.011,17.517,15.261,16.997,9475448.296
35,1623196800000,16.985,18.62,16.066,18.431,6860910.433
36,1623283200000,18.431,18.603,16.6,16.769,6742342.879
37,1623369600000,16.769,17.5,15.696,15.96,5145506.17
38,1623456000000,15.95,16.289,15.0,15.719,4507143.171
39,1623542400000,15.722,17.13,15.137,16.83,4096956.654
40,1623628800000,16.842,17.8,16.368,17.301,4519080.156
41,1623715200000,17.311,18.042,16.988,17.175,3692440.409
42,1623801600000,17.177,17.185,15.623,16.0,3577095.766
43,1623888000000,15.987,16.867,15.828,16.175,2862979.648
44,1623974400000,16.176,16.479,15.02,15.64,3132385.59
45,1624060800000,15.63,15.846,15.172,15.387,2379089.789
46,1624147200000,15.386,16.098,14.329,15.982,3530269.463
47,1624233600000,15.982,16.096,12.001,12.086,6963955.652
48,1624320000000,12.077,14.0,9.644,12.009,14030475.673
49,1624406400000,12.009,14.468,11.399,13.61,7156917.16
50,1624492800000,13.621,14.2,12.758,13.815,3800934.317
51,1624579200000,13.817,14.059,11.781,12.181,4497421.816
52,1624665600000,12.189,12.677,11.358,12.261,4045805.769
53,1624752000000,12.26,13.049,11.849,13.021,3069749.894
54,1624838400000,13.021,13.679,12.602,13.301,3285417.586
55,1624924800000,13.303,14.441,13.26,13.814,3699194.731
56,1625011200000,13.809,13.901,12.712,13.836,3131838.345
57,1625097600000,13.846,13.9,12.594,12.841,2600057.447
58,1625184000000,12.827,13.0,12.399,12.982,1764639.508
59,1625270400000,12.982,13.86,12.639,13.568,2157096.821
60,1625356800000,13.568,14.642,13.319,14.163,2593319.431
61,1625443200000,14.159,14.459,13.246,14.037,3593623.185
62,1625529600000,14.043,15.869,13.991,15.459,6633076.515
63,1625616000000,15.459,16.317,15.087,15.191,5421297.698
64,1625702400000,15.184,15.278,14.065,14.278,3773997.686
65,1625788800000,14.278,14.696,13.7,14.577,2729916.787
66,1625875200000,14.577,15.301,14.283,14.959,3363103.93
67,1625961600000,14.959,15.429,14.621,15.144,2451158.693
68,1626048000000,15.149,15.979,14.472,14.849,3142004.424
69,1626134400000,14.85,15.133,14.231,14.471,2224696.061
70,1626220800000,14.478,14.534,13.298,14.008,4040724.7
71,1626307200000,14.012,14.578,13.51,13.697,3385693.332
