,time,Open,High,Low,Close,Volume
0,1620172800000,5.0332,5.3715,4.9596,5.1996,1850312.62
1,1620259200000,5.2094,5.7681,5.164,5.4209,2493478.84
2,1620345600000,5.42,5.6925,5.2774,5.411,2314473.56
3,1620432000000,5.4092,5.8213,5.3238,5.3668,1936849.74
4,1620518400000,5.3668,5.46,5.1623,5.2642,973410.8
5,1620604800000,5.2612,5.4059,4.7451,4.8753,1281463.77
6,1620691200000,4.8753,5.6,4.776,5.2025,3097546.5
7,1620777600000,5.1994,5.3151,4.4579,4.4706,2263154.35
8,1620864000000,4.4851,4.7168,4.1689,4.3254,1835771.07
9,1620950400000,4.3254,5.1954,4.3242,5.0923,1299384.82
10,1621036800000,5.0785,5.21,4.4758,4.5,1115954.15
11,1621123200000,4.5,5.37,4.3,4.6019,1790243.29
12,1621209600000,4.6109,6.4787,4.4278,5.954,15341809.95
13,1621296000000,5.9776,6.7,5.3124,5.4186,5600056.13
14,1621382400000,5.4186,5.5633,3.6682,3.985,4188992.14
15,1621468800000,4.0049,4.4373,3.68,4.1424,2756386.27
16,1621555200000,4.1426,4.2556,2.898,3.1583,2903515.38
17,1621641600000,3.1661,3.3554,2.7579,3.0147,1979413.45
18,1621728000000,3.0105,3.0169,2.2,2.6379,2217516.5
19,1621814400000,2.6397,3.35,2.4835,3.0825,3324322.01
20,1621900800000,3.089,3.977,2.7065,3.5462,5477368.59
21,1621987200000,3.5442,3.9613,3.4931,3.8119,1959352.53
22,1622073600000,3.8109,3.89,3.521,3.6068,844490.72
23,1622160000000,3.6068,3.7,3.12,3.412,1130741.59
24,1622246400000,3.412,3.911,3.0386,3.4083,1302785.75
25,1622332800000,3.4105,3.6129,3.2123,3.397,995317.39
26,1622419200000,3.397,3.5398,3.2361,3.4971,682061.23
27,1622505600000,3.4971,3.531,3.2844,3.4076,817874.96
28,1622592000000,3.4004,3.8,3.3021,3.4842,1356919.41
29,1622678400000,3.4726,3.5711,3.3937,3.4921,845134.75
30,1622764800000,3.4881,3.5097,3.2191,3.3014,846201.98
31,1622851200000,3.306,3.4183,3.1547,3.2152,901122.18
32,1622937600000,3.2101,3.2909,3.1226,3.237,678635.0
33,1623024000000,3.2347,3.2867,2.8243,2.8602,794447.26
34,1623110400000,2.8553,3.272,2.7266,2.924,2475802.39
35,1623196800000,2.9255,3.266,2.9095,3.0251,1609229.61
36,1623283200000,3.0251,3.0532,2.7981,2.804,1107904.95
37,1623369600000,2.8051,3.2,2.5846,2.6093,3139686.01
38,1623456000000,2.6081,2.7019,2.45,2.489,1651165.47
39,1623542400000,2.493,2.7034,2.4443,2.5886,1904464.68
40,1623628800000,2.5861,2.625,2.47,2.528,4137004.76
41,1623715200000,2.528,2.6459,2.4695,2.5523,1776136.47
42,1623801600000,2.5488,2.567,2.3216,2.344,1031745.86
43,1623888000000,2.3435,2.6769,2.3263,2.5945,1886903.01
44,1623974400000,2.597,2.8591,2.3449,2.4315,3639623.42
45,1624060800000,2.433,2.4703,2.3346,2.3749,873779.53
46,1624147200000,2.3749,2.4082,2.0996,2.3266,1142834.23
47,1624233600000,2.3243,2.3258,1.8688,1.9265,1793429.79
48,1624320000000,1.9266,2.577,1.6501,2.2663,6618490.35
49,1624406400000,2.2664,2.4976,2.0895,2.2629,3996331.6
50,1624492800000,2.2656,2.89,2.1934,2.5957,3188299.58
51,1624579200000,2.6006,3.6726,2.599,2.9924,11823443.28
52,1624665600000,2.9942,4.68,2.9876,4.3875,28904417.59
53,1624752000000,4.3875,4.3877,3.18,3.47,14094689.7
54,1624838400000,3.4676,3.97,3.3385,3.407,8710924.54
