,time,Open,High,Low,Close,Volume
0,1620172800000,0.05807,0.06513,0.05723,0.06199,258493261.7
1,1620259200000,0.06204,0.06244,0.05639,0.05798,307000426.8
2,1620345600000,0.05798,0.06141,0.05591,0.0579,289252962.5
3,1620432000000,0.05789,0.05934,0.0551,0.05669,252263165.1
4,1620518400000,0.05672,0.05741,0.05152,0.05555,368450471.1
5,1620604800000,0.05562,0.05871,0.0427,0.04735,459340334.7
6,1620691200000,0.04737,0.05167,0.04555,0.05076,270289044.8
7,1620777600000,0.05076,0.05614,0.04094,0.04163,411043197.8
8,1620864000000,0.04164,0.04636,0.038,0.0423,356638312.0
9,1620950400000,0.04237,0.05024,0.04207,0.04888,281660564.5
10,1621036800000,0.04885,0.06309,0.04671,0.05697,940572474.2
11,1621123200000,0.05697,0.062,0.05,0.05263,750482208.3
12,1621209600000,0.05265,0.05271,0.04548,0.04721,380263640.0
13,1621296000000,0.04712,0.07684,0.04651,0.06791,1693570038.0
14,1621382400000,0.06791,0.082,0.03861,0.0502,3439465531.8
15,1621468800000,0.05005,0.0595,0.0436,0.04892,1556163237.7
16,1621555200000,0.04895,0.05101,0.03268,0.03814,1331195682.5
17,1621641600000,0.03814,0.03898,0.03155,0.03476,605418041.1
18,1621728000000,0.03483,0.03958,0.0211,0.02663,873997318.4
19,1621814400000,0.02657,0.04,0.02614,0.03666,1017996682.2
20,1621900800000,0.03668,0.0395,0.03193,0.0364,643173406.1
21,1621987200000,0.03642,0.0485,0.03631,0.04797,958221032.7
22,1622073600000,0.04799,0.0618,0.04799,0.05445,1506174490.3
23,1622160000000,0.05448,0.0598,0.04326,0.0467,1029131546.7
24,1622246400000,0.04674,0.05231,0.04095,0.04346,791392517.6
25,1622332800000,0.04354,0.04803,0.0399,0.0444,570005622.0
26,1622419200000,0.0444,0.04675,0.04123,0.04622,529862609.0
27,1622505600000,0.04616,0.04822,0.04188,0.04387,536243448.7
28,1622592000000,0.04383,0.04637,0.04167,0.0438,387196206.6
29,1622678400000,0.04378,0.04997,0.04331,0.04846,633207308.9
30,1622764800000,0.04845,0.04852,0.0405,0.04314,507932916.5
31,1622851200000,0.04312,0.047,0.03883,0.04112,368882260.4
32,1622937600000,0.04107,0.04193,0.03951,0.04114,201484199.4
33,1623024000000,0.04106,0.04416,0.03636,0.03709,354383886.5
34,1623110400000,0.03709,0.03812,0.033,0.03589,380826071.3
35,1623196800000,0.03588,0.0395,0.03355,0.0394,320773050.4
36,1623283200000,0.03945,0.03985,0.03415,0.03544,280442891.6
37,1623369600000,0.03545,0.03983,0.03321,0.03423,441752347.0
38,1623456000000,0.03425,0.03549,0.03051,0.03268,325140536.9
39,1623542400000,0.03275,0.03583,0.03175,0.03505,236189890.9
40,1623628800000,0.03507,0.03874,0.03454,0.03741,298567578.8
41,1623715200000,0.03747,0.04221,0.03717,0.03757,394003099.6
42,1623801600000,0.03757,0.03981,0.03613,0.03875,295775120.5
43,1623888000000,0.03874,0.04038,0.03607,0.03733,283488792.9
44,1623974400000,0.03736,0.03799,0.03358,0.03503,247293012.1
45,1624060800000,0.03504,0.03768,0.03355,0.03531,317329623.5
46,1624147200000,0.03532,0.038,0.03364,0.03531,363393948.5
47,1624233600000,0.03534,0.03549,0.02673,0.0268,405567256.9
48,1624320000000,0.02678,0.02897,0.02185,0.0248,574607364.3
49,1624406400000,0.02481,0.0305,0.02368,0.02901,413542980.3
50,1624492800000,0.02902,0.0293,0.02646,0.02866,209138148.5
51,1624579200000,0.02869,0.03048,0.02521,0.02563,277992986.2
52,1624665600000,0.02559,0.02657,0.02365,0.02503,240466893.3
53,1624752000000,0.02503,0.02664,0.02475,0.02646,208581192.1
54,1624838400000,0.02652,0.02794,0.02566,0.02673,230267535.8
55,1624924800000,0.02675,0.03196,0.02664,0.03028,338739531.9
56,1625011200000,0.03029,0.03079,0.02691,0.02937,253914006.8
57,1625097600000,0.02939,0.0294,0.02605,0.02681,182757661.2
58,1625184000000,0.02677,0.02748,0.02562,0.02664,190095534.6
59,1625270400000,0.02665,0.02836,0.02597,0.02826,143786854.1
60,1625356800000,0.02826,0.02977,0.0266,0.02911,173266713.4
61,1625443200000,0.02905,0.02906,0.0261,0.02702,249023177.5
62,1625529600000,0.02706,0.03116,0.02699,0.02924,467487180.2
63,1625616000000,0.02929,0.03386,0.02862,0.03168,716441127.7
64,1625702400000,0.03168,0.03178,0.02772,0.02861,349437373.8
65,1625788800000,0.02863,0.02944,0.02639,0.0285,255336727.4
66,1625875200000,0.02853,0.02974,0.02716,0.02813,171960581.4
67,1625961600000,0.02808,0.0313,0.02786,0.03042,268052329.0
68,1626048000000,0.03039,0.03065,0.028,0.02872,206906751.2
69,1626134400000,0.02871,0.0291,0.02702,0.02762,162653949.7
70,1626220800000,0.02764,0.02775,0.025,0.02708,221928736.4
71,1626307200000,0.02707,0.02773,0.02422,0.02492,223534394.8
