,time,Open,High,Low,Close,Volume
0,1620172800000,0.865,0.943,0.857,0.908,5645175.922
1,1620259200000,0.908,0.914,0.852,0.876,4656202.423
2,1620345600000,0.875,1.07,0.845,0.938,16954307.359
3,1620432000000,0.938,1.003,0.863,0.889,8211207.752
4,1620518400000,0.89,0.915,0.854,0.884,5630988.356
5,1620604800000,0.884,0.89,0.796,0.803,7133579.255
6,1620691200000,0.803,0.826,0.785,0.824,4607366.47
7,1620777600000,0.827,0.991,0.782,0.8,18604501.6
8,1620864000000,0.8,0.847,0.78,0.801,7866992.224
9,1620950400000,0.803,0.849,0.8,0.816,4646182.622
10,1621036800000,0.818,0.819,0.714,0.724,4935931.433
11,1621123200000,0.723,0.76,0.683,0.716,5472722.825
12,1621209600000,0.717,0.717,0.59,0.618,6751215.898
13,1621296000000,0.618,0.653,0.587,0.617,4399096.771
14,1621382400000,0.614,0.624,0.185,0.383,14593838.735
15,1621468800000,0.383,0.573,0.35,0.493,11159445.563
16,1621555200000,0.492,0.53,0.35,0.405,6897336.344
17,1621641600000,0.406,0.43,0.35,0.376,4744927.721
18,1621728000000,0.374,0.392,0.281,0.325,6943555.132
19,1621814400000,0.325,0.414,0.313,0.395,6786476.642
20,1621900800000,0.393,0.429,0.345,0.374,5107220.605
21,1621987200000,0.374,0.414,0.369,0.408,3837817.915
22,1622073600000,0.408,0.408,0.364,0.382,3858620.079
23,1622160000000,0.381,0.39,0.326,0.336,4600790.214
24,1622246400000,0.334,0.351,0.295,0.313,3886189.731
25,1622332800000,0.313,0.333,0.295,0.326,2397305.656
26,1622419200000,0.326,0.45,0.309,0.409,17496796.111
27,1622505600000,0.409,0.468,0.38,0.41,16181652.3
28,1622592000000,0.41,0.465,0.41,0.442,9060688.164
29,1622678400000,0.442,0.522,0.424,0.501,9690113.426
30,1622764800000,0.501,0.502,0.418,0.428,5078526.821
31,1622851200000,0.428,0.455,0.412,0.421,4852564.833
32,1622937600000,0.42,0.435,0.414,0.419,3818739.756
33,1623024000000,0.419,0.429,0.361,0.363,7675546.506
34,1623110400000,0.362,0.367,0.309,0.343,5522627.581
35,1623196800000,0.343,0.366,0.336,0.352,3271051.883
36,1623283200000,0.352,0.36,0.341,0.342,2735779.364
37,1623369600000,0.341,0.359,0.324,0.327,3042269.687
38,1623456000000,0.325,0.337,0.313,0.321,3362502.642
39,1623542400000,0.321,0.338,0.315,0.336,2287682.531
40,1623628800000,0.336,0.346,0.329,0.341,2995545.676
41,1623715200000,0.341,0.35,0.336,0.342,2655114.134
42,1623801600000,0.343,0.345,0.316,0.323,2441177.624
43,1623888000000,0.323,0.331,0.315,0.325,3670753.372
44,1623974400000,0.325,0.325,0.294,0.297,3635809.416
45,1624060800000,0.297,0.302,0.281,0.287,4954233.147
46,1624147200000,0.287,0.288,0.253,0.268,5378890.782
47,1624233600000,0.268,0.27,0.214,0.215,6756880.459
48,1624320000000,0.216,0.216,0.169,0.182,12143586.338
49,1624406400000,0.183,0.209,0.178,0.206,6375501.033
50,1624492800000,0.207,0.214,0.2,0.209,3476058.807
51,1624579200000,0.209,0.214,0.199,0.204,3929794.499
52,1624665600000,0.204,0.316,0.196,0.244,49827603.512
53,1624752000000,0.244,0.305,0.243,0.261,34834024.037
54,1624838400000,0.261,0.272,0.254,0.256,5830982.193
55,1624924800000,0.257,0.275,0.244,0.255,8025859.504
56,1625011200000,0.254,0.255,0.24,0.252,4406214.79
57,1625097600000,0.253,0.253,0.235,0.236,2209464.528
58,1625184000000,0.237,0.239,0.227,0.231,2530784.707
59,1625270400000,0.232,0.24,0.228,0.236,1903160.595
60,1625356800000,0.235,0.277,0.234,0.253,7776117.716
61,1625443200000,0.252,0.289,0.245,0.278,9406638.946
62,1625529600000,0.278,0.288,0.252,0.263,7438986.725
63,1625616000000,0.263,0.27,0.258,0.258,2953502.706
64,1625702400000,0.258,0.259,0.234,0.239,4126510.665
65,1625788800000,0.239,0.251,0.234,0.249,2894823.385
66,1625875200000,0.249,0.25,0.236,0.24,1875423.351
67,1625961600000,0.241,0.246,0.236,0.242,1741701.114
68,1626048000000,0.242,0.246,0.231,0.233,2061029.079
69,1626134400000,0.233,0.244,0.224,0.226,4544576.289
70,1626220800000,0.227,0.227,0.207,0.217,5254347.361
71,1626307200000,0.217,0.222,0.211,0.213,5675308.635
72,1626393600000,0.214,0.217,0.203,0.21,3357283.334
73,1626480000000,0.21,0.212,0.201,0.201,2586936.646
74,1626566400000,0.201,0.21,0.2,0.202,1904647.555
75,1626652800000,0.201,0.206,0.187,0.188,3004195.987
76,1626739200000,0.187,0.239,0.179,0.187,7458329.605
