,time,Open,High,Low,Close,Volume
0,1627516800000,1.209,2.485,1.209,1.282,67884006.8
1,1627603200000,1.282,1.282,1.142,1.207,19956953.1
2,1627689600000,1.207,1.25,1.158,1.188,8417773.8
3,1627776000000,1.188,1.198,1.086,1.112,5512269.9
4,1627862400000,1.115,1.145,1.06,1.087,4973397.7
5,1627948800000,1.088,1.11,0.956,1.016,6947540.3
6,1628035200000,1.015,1.22,0.989,1.137,11526606.8
7,1628121600000,1.138,1.159,1.005,1.057,12046486.9
8,1628208000000,1.057,1.099,1.022,1.058,6739493.6
9,1628294400000,1.058,1.1,1.039,1.072,6626552.9
10,1628380800000,1.071,1.086,1.004,1.018,4439447.5
11,1628467200000,1.02,1.169,1.0,1.081,8897951.3
12,1628553600000,1.083,1.449,1.061,1.238,25006370.6
13,1628640000000,1.24,1.36,1.177,1.236,16559441.7
14,1628726400000,1.236,1.764,1.221,1.48,41260266.5
