,time,Open,High,Low,Close,Volume
0,1620172800000,1.1535,1.2529,1.13,1.2101,4273504.62
1,1620259200000,1.2102,1.2643,1.0718,1.1283,4075893.04
2,1620345600000,1.1283,1.1535,1.0911,1.1125,3612312.97
3,1620432000000,1.1112,1.1448,1.0845,1.0954,2683844.25
4,1620518400000,1.0954,1.1143,1.0231,1.0656,2397697.63
5,1620604800000,1.0645,1.1434,0.904,0.933,5575713.72
6,1620691200000,0.9366,1.1423,0.9101,1.0776,4448216.65
7,1620777600000,1.0814,1.1188,0.8503,0.8518,3871595.2
8,1620864000000,0.8518,0.9254,0.7964,0.881,2628321.69
9,1620950400000,0.881,0.9845,0.8803,0.9633,2193625.92
10,1621036800000,0.9634,0.9845,0.87,0.8808,2320438.86
11,1621123200000,0.8829,0.9792,0.8231,0.8795,2975309.1
12,1621209600000,0.8854,0.8911,0.7664,0.8513,1941731.34
13,1621296000000,0.8456,0.885,0.7752,0.8118,3571348.79
14,1621382400000,0.8133,0.825,0.43,0.495,5919726.22
15,1621468800000,0.5018,0.68,0.45,0.6061,3674000.2
16,1621555200000,0.6076,0.6409,0.3999,0.4712,5106334.03
17,1621641600000,0.4717,0.4812,0.4034,0.4323,2712082.24
18,1621728000000,0.4321,0.4347,0.285,0.3393,4910350.33
19,1621814400000,0.3371,0.44,0.3194,0.4086,4224188.64
20,1621900800000,0.4086,0.5,0.3833,0.4959,4587813.64
21,1621987200000,0.4956,0.6362,0.4866,0.6195,10819075.59
22,1622073600000,0.6199,0.6299,0.5153,0.598,4681759.04
23,1622160000000,0.5966,0.6152,0.45,0.4824,4256078.63
24,1622246400000,0.481,0.5028,0.4097,0.4328,2925750.78
25,1622332800000,0.4332,0.5925,0.4144,0.5258,12584721.56
26,1622419200000,0.5274,0.544,0.4771,0.5375,4162801.43
27,1622505600000,0.5351,0.5434,0.49,0.5092,2178220.32
28,1622592000000,0.5092,0.585,0.491,0.5304,6092302.68
29,1622678400000,0.5307,0.5651,0.5089,0.5491,5436901.87
30,1622764800000,0.551,0.5555,0.47,0.4922,3153063.39
31,1622851200000,0.4916,0.5227,0.4522,0.4673,2590523.4
32,1622937600000,0.4674,0.5355,0.4591,0.5035,3740433.38
33,1623024000000,0.5035,0.5442,0.4591,0.4653,7073712.13
