,time,Open,High,Low,Close,Volume
0,1620172800000,740.93,789.93,724.85,787.22,45903.54819
1,1620259200000,787.22,809.44,722.86,740.76,50172.64148
2,1620345600000,740.41,745.19,692.98,714.5,42563.35089
3,1620432000000,714.63,800.12,701.68,782.93,60457.09523
4,1620518400000,782.97,785.34,733.14,770.7,36789.22805
5,1620604800000,771.3,812.81,706.83,780.59,65566.06168
6,1620691200000,781.31,871.87,770.85,854.27,110841.61717
7,1620777600000,854.26,911.0,700.0,736.83,112260.89542
8,1620864000000,734.96,810.48,693.0,767.48,110705.66109
9,1620950400000,767.04,821.74,746.13,774.77,60591.83461
10,1621036800000,775.0,783.74,685.72,689.9,45162.43634
11,1621123200000,690.12,736.75,630.17,684.05,55251.42378
12,1621209600000,684.6,709.91,610.88,695.53,64046.28239
13,1621296000000,696.11,726.37,648.03,665.43,66224.26464
14,1621382400000,665.75,673.39,355.0,472.47,171114.88896
15,1621468800000,471.2,571.41,413.17,547.65,96264.63575
16,1621555200000,547.92,583.69,377.77,448.24,109020.65626
17,1621641600000,448.77,455.01,370.34,384.44,88760.37741
18,1621728000000,384.56,401.41,267.55,339.79,127080.70795
19,1621814400000,340.34,435.44,328.44,427.02,78263.46018
20,1621900800000,427.02,440.89,367.81,427.06,88926.56932
21,1621987200000,426.66,464.76,413.3,464.0,58016.08353
22,1622073600000,463.55,464.0,403.07,423.14,46570.47553
23,1622160000000,423.43,426.72,356.0,377.59,49037.00943
24,1622246400000,377.06,405.27,333.54,354.02,41800.60739
25,1622332800000,354.01,424.36,333.33,406.25,41078.64376
26,1622419200000,405.51,437.47,381.57,435.51,42615.31216
27,1622505600000,435.65,439.83,406.73,426.79,34263.69216
28,1622592000000,427.23,459.64,412.78,434.95,32305.99808
29,1622678400000,434.06,453.78,425.45,449.62,33579.27622
30,1622764800000,449.26,449.67,383.46,401.7,44728.14774
31,1622851200000,401.08,418.0,376.8,387.34,28014.70153
32,1622937600000,387.2,395.18,377.23,388.28,20133.04858
33,1623024000000,388.3,412.38,341.0,343.2,37864.11676
34,1623110400000,343.0,352.09,308.0,350.34,50367.34227
35,1623196800000,350.34,380.0,328.77,363.88,54204.13574
36,1623283200000,363.88,365.48,320.56,327.82,46351.46183
37,1623369600000,327.88,331.17,292.02,295.06,29755.65909
38,1623456000000,294.97,306.36,278.66,295.83,40801.8253
39,1623542400000,296.17,330.6,284.6,324.15,31574.20351
40,1623628800000,324.22,343.18,317.39,336.49,39367.04161
41,1623715200000,336.84,349.0,321.43,325.71,36166.61352
42,1623801600000,325.26,325.26,300.93,305.87,31171.97042
43,1623888000000,305.58,323.96,296.72,306.59,22621.63898
44,1623974400000,306.76,308.91,265.02,278.92,36375.87406
45,1624060800000,278.78,287.32,271.2,272.79,16835.76207
46,1624147200000,272.71,300.0,259.57,293.66,38030.91887
47,1624233600000,293.66,295.93,220.6,222.11,61032.7213
48,1624320000000,221.91,247.85,196.46,235.05,92715.09172
49,1624406400000,235.05,270.94,224.52,241.97,80852.02679
50,1624492800000,242.14,260.41,227.17,256.49,57910.6398
51,1624579200000,256.63,260.89,221.17,222.07,46947.49811
52,1624665600000,222.06,229.4,211.34,225.47,50316.03626
53,1624752000000,225.35,257.79,223.35,257.39,57464.63612
54,1624838400000,257.4,319.32,248.79,311.92,213656.49067
55,1624924800000,312.17,330.0,307.37,310.87,115906.48631
56,1625011200000,311.03,338.51,285.0,338.19,95691.94128
57,1625097600000,338.19,356.96,319.42,332.0,152766.62672
58,1625184000000,331.95,369.04,307.0,368.5,137314.07381
59,1625270400000,368.17,386.91,362.41,380.61,128546.08082
60,1625356800000,380.87,464.72,368.43,443.98,178068.46446
61,1625443200000,443.72,520.25,412.99,492.32,320467.18234
62,1625529600000,492.43,530.98,462.51,481.55,239428.82404
63,1625616000000,481.23,493.0,434.41,441.47,150139.6649
64,1625702400000,441.51,445.74,408.43,414.83,138677.91063
65,1625788800000,414.67,441.27,386.7,434.18,120471.55939
66,1625875200000,434.18,448.96,408.8,423.35,94436.33699
67,1625961600000,423.1,457.82,414.29,436.65,78271.4692
68,1626048000000,436.62,444.52,401.91,412.34,62710.33572
69,1626134400000,412.1,418.0,381.11,387.31,55500.80762
70,1626220800000,387.64,424.66,358.51,410.51,95737.89989
