,time,Open,High,Low,Close,Volume
0,1620172800000,2.826,3.15,2.744,3.095,16596027.079
1,1620259200000,3.095,3.42,3.017,3.242,26011324.695
2,1620345600000,3.24,3.9,3.109,3.65,39856322.976
3,1620432000000,3.653,3.969,3.463,3.566,22837220.429
4,1620518400000,3.568,3.6,3.245,3.447,16202194.491
5,1620604800000,3.448,3.698,2.8,3.089,28161732.085
6,1620691200000,3.09,3.348,2.957,3.312,17729400.532
7,1620777600000,3.31,3.889,3.147,3.326,55407773.588
8,1620864000000,3.311,4.264,3.0,3.366,82605469.591
9,1620950400000,3.367,3.833,3.311,3.677,30764062.213
10,1621036800000,3.681,3.9,3.157,3.219,32388725.53
11,1621123200000,3.216,3.5,3.0,3.272,25710907.135
12,1621209600000,3.272,3.274,2.85,3.08,27550768.321
13,1621296000000,3.088,3.605,3.036,3.489,35722908.294
14,1621382400000,3.492,3.579,1.5,1.943,72599689.685
15,1621468800000,1.952,2.435,1.623,2.202,52575744.023
16,1621555200000,2.203,2.345,1.521,1.846,42125173.431
17,1621641600000,1.844,1.994,1.54,1.628,37486558.375
18,1621728000000,1.629,1.712,1.057,1.32,47438067.325
19,1621814400000,1.319,1.65,1.274,1.626,39257856.66
20,1621900800000,1.628,1.705,1.389,1.612,33231112.372
21,1621987200000,1.611,1.93,1.574,1.894,28116710.02
22,1622073600000,1.893,1.932,1.648,1.757,23577556.292
23,1622160000000,1.756,1.793,1.5,1.589,24125898.281
24,1622246400000,1.59,1.753,1.48,1.742,19646401.098
25,1622332800000,1.74,1.8,1.615,1.679,21863942.068
26,1622419200000,1.679,1.968,1.599,1.956,19396942.619
27,1622505600000,1.956,2.08,1.784,2.05,19757394.87
28,1622592000000,2.049,2.518,1.983,2.333,46303154.435
29,1622678400000,2.333,2.747,2.297,2.503,38353504.637
30,1622764800000,2.502,2.788,2.152,2.686,43590603.874
31,1622851200000,2.681,2.9,2.4,2.531,36683981.669
32,1622937600000,2.529,2.621,2.402,2.457,23505210.838
33,1623024000000,2.458,2.573,2.119,2.151,23026444.459
34,1623110400000,2.151,2.379,1.982,2.315,30040664.533
35,1623196800000,2.314,2.584,2.162,2.525,33994468.402
36,1623283200000,2.525,2.54,2.21,2.265,21733792.311
37,1623369600000,2.264,2.308,2.062,2.162,21119314.699
38,1623456000000,2.162,2.29,2.003,2.086,19085730.553
39,1623542400000,2.085,2.271,2.052,2.205,13581045.1
40,1623628800000,2.205,2.323,2.15,2.273,16092506.753
41,1623715200000,2.271,2.356,2.192,2.236,15112346.907
42,1623801600000,2.237,2.254,2.041,2.075,13380367.213
43,1623888000000,2.074,2.174,2.01,2.096,9136036.486
44,1623974400000,2.096,2.137,1.842,1.925,15481946.752
45,1624060800000,1.925,1.97,1.854,1.854,8909015.371
46,1624147200000,1.853,1.959,1.744,1.921,12964018.5
47,1624233600000,1.92,1.949,1.418,1.446,23361099.935
48,1624320000000,1.446,1.591,1.216,1.404,33546717.936
49,1624406400000,1.403,1.579,1.337,1.504,19268907.867
50,1624492800000,1.506,1.725,1.441,1.681,18296160.382
51,1624579200000,1.683,1.74,1.43,1.44,22511059.013
52,1624665600000,1.44,1.514,1.365,1.491,18380167.364
53,1624752000000,1.49,1.6,1.437,1.587,12306178.639
54,1624838400000,1.587,1.667,1.552,1.617,10885753.93
55,1624924800000,1.617,1.862,1.603,1.795,15317721.751
56,1625011200000,1.793,1.847,1.674,1.815,12464275.398
57,1625097600000,1.816,1.855,1.65,1.687,13415185.361
58,1625184000000,1.687,1.726,1.566,1.661,10112442.107
59,1625270400000,1.66,1.787,1.63,1.757,6720391.354
60,1625356800000,1.757,1.904,1.701,1.839,10888774.215
61,1625443200000,1.839,1.848,1.687,1.797,11669284.243
62,1625529600000,1.797,2.062,1.793,1.967,19766399.507
63,1625616000000,1.966,2.099,1.93,1.94,12182111.881
64,1625702400000,1.939,1.95,1.709,1.756,14195425.048
65,1625788800000,1.754,1.796,1.676,1.768,7781799.71
66,1625875200000,1.767,1.809,1.658,1.749,6662369.571
67,1625961600000,1.749,1.78,1.715,1.76,5531727.717
68,1626048000000,1.76,1.791,1.639,1.68,6134533.651
69,1626134400000,1.679,1.69,1.567,1.605,5693717.841
70,1626220800000,1.604,1.632,1.504,1.597,7989879.709
71,1626307200000,1.598,1.649,1.486,1.505,7027001.862
72,1626393600000,1.505,1.544,1.41,1.416,6874468.349
73,1626480000000,1.417,1.465,1.393,1.425,4996509.942
74,1626566400000,1.426,1.509,1.393,1.412,5359469.636
75,1626652800000,1.412,1.42,1.323,1.341,6468626.194
76,1626739200000,1.341,1.371,1.222,1.282,8517067.32
77,1626825600000,1.28,1.474,1.244,1.449,9033586.254
78,1626912000000,1.448,1.549,1.414,1.543,9277548.428
79,1626998400000,1.543,1.618,1.477,1.603,9378666.936
80,1627084800000,1.604,1.617,1.513,1.548,9109681.804
81,1627171200000,1.545,1.558,1.459,1.524,7716123.761
82,1627257600000,1.525,1.71,1.516,1.53,16847271.374
83,1627344000000,1.531,1.586,1.472,1.569,8721700.727
84,1627430400000,1.569,1.584,1.493,1.543,8027532.818
85,1627516800000,1.544,1.633,1.508,1.623,12363775.431
86,1627603200000,1.623,1.71,1.525,1.698,13988679.967
87,1627689600000,1.699,1.764,1.645,1.712,13279649.101
88,1627776000000,1.71,1.78,1.636,1.658,10986584.662
89,1627862400000,1.658,1.692,1.606,1.626,9178995.528
90,1627948800000,1.624,1.638,1.535,1.568,8392218.23
91,1628035200000,1.569,1.649,1.531,1.624,9555923.809
92,1628121600000,1.625,1.825,1.587,1.771,16915306.456
93,1628208000000,1.771,1.976,1.693,1.923,15938711.837
94,1628294400000,1.924,1.98,1.816,1.912,13285122.427
95,1628380800000,1.914,1.94,1.72,1.755,10883600.741
96,1628467200000,1.756,1.908,1.707,1.875,10098787.997
97,1628553600000,1.873,2.078,1.831,2.065,14178371.605
98,1628640000000,2.065,2.193,2.022,2.039,16941616.228
99,1628726400000,2.038,2.15,1.974,2.002,9427157.488
