,time,Open,High,Low,Close,Volume
0,1620172800000,2.6098,3.213,2.5904,3.0135,7729016.96
1,1620259200000,3.0135,3.26,2.7594,2.9745,6996504.06
2,1620345600000,2.9773,3.2,2.8126,2.917,4748352.58
3,1620432000000,2.9197,3.4406,2.8734,3.1734,8418947.32
4,1620518400000,3.1731,3.2536,2.9338,3.1016,4489533.9
5,1620604800000,3.1036,3.185,2.3065,2.593,5505297.78
6,1620691200000,2.5917,2.8378,2.5202,2.6928,4352164.05
7,1620777600000,2.6921,2.8258,2.0799,2.1359,4458298.97
8,1620864000000,2.1315,2.407,2.0212,2.2214,4397556.26
9,1620950400000,2.2214,2.3885,2.21,2.3278,2269637.17
10,1621036800000,2.328,2.3845,2.0452,2.0981,2704187.13
11,1621123200000,2.0961,2.3,2.0001,2.1688,2569734.57
12,1621209600000,2.17,2.1714,1.8712,1.955,3441306.78
13,1621296000000,1.9596,2.1425,1.9286,1.978,2797350.81
14,1621382400000,1.9777,2.0259,1.164,1.2297,9062883.12
15,1621468800000,1.2298,1.662,1.1001,1.4715,7419399.7
16,1621555200000,1.4678,1.5368,1.027,1.2172,5365302.75
17,1621641600000,1.2171,1.3307,1.0549,1.22,4095450.06
18,1621728000000,1.22,1.2838,0.8932,1.1151,7297382.83
19,1621814400000,1.1077,1.3153,1.0718,1.3001,3546381.15
20,1621900800000,1.3024,1.3656,1.1325,1.3184,3247689.42
21,1621987200000,1.3161,1.4722,1.2889,1.457,2254646.08
22,1622073600000,1.457,1.4991,1.2931,1.4077,2080164.99
23,1622160000000,1.409,1.4284,1.1254,1.2002,2584173.39
24,1622246400000,1.2022,1.2538,1.0394,1.0868,1667181.24
25,1622332800000,1.0871,1.35,1.0136,1.2634,6936187.63
26,1622419200000,1.2604,1.4167,1.1944,1.3358,3862981.93
27,1622505600000,1.336,1.351,1.2493,1.3074,3205216.31
28,1622592000000,1.3097,1.5823,1.2809,1.4371,6772085.38
29,1622678400000,1.4374,1.536,1.4051,1.4554,4535094.8
30,1622764800000,1.4568,1.4616,1.1934,1.2517,3847943.91
31,1622851200000,1.2528,1.3755,1.1951,1.2444,3178228.36
32,1622937600000,1.2474,1.2899,1.2117,1.2708,1610363.2
33,1623024000000,1.273,1.3922,1.1308,1.1571,3759096.96
34,1623110400000,1.1567,1.1904,1.0443,1.1399,2151796.58
35,1623196800000,1.1356,1.2599,1.0799,1.1977,4022810.9
36,1623283200000,1.1996,1.225,1.1355,1.217,2694597.37
37,1623369600000,1.217,1.2701,1.122,1.1416,3825660.4
38,1623456000000,1.1424,1.1575,1.049,1.0909,2074897.39
39,1623542400000,1.093,1.2167,1.0699,1.206,1623341.87
40,1623628800000,1.21,1.3098,1.2094,1.2611,2555452.1
41,1623715200000,1.26,1.4444,1.2313,1.3128,5331977.84
42,1623801600000,1.3131,1.3468,1.2113,1.2324,3072761.23
43,1623888000000,1.2307,1.355,1.2262,1.3173,23032911.14
44,1623974400000,1.3163,1.3201,1.1337,1.1681,1897315.26
45,1624060800000,1.1681,1.2067,1.1222,1.1443,1326500.76
46,1624147200000,1.1433,1.1927,1.09,1.1503,1998100.62
47,1624233600000,1.152,1.1785,0.8875,0.889,3210474.97
48,1624320000000,0.8903,0.959,0.75,0.8786,3053255.83
49,1624406400000,0.8774,0.9693,0.8325,0.9217,2277027.15
50,1624492800000,0.9229,0.99,0.8721,0.9369,1939750.95
51,1624579200000,0.9372,0.9566,0.8168,0.8287,2030617.92
52,1624665600000,0.8261,0.8719,0.783,0.8717,2131652.15
53,1624752000000,0.8714,0.95,0.8448,0.9109,2151029.51
54,1624838400000,0.9092,0.9396,0.885,0.9181,1459332.15
55,1624924800000,0.918,0.9928,0.9168,0.9668,1568909.51
56,1625011200000,0.9676,1.023,0.9147,0.977,1674652.6
57,1625097600000,0.9756,1.2231,0.9578,1.1802,17974054.11
58,1625184000000,1.1792,1.1999,1.0948,1.1808,5023000.43
59,1625270400000,1.1822,1.2168,1.1412,1.1664,2410123.02
60,1625356800000,1.1678,1.2751,1.1263,1.1989,2932101.09
61,1625443200000,1.1986,1.2064,1.103,1.1246,2909539.9
62,1625529600000,1.1263,1.1949,1.1163,1.1393,2149820.82
63,1625616000000,1.1384,1.1916,1.1286,1.1328,2687358.12
64,1625702400000,1.1331,1.1418,1.0036,1.0282,3630966.38
65,1625788800000,1.0281,1.037,0.9751,1.02,2284155.68
66,1625875200000,1.0192,1.0443,0.9785,1.005,1288219.91
67,1625961600000,1.0058,1.12,0.9956,1.0606,3775806.31
68,1626048000000,1.0614,1.1102,0.9817,1.0065,2806196.26
69,1626134400000,1.0041,1.0214,0.9676,1.0144,1543541.9
70,1626220800000,1.0143,1.1371,0.9325,1.0541,5805649.23
71,1626307200000,1.0528,1.266,1.0331,1.2163,8915994.77
72,1626393600000,1.2129,1.28,1.0726,1.0735,7296972.34
73,1626480000000,1.0755,1.087,1.0106,1.0253,2634508.64
74,1626566400000,1.026,1.17,1.0224,1.0773,8944732.5
75,1626652800000,1.0773,1.0846,0.9757,0.9845,8160449.5
76,1626739200000,0.9845,1.0013,0.8837,0.9187,4573030.97
77,1626825600000,0.9193,1.0471,0.8869,1.0004,4357991.03
78,1626912000000,1.0006,1.0649,0.9712,1.044,4873169.73
79,1626998400000,1.044,1.094,1.0112,1.0641,4732930.78
80,1627084800000,1.0641,1.1605,1.0266,1.0434,7435436.27
81,1627171200000,1.0423,1.1168,1.0112,1.0929,6384485.68
82,1627257600000,1.0945,1.19,1.0201,1.024,10386345.11
83,1627344000000,1.0231,1.0675,0.965,1.0395,8370183.57
84,1627430400000,1.0395,1.0787,1.002,1.0113,5206041.77
85,1627516800000,1.0114,1.0572,0.9788,1.0425,5668658.18
86,1627603200000,1.0423,1.14,0.995,1.1253,8952045.49
87,1627689600000,1.1264,1.1581,1.0745,1.0945,6622865.46
88,1627776000000,1.0934,1.2197,1.0825,1.1018,11298231.28
89,1627862400000,1.1044,1.245,1.0709,1.2096,9170754.81
90,1627948800000,1.2106,1.2646,1.1276,1.2248,8631030.24
91,1628035200000,1.2238,1.3018,1.1741,1.2578,8134015.78
92,1628121600000,1.2596,1.3526,1.2273,1.3265,9286236.1
93,1628208000000,1.3265,1.38,1.2968,1.3175,6514108.05
94,1628294400000,1.3192,1.3868,1.2719,1.303,5438568.74
95,1628380800000,1.3033,1.3258,1.187,1.2011,5376006.18
96,1628467200000,1.2029,1.335,1.1558,1.3041,6225455.16
97,1628553600000,1.3046,1.37,1.2549,1.3205,5577689.02
98,1628640000000,1.3207,1.5973,1.3138,1.5003,12569207.46
99,1628726400000,1.4983,1.605,1.3644,1.3865,6806904.22
