,time,Open,High,Low,Close,Volume
0,1620172800000,0.3505,0.4251,0.3473,0.392,13938363.67
1,1620259200000,0.392,0.4,0.365,0.3803,9027405.3
2,1620345600000,0.3811,0.41,0.3606,0.3895,8091731.29
3,1620432000000,0.3895,0.44,0.3867,0.413,12924588.68
4,1620518400000,0.4142,0.5935,0.4037,0.5423,143488759.09
5,1620604800000,0.5422,0.5434,0.38,0.4009,55841550.79
6,1620691200000,0.401,0.4149,0.3825,0.3951,13848131.32
7,1620777600000,0.3952,0.4064,0.3403,0.3447,11386149.17
8,1620864000000,0.3445,0.3633,0.306,0.3299,7789135.62
9,1620950400000,0.33,0.3625,0.323,0.3427,6854492.6
10,1621036800000,0.3427,0.3479,0.3076,0.3169,6350481.38
11,1621123200000,0.3153,0.3579,0.2903,0.3127,8023351.7
12,1621209600000,0.3135,0.314,0.2688,0.2845,8835833.62
13,1621296000000,0.2842,0.315,0.2796,0.3023,5832525.71
14,1621382400000,0.3024,0.308,0.149,0.1966,15962696.74
15,1621468800000,0.1968,0.2414,0.175,0.2208,6629656.21
16,1621555200000,0.221,0.2369,0.1524,0.181,16433933.39
17,1621641600000,0.1808,0.2025,0.1584,0.1858,6196971.83
18,1621728000000,0.1855,0.1912,0.1231,0.1465,9679843.61
19,1621814400000,0.1469,0.175,0.1412,0.1714,6859210.38
20,1621900800000,0.1714,0.1791,0.1499,0.1735,9323665.81
21,1621987200000,0.1741,0.2,0.1715,0.1948,15725131.78
22,1622073600000,0.1948,0.24,0.1825,0.1974,33599643.07
23,1622160000000,0.1977,0.2012,0.1661,0.172,17635429.42
24,1622246400000,0.1718,0.1789,0.1529,0.163,15881981.57
25,1622332800000,0.1629,0.1968,0.152,0.1814,53105232.22
26,1622419200000,0.1814,0.1888,0.1687,0.1871,7864705.18
27,1622505600000,0.1862,0.1902,0.1713,0.1762,5610968.2
28,1622592000000,0.1766,0.1972,0.1708,0.1935,8258033.14
29,1622678400000,0.1935,0.2074,0.1851,0.2024,12276609.49
30,1622764800000,0.2027,0.27,0.1796,0.2341,132414541.63
31,1622851200000,0.2343,0.2586,0.1994,0.205,40609923.8
32,1622937600000,0.205,0.2123,0.1985,0.2018,11243383.1
33,1623024000000,0.2018,0.2077,0.1778,0.1796,10114185.26
34,1623110400000,0.1792,0.1933,0.165,0.1841,9936140.56
35,1623196800000,0.1841,0.1964,0.1739,0.1936,10493868.16
36,1623283200000,0.194,0.2283,0.1887,0.2039,28108601.43
37,1623369600000,0.2041,0.2064,0.1756,0.1783,7416318.26
38,1623456000000,0.1778,0.2643,0.171,0.2301,148317698.42
39,1623542400000,0.2302,0.255,0.1933,0.2095,58132791.2
40,1623628800000,0.2092,0.2196,0.2006,0.2026,15236154.06
41,1623715200000,0.2026,0.2295,0.1983,0.215,18873596.11
42,1623801600000,0.2154,0.22,0.1967,0.2061,15668621.69
43,1623888000000,0.2059,0.2176,0.1942,0.1981,9595531.13
44,1623974400000,0.198,0.1998,0.177,0.1896,25965502.28
45,1624060800000,0.1899,0.1971,0.1836,0.1872,10327006.76
46,1624147200000,0.187,0.2123,0.18,0.1969,55492961.4
47,1624233600000,0.1965,0.1983,0.1529,0.1541,10538678.13
48,1624320000000,0.154,0.1683,0.1275,0.1388,13596183.08
49,1624406400000,0.1387,0.1563,0.133,0.1454,9768467.11
50,1624492800000,0.1454,0.1491,0.136,0.1474,7520347.74
51,1624579200000,0.1474,0.1512,0.13,0.1374,5448778.82
52,1624665600000,0.1367,0.1464,0.1283,0.1404,10984123.62
53,1624752000000,0.1406,0.1482,0.1329,0.1423,10026210.71
54,1624838400000,0.1427,0.1496,0.1366,0.1468,7158486.0
55,1624924800000,0.1473,0.1633,0.147,0.1485,19874790.88
56,1625011200000,0.1485,0.1775,0.1408,0.1553,89885247.89
57,1625097600000,0.1558,0.1627,0.149,0.1522,12674805.25
58,1625184000000,0.1519,0.1595,0.1422,0.154,29457325.46
59,1625270400000,0.1541,0.163,0.1495,0.1533,11727664.57
60,1625356800000,0.1531,0.1582,0.1479,0.1527,5625024.87
61,1625443200000,0.153,0.1537,0.1406,0.1475,9932599.84
62,1625529600000,0.1479,0.1609,0.1472,0.1564,9785111.69
63,1625616000000,0.1562,0.1634,0.1509,0.1512,9202998.08
64,1625702400000,0.1516,0.1519,0.1386,0.1422,15809782.19
65,1625788800000,0.1421,0.151,0.14,0.1456,11672221.22
66,1625875200000,0.1453,0.1491,0.1395,0.1448,4182421.92
67,1625961600000,0.1445,0.1567,0.1437,0.1484,14911616.69
68,1626048000000,0.1484,0.152,0.1437,0.148,4462228.87
69,1626134400000,0.1484,0.1644,0.145,0.1581,18807029.33
70,1626220800000,0.1582,0.1585,0.1421,0.1536,9593150.67
71,1626307200000,0.1535,0.1552,0.1389,0.1424,9668450.51
72,1626393600000,0.1422,0.1478,0.1348,0.139,13448535.1
73,1626480000000,0.139,0.1459,0.1372,0.1379,8304332.95
74,1626566400000,0.1379,0.153,0.1347,0.1412,41196392.78
75,1626652800000,0.1401,0.1454,0.1236,0.1242,11740844.2
