,time,Open,High,Low,Close,Volume
0,1620172800000,360.85,420.0,357.92,396.74,548046.67742
1,1620259200000,396.43,454.0,371.8,443.11,576297.62209
2,1620345600000,442.87,478.0,391.0,404.11,505079.99877
3,1620432000000,404.48,428.28,392.66,408.83,242237.36565
4,1620518400000,409.26,410.09,372.0,406.96,254577.57373
5,1620604800000,407.08,433.33,354.78,371.63,317816.2083
6,1620691200000,371.39,434.43,360.49,426.74,299251.91158
7,1620777600000,426.74,439.17,351.0,359.0,398862.92793
8,1620864000000,358.56,384.5,336.92,357.29,352494.61062
9,1620950400000,357.5,386.01,354.41,371.01,153905.32784
10,1621036800000,371.01,374.78,333.69,336.28,199185.18445
11,1621123200000,336.15,367.23,311.67,331.6,217015.60658
12,1621209600000,331.44,331.85,281.35,294.45,370066.67888
13,1621296000000,294.72,318.31,290.22,304.52,216644.02788
14,1621382400000,304.64,310.4,140.73,189.04,744158.20324
15,1621468800000,189.73,238.13,165.63,226.94,471119.01152
16,1621555200000,226.97,235.57,165.19,188.34,384233.69396
17,1621641600000,188.31,194.28,169.37,178.31,296652.85765
18,1621728000000,178.14,184.02,122.51,149.93,517506.94062
19,1621814400000,150.01,201.48,146.3,201.48,373905.92432
20,1621900800000,201.48,216.06,176.14,195.0,381481.93012
21,1621987200000,195.17,221.51,191.39,214.1,292941.41175
22,1622073600000,214.09,215.18,191.47,205.1,211320.49341
23,1622160000000,205.13,206.45,170.75,183.22,331623.12096
24,1622246400000,183.25,210.34,170.63,176.53,381318.37904
25,1622332800000,176.93,190.66,165.42,181.8,210084.63012
26,1622419200000,181.88,198.62,172.92,197.42,186504.39322
27,1622505600000,197.6,201.65,184.41,191.5,158953.7135
28,1622592000000,191.49,209.42,186.83,202.42,189730.10124
29,1622678400000,202.39,218.95,198.36,210.25,186665.09481
30,1622764800000,210.33,210.33,180.38,191.25,196528.06678
31,1622851200000,191.25,198.49,179.12,185.23,140283.97567
