,time,Open,High,Low,Close,Volume
0,1620172800000,0.1746,0.2085,0.1726,0.19698,70050313.0
1,1620259200000,0.19698,0.19774,0.176,0.178,26729622.5
2,1620345600000,0.17851,0.18795,0.17011,0.17809,24892280.3
3,1620432000000,0.17787,0.17875,0.16998,0.17285,14774442.7
4,1620518400000,0.1728,0.1728,0.16056,0.16456,15713263.9
5,1620604800000,0.1645,0.17179,0.13779,0.14446,22458560.1
6,1620691200000,0.14453,0.15588,0.13858,0.15333,14236134.5
7,1620777600000,0.1532,0.16757,0.12719,0.12951,23467555.6
8,1620864000000,0.12951,0.14243,0.11977,0.12837,20824533.8
9,1620950400000,0.12837,0.15065,0.125,0.13396,24367725.3
10,1621036800000,0.13395,0.17,0.123,0.15105,105407829.6
11,1621123200000,0.15107,0.19679,0.13775,0.14409,267665707.4
12,1621209600000,0.14408,0.15062,0.12522,0.12931,53739514.9
13,1621296000000,0.12931,0.13891,0.1253,0.12707,31107811.6
14,1621382400000,0.12717,0.12966,0.069,0.08436,54963723.1
15,1621468800000,0.08436,0.10037,0.07656,0.096,25943697.1
16,1621555200000,0.09595,0.10116,0.07,0.07953,35087521.2
17,1621641600000,0.07908,0.08934,0.06917,0.074,19529396.2
18,1621728000000,0.07436,0.07757,0.04859,0.06136,30368623.1
19,1621814400000,0.06145,0.08025,0.05946,0.0782,23210425.4
20,1621900800000,0.07867,0.0808,0.06761,0.07729,12632564.8
21,1621987200000,0.07724,0.09718,0.076,0.09542,43121139.8
22,1622073600000,0.09613,0.09684,0.0816,0.0853,20887483.8
23,1622160000000,0.085,0.08541,0.07003,0.07283,13234962.6
24,1622246400000,0.07293,0.08033,0.0703,0.07432,19831892.4
25,1622332800000,0.07456,0.09048,0.07104,0.08212,48414300.0
26,1622419200000,0.08212,0.08893,0.07817,0.08585,20709551.5
27,1622505600000,0.08592,0.08849,0.08122,0.08361,10645308.8
28,1622592000000,0.0834,0.0895,0.08137,0.08595,11149037.0
29,1622678400000,0.08562,0.09225,0.085,0.09035,14438371.7
30,1622764800000,0.09113,0.093,0.07598,0.08067,22336591.5
31,1622851200000,0.08067,0.088,0.07264,0.0751,16301430.8
32,1622937600000,0.07504,0.0972,0.07438,0.07927,67174408.6
33,1623024000000,0.07949,0.08164,0.07003,0.07178,18298465.7
34,1623110400000,0.07177,0.10774,0.06599,0.09011,322289148.5
35,1623196800000,0.09011,0.25863,0.085,0.14025,2767732623.2
36,1623283200000,0.1402,0.23906,0.1281,0.19056,2812388311.6
37,1623369600000,0.19057,0.21878,0.15328,0.1549,819798365.8
38,1623456000000,0.15489,0.18864,0.14,0.1815,575170006.4
39,1623542400000,0.18124,0.217,0.17167,0.1842,847613193.3
40,1623628800000,0.18446,0.203,0.17346,0.17758,381407553.0
41,1623715200000,0.17756,0.18081,0.16353,0.16718,190243410.5
42,1623801600000,0.16692,0.16958,0.14674,0.15103,154225627.1
43,1623888000000,0.15096,0.1722,0.147,0.15424,166334187.0
44,1623974400000,0.15423,0.15441,0.12446,0.12727,129820763.1
45,1624060800000,0.1276,0.172,0.1251,0.15363,593315949.6
46,1624147200000,0.15368,0.15546,0.1339,0.14401,243960565.7
47,1624233600000,0.144,0.14503,0.10265,0.1046,177972647.0
48,1624320000000,0.10477,0.122,0.08189,0.09618,239802319.9
49,1624406400000,0.09591,0.14357,0.09165,0.12661,414678478.9
50,1624492800000,0.12668,0.135,0.11649,0.12596,218802425.3
51,1624579200000,0.12605,0.12918,0.10594,0.10698,124490071.1
52,1624665600000,0.10698,0.1249,0.10285,0.11637,180972764.5
53,1624752000000,0.11635,0.12158,0.10969,0.11708,132931108.5
54,1624838400000,0.11721,0.12125,0.11248,0.11692,114359186.5
55,1624924800000,0.11692,0.13299,0.11602,0.12023,158074977.7
56,1625011200000,0.12038,0.125,0.11022,0.11824,84458437.9
57,1625097600000,0.11823,0.11929,0.1115,0.11397,69654258.1
58,1625184000000,0.11392,0.116,0.1113,0.11429,57903719.2
59,1625270400000,0.11429,0.12,0.1121,0.11412,55787815.3
60,1625356800000,0.11406,0.1163,0.1119,0.11345,59122231.4
61,1625443200000,0.11332,0.1137,0.10472,0.10625,55474064.1
62,1625529600000,0.10631,0.1145,0.10568,0.10725,80191977.6
63,1625616000000,0.10723,0.11195,0.10567,0.10687,43600745.9
64,1625702400000,0.107,0.10713,0.09683,0.09913,177048982.3
65,1625788800000,0.09902,0.10089,0.094,0.09871,64741660.0
66,1625875200000,0.09876,0.10043,0.09413,0.09564,41334284.1
67,1625961600000,0.09562,0.09985,0.09411,0.09635,42403136.3
68,1626048000000,0.09636,0.09734,0.08856,0.09074,37708824.4
69,1626134400000,0.09062,0.09084,0.08659,0.08795,35717734.6
70,1626220800000,0.08794,0.08818,0.08067,0.08689,38904429.1
71,1626307200000,0.08677,0.08942,0.07916,0.08543,37129921.3
72,1626393600000,0.08542,0.13,0.08289,0.09975,705176674.8
73,1626480000000,0.09976,0.10215,0.08792,0.09024,199206890.7
74,1626566400000,0.0903,0.09315,0.08866,0.08992,68365252.2
75,1626652800000,0.08992,0.08996,0.07957,0.08286,48523464.6
76,1626739200000,0.083,0.0848,0.0731,0.07714,52783939.1
77,1626825600000,0.07693,0.08894,0.0751,0.08539,77210841.5
78,1626912000000,0.08551,0.09027,0.08172,0.08706,102461140.0
79,1626998400000,0.0871,0.09079,0.08269,0.08924,68871347.4
80,1627084800000,0.08931,0.09289,0.08599,0.08791,88095904.4
81,1627171200000,0.08792,0.09195,0.08504,0.08961,87521872.1
82,1627257600000,0.08952,0.10561,0.08914,0.0918,174929757.3
83,1627344000000,0.0916,0.095,0.08537,0.09142,94992320.5
84,1627430400000,0.0914,0.09291,0.08856,0.09017,58924700.3
85,1627516800000,0.09017,0.1138,0.08833,0.10255,406599953.0
86,1627603200000,0.10263,0.10344,0.09501,0.10089,116800049.5
87,1627689600000,0.10095,0.10669,0.09704,0.10002,80668899.4
88,1627776000000,0.10002,0.10488,0.0958,0.0967,66627280.8
89,1627862400000,0.09679,0.09942,0.09527,0.09631,41189325.9
90,1627948800000,0.09634,0.10056,0.09115,0.09891,53900348.9
91,1628035200000,0.09889,0.1055,0.09518,0.10248,60336056.5
92,1628121600000,0.10248,0.1413,0.09772,0.11968,325271326.8
93,1628208000000,0.11973,0.129,0.11086,0.11443,193095749.5
94,1628294400000,0.11443,0.15348,0.11268,0.13054,356356606.6
95,1628380800000,0.13054,0.14271,0.1179,0.12079,138300419.5
96,1628467200000,0.12079,0.1312,0.1176,0.12607,64721808.7
97,1628553600000,0.12607,0.12947,0.12209,0.12586,47177845.4
98,1628640000000,0.12589,0.13944,0.125,0.129,103764323.4
99,1628726400000,0.12899,0.136,0.12604,0.12885,40785756.3
