,time,Open,High,Low,Close,Volume
0,1620172800000,187.38,202.14,186.05,197.83,15842.5508
1,1620259200000,197.83,206.0,190.0,195.45,21522.0846
2,1620345600000,195.45,209.0,191.5,202.24,21017.2362
3,1620432000000,202.24,210.2,200.0,207.49,15380.0602
4,1620518400000,207.48,221.68,203.21,218.19,21126.9682
5,1620604800000,218.2,229.98,200.0,210.88,18939.4965
6,1620691200000,209.99,222.07,200.04,219.42,12142.0479
7,1620777600000,219.85,226.62,193.0,195.48,20568.0441
8,1620864000000,194.6,207.87,188.0,197.05,18730.0657
9,1620950400000,197.38,205.98,194.36,200.25,18481.5116
10,1621036800000,199.87,202.55,183.86,184.76,24988.3735
11,1621123200000,184.74,194.0,169.03,183.18,18668.7426
12,1621209600000,183.2,183.79,161.39,169.27,18610.3855
13,1621296000000,169.76,188.0,166.68,180.03,14991.0395
14,1621382400000,181.21,182.36,105.0,123.68,35842.8143
15,1621468800000,124.57,147.5,116.12,144.3,19288.4248
16,1621555200000,144.23,149.35,114.32,128.01,23187.8744
17,1621641600000,127.84,134.0,113.0,121.89,15335.3741
18,1621728000000,121.14,125.42,87.57,105.67,34297.0803
19,1621814400000,105.81,134.73,99.45,131.07,20543.1522
20,1621900800000,132.57,140.0,117.83,139.74,16884.6006
21,1621987200000,138.78,152.0,131.13,145.43,21951.5147
22,1622073600000,145.8,154.63,135.89,151.01,11105.0309
23,1622160000000,151.05,154.0,136.53,145.49,10987.3357
24,1622246400000,145.51,154.79,128.0,138.15,27576.6223
25,1622332800000,138.35,159.6,133.31,154.78,12774.4676
26,1622419200000,154.97,174.75,153.72,170.87,26481.2149
27,1622505600000,170.88,177.08,158.24,161.51,16767.6768
28,1622592000000,161.9,166.09,156.89,158.21,19797.9967
29,1622678400000,158.21,164.97,151.83,158.75,16928.7754
30,1622764800000,158.77,158.83,136.58,141.9,18942.083
31,1622851200000,142.23,146.17,131.18,138.43,13136.9789
32,1622937600000,138.43,146.34,137.81,145.57,5521.9953
33,1623024000000,145.68,149.66,130.66,132.46,7153.9021
34,1623110400000,132.39,133.86,118.1,129.69,11312.9067
35,1623196800000,129.69,141.92,126.43,139.31,8600.8063
36,1623283200000,139.44,141.84,131.26,136.25,7047.0622
37,1623369600000,137.19,142.3,135.4,139.31,5717.7917
38,1623456000000,139.44,140.92,123.71,130.86,10045.1389
39,1623542400000,130.8,144.29,126.17,137.29,6313.7769
40,1623628800000,137.19,139.19,131.96,138.71,7422.1406
41,1623715200000,138.69,144.0,135.26,141.64,9802.5544
42,1623801600000,142.13,142.13,128.44,131.45,9554.7552
43,1623888000000,131.53,137.0,125.03,128.46,13226.0135
44,1623974400000,128.7,130.0,113.35,115.58,16137.5694
45,1624060800000,115.87,125.0,114.34,123.08,5456.5376
46,1624147200000,123.42,127.38,113.63,125.14,6566.5708
47,1624233600000,125.04,126.94,103.2,104.11,11181.2522
48,1624320000000,104.24,112.99,85.86,101.33,21113.6899
49,1624406400000,101.5,115.0,98.47,111.71,8131.5807
50,1624492800000,111.44,112.31,102.42,106.73,34623.0789
51,1624579200000,107.04,114.36,104.99,111.78,9698.8116
52,1624665600000,112.21,119.03,99.0,116.94,30143.8268
53,1624752000000,116.68,124.46,111.66,123.48,23450.3712
54,1624838400000,123.91,134.38,122.76,131.34,11905.6302
55,1624924800000,131.72,148.8,130.09,147.69,11950.4141
56,1625011200000,147.47,149.95,134.1,142.7,13359.2942
57,1625097600000,143.18,144.61,127.36,135.03,12324.5053
58,1625184000000,135.02,143.26,129.22,140.99,12961.7184
59,1625270400000,140.68,149.0,138.0,148.14,5989.8375
60,1625356800000,148.1,149.8,136.69,138.42,8307.8756
61,1625443200000,138.89,141.5,132.0,137.15,8310.3002
62,1625529600000,137.14,141.49,134.69,139.77,7804.9897
63,1625616000000,139.77,141.0,136.5,136.5,4093.1984
64,1625702400000,136.6,137.3,118.18,121.44,16454.4804
65,1625788800000,121.39,134.09,117.39,131.51,5181.8082
66,1625875200000,131.51,134.65,128.74,133.59,5100.5376
67,1625961600000,133.45,137.0,128.72,133.56,5966.3185
68,1626048000000,133.57,139.0,125.53,127.33,5435.3553
69,1626134400000,127.33,128.67,122.0,123.78,3881.2175
70,1626220800000,123.79,124.79,113.7,114.71,9746.625
71,1626307200000,114.74,116.1,109.78,112.83,6249.147
72,1626393600000,113.07,115.94,110.06,113.1,6917.7885
73,1626480000000,113.11,118.0,109.93,116.58,5890.6754
74,1626566400000,115.97,120.0,111.79,114.66,4961.0179
75,1626652800000,115.14,115.83,100.21,101.81,7729.8145
76,1626739200000,101.41,102.38,90.98,100.97,9205.2062
77,1626825600000,100.78,112.58,97.91,111.87,9093.4622
78,1626912000000,111.9,120.0,110.89,117.46,6640.8125
79,1626998400000,117.44,121.0,112.21,121.0,4200.3505
80,1627084800000,120.55,129.46,119.85,128.92,6597.7572
81,1627171200000,128.86,131.53,123.79,131.23,6056.5348
82,1627257600000,131.23,142.31,127.22,130.03,8809.9324
83,1627344000000,130.04,136.39,122.83,136.0,4666.6083
84,1627430400000,136.45,143.2,134.17,138.22,8924.9963
85,1627516800000,138.53,144.6,134.54,142.86,5632.0403
86,1627603200000,143.29,152.96,128.91,152.3,10218.2578
87,1627689600000,152.92,158.0,147.98,155.69,8611.7838
88,1627776000000,155.72,158.93,148.1,149.02,8868.3566
89,1627862400000,148.96,150.33,134.79,134.86,21812.9404
90,1627948800000,134.8,135.2,125.0,126.59,20086.3018
91,1628035200000,126.79,136.77,126.22,136.17,12014.3805
92,1628121600000,136.54,140.4,131.19,138.88,13560.9869
93,1628208000000,139.36,142.27,132.25,141.78,17589.4411
94,1628294400000,142.17,146.0,136.63,145.44,16180.151
95,1628380800000,145.4,155.0,140.31,150.79,13540.54
96,1628467200000,150.89,158.82,146.77,157.78,12393.9744
97,1628553600000,157.78,160.17,154.5,159.32,9423.1461
98,1628640000000,159.77,161.39,155.0,155.36,7608.2377
99,1628726400000,155.2,163.0,153.63,155.85,4519.5812
