,time,Open,High,Low,Close,Volume
0,1620172800000,14.272,16.8,14.165,15.708,1459443.461
1,1620259200000,15.708,18.6,14.82,15.259,3388189.343
2,1620345600000,15.296,15.65,14.3,14.72,1277429.783
3,1620432000000,14.723,15.468,14.59,14.684,807829.148
4,1620518400000,14.684,14.934,13.801,14.161,807646.232
5,1620604800000,14.182,15.155,12.27,12.591,1203747.63
6,1620691200000,12.644,13.7,12.212,13.378,953512.803
7,1620777600000,13.343,13.931,10.544,10.644,1069691.709
8,1620864000000,10.65,11.886,9.7,10.514,1991126.988
9,1620950400000,10.521,11.898,10.43,11.229,1174961.61
10,1621036800000,11.234,12.3,10.169,10.347,1045416.819
11,1621123200000,10.343,13.5,10.185,12.143,2225593.636
12,1621209600000,12.156,12.93,10.3,12.262,2647099.159
13,1621296000000,12.263,13.2,11.183,11.652,1830234.618
14,1621382400000,11.624,11.938,5.963,7.501,2336330.367
15,1621468800000,7.501,9.66,6.764,8.444,1774266.996
16,1621555200000,8.439,9.0,5.83,6.87,1623413.891
17,1621641600000,6.912,7.252,5.842,6.326,940786.401
18,1621728000000,6.3,6.569,4.01,4.925,1411559.991
19,1621814400000,4.925,6.595,4.896,6.581,1303412.418
20,1621900800000,6.581,6.918,5.5,6.447,1113429.361
21,1621987200000,6.447,7.899,6.219,7.756,1910326.605
22,1622073600000,7.747,9.2,6.544,8.302,2618701.16
23,1622160000000,8.329,8.626,6.65,7.129,1916443.971
24,1622246400000,7.135,7.7,6.225,7.218,1339605.435
25,1622332800000,7.202,8.88,6.689,8.205,1970611.72
26,1622419200000,8.208,8.658,7.287,8.406,1234388.905
27,1622505600000,8.406,8.75,7.861,8.115,749095.31
28,1622592000000,8.121,8.429,7.871,8.033,640009.832
29,1622678400000,8.019,8.45,7.931,8.218,913639.236
30,1622764800000,8.231,8.247,6.831,7.312,1094127.091
31,1622851200000,7.33,7.725,6.715,6.979,683176.729
32,1622937600000,6.979,7.425,6.908,7.248,420984.939
33,1623024000000,7.253,7.444,6.43,6.531,610752.054
34,1623110400000,6.53,6.694,5.456,6.138,755047.787
35,1623196800000,6.136,6.866,5.808,6.673,859017.676
36,1623283200000,6.68,6.708,5.876,6.094,697720.105
37,1623369600000,6.094,7.82,5.833,6.876,3347567.867
38,1623456000000,6.87,6.898,5.942,6.229,1013401.064
39,1623542400000,6.235,6.86,6.085,6.72,514651.017
40,1623628800000,6.718,7.292,6.592,6.952,2232776.31
41,1623715200000,6.952,7.073,6.628,6.759,659444.801
42,1623801600000,6.756,6.996,6.332,6.402,438061.965
43,1623888000000,6.402,6.8,6.334,6.473,282232.566
44,1623974400000,6.473,6.64,5.701,5.924,440163.631
45,1624060800000,5.943,6.026,5.723,5.766,323827.44
46,1624147200000,5.759,6.0,5.251,5.748,387585.496
47,1624233600000,5.758,5.818,4.39,4.415,632206.516
48,1624320000000,4.412,4.799,3.451,4.142,935603.391
49,1624406400000,4.159,5.308,3.967,5.08,1022767.594
50,1624492800000,5.081,5.391,4.701,4.888,758523.937
51,1624579200000,4.89,5.012,4.186,4.283,735061.806
52,1624665600000,4.274,4.391,3.9,4.191,530578.878
53,1624752000000,4.19,4.581,4.105,4.463,564025.404
54,1624838400000,4.465,4.8,4.361,4.536,523599.74
55,1624924800000,4.559,4.828,4.5,4.684,704783.944
56,1625011200000,4.679,4.771,4.24,4.563,374148.018
57,1625097600000,4.563,4.7,4.255,4.409,565645.236
58,1625184000000,4.401,4.44,4.1,4.334,330987.523
59,1625270400000,4.345,4.666,4.263,4.592,413864.582
60,1625356800000,4.592,5.56,4.568,5.016,2302318.855
61,1625443200000,5.013,5.019,4.6,4.801,814892.967
62,1625529600000,4.804,5.432,4.802,5.334,1102290.176
63,1625616000000,5.335,6.381,5.22,5.828,2088293.423
64,1625702400000,5.829,6.23,5.118,5.222,1333858.306
65,1625788800000,5.227,5.597,4.902,5.408,950058.588
66,1625875200000,5.408,6.144,5.368,5.89,1807768.37
67,1625961600000,5.901,7.073,5.721,6.409,3141442.936
68,1626048000000,6.411,6.798,5.84,6.088,1410845.791
69,1626134400000,6.088,6.829,5.981,6.524,2719205.532
70,1626220800000,6.524,7.8,6.095,7.356,3608264.97
71,1626307200000,7.345,8.3,6.91,7.088,3383978.117
72,1626393600000,7.089,7.227,5.677,5.774,1486630.524
73,1626480000000,5.77,5.999,5.5,5.692,708099.242
74,1626566400000,5.681,6.212,5.396,5.599,863504.677
75,1626652800000,5.605,5.651,4.922,5.11,559021.159
76,1626739200000,5.113,5.222,4.339,4.649,681106.429
77,1626825600000,4.664,5.353,4.507,5.159,936745.745
78,1626912000000,5.16,5.68,5.067,5.373,970900.09
79,1626998400000,5.373,6.6,5.153,6.475,1523663.921
80,1627084800000,6.477,7.37,6.076,7.146,4362811.792
81,1627171200000,7.146,10.981,6.781,10.288,11916741.192
82,1627257600000,10.282,10.368,8.12,8.346,6024505.085
83,1627344000000,8.36,11.27,7.595,10.62,9465114.726
84,1627430400000,10.583,11.45,9.4,9.815,4596026.98
85,1627516800000,9.811,10.383,9.286,9.492,2483098.249
86,1627603200000,9.483,9.699,8.44,9.357,2735769.483
87,1627689600000,9.359,11.738,8.688,10.322,5369848.37
88,1627776000000,10.34,11.651,9.69,10.425,7099153.779
89,1627862400000,10.414,10.66,9.45,9.787,2747115.493
90,1627948800000,9.797,12.398,9.33,11.287,5979521.602
91,1628035200000,11.295,12.299,10.746,11.073,3812162.83
92,1628121600000,11.067,11.595,10.5,11.17,2318210.439
93,1628208000000,11.16,12.14,10.923,11.401,1777389.53
94,1628294400000,11.425,12.294,11.031,11.529,1845495.344
95,1628380800000,11.54,11.6,10.588,10.92,1357620.879
96,1628467200000,10.939,12.099,10.292,10.41,3398830.193
97,1628553600000,10.416,11.14,10.2,10.742,2691531.926
98,1628640000000,10.741,11.072,10.283,10.3,2613676.77
99,1628726400000,10.306,10.543,9.583,9.628,1097522.012
