,time,Open,High,Low,Close,Volume
0,1626998400000,3.967,33.0,3.967,7.165,2992969.4
1,1627084800000,7.165,23.6,6.444,19.514,15506433.9
2,1627171200000,19.516,23.0,16.155,17.352,7658388.4
3,1627257600000,17.351,18.618,12.525,13.341,2554999.2
4,1627344000000,13.284,17.13,11.701,15.166,3100147.5
5,1627430400000,15.128,15.5,13.179,13.725,1023916.0
6,1627516800000,13.724,13.949,12.428,12.601,640636.9
7,1627603200000,12.602,15.419,11.401,12.601,2435196.1
8,1627689600000,12.607,13.669,12.601,12.965,902581.6
9,1627776000000,13.037,13.09,11.739,11.828,489950.9
10,1627862400000,11.83,12.2,11.622,11.74,333334.5
11,1627948800000,11.74,12.285,10.485,11.165,986328.7
12,1628035200000,11.164,11.9,11.0,11.399,547386.1
13,1628121600000,11.398,12.2,10.562,11.05,775525.6
14,1628208000000,11.072,11.88,10.703,11.014,891141.8
15,1628294400000,11.044,11.65,10.96,11.096,636899.7
16,1628380800000,11.112,17.8,11.0,15.431,5787216.3
17,1628467200000,15.476,15.478,12.69,13.381,2050624.2
18,1628553600000,13.381,13.62,12.583,12.884,675323.1
19,1628640000000,12.853,13.757,12.3,12.344,743737.0
20,1628726400000,12.31,13.18,12.31,12.543,394265.8
