,time,Open,High,Low,Close,Volume
0,1620172800000,4.957,5.8,4.923,5.061,10195219.3
1,1620259200000,5.063,5.4,4.6,4.746,5546622.051
2,1620345600000,4.735,4.888,4.36,4.583,4389825.244
3,1620432000000,4.583,4.779,4.333,4.406,2908137.119
4,1620518400000,4.406,4.846,4.31,4.839,3162273.89
5,1620604800000,4.834,5.199,3.9,4.203,4669569.425
6,1620691200000,4.215,4.419,3.994,4.419,2764844.95
7,1620777600000,4.416,4.689,3.7,3.735,5058269.943
8,1620864000000,3.725,4.852,3.505,4.378,10379479.814
9,1620950400000,4.387,4.572,4.07,4.208,3301507.473
10,1621036800000,4.211,4.264,3.75,3.818,2468007.863
11,1621123200000,3.812,4.123,3.502,3.847,2625604.245
12,1621209600000,3.844,3.857,3.25,3.426,2792888.096
13,1621296000000,3.445,3.79,3.398,3.699,1916064.638
14,1621382400000,3.702,3.776,1.41,2.204,6337309.696
15,1621468800000,2.204,2.695,2.001,2.443,4422778.499
16,1621555200000,2.435,2.587,1.685,1.981,4113094.171
17,1621641600000,1.99,2.034,1.67,1.69,3583221.62
18,1621728000000,1.69,1.761,1.251,1.589,5315527.275
19,1621814400000,1.575,2.008,1.575,1.97,5239118.044
20,1621900800000,1.97,2.15,1.691,1.934,3034348.524
21,1621987200000,1.932,2.395,1.895,2.27,3893798.941
22,1622073600000,2.264,2.368,1.991,2.116,3031759.808
23,1622160000000,2.123,2.166,1.711,1.818,3248870.576
24,1622246400000,1.82,1.975,1.584,1.7,3826412.952
25,1622332800000,1.7,1.97,1.57,1.855,2312261.084
26,1622419200000,1.855,2.046,1.75,2.012,3111454.051
27,1622505600000,2.011,2.049,1.845,1.93,2487059.482
28,1622592000000,1.926,2.07,1.852,2.003,2389584.846
29,1622678400000,2.002,2.24,1.958,2.129,3772923.21
30,1622764800000,2.132,2.142,1.738,1.866,4192280.821
31,1622851200000,1.866,2.026,1.68,1.775,2511547.523
32,1622937600000,1.771,1.92,1.748,1.847,1519766.896
33,1623024000000,1.854,2.093,1.686,1.715,4443341.045
34,1623110400000,1.717,1.78,1.458,1.682,4085908.032
35,1623196800000,1.684,1.8,1.579,1.75,2664424.061
36,1623283200000,1.752,1.757,1.544,1.61,2556144.523
37,1623369600000,1.613,1.668,1.446,1.48,1692809.874
38,1623456000000,1.478,1.52,1.37,1.423,1952149.864
39,1623542400000,1.426,1.594,1.391,1.547,5308196.803
40,1623628800000,1.548,1.724,1.527,1.655,2412590.237
41,1623715200000,1.655,1.712,1.592,1.628,1723899.455
42,1623801600000,1.627,1.679,1.561,1.633,2278933.173
43,1623888000000,1.634,1.707,1.515,1.54,1949468.127
44,1623974400000,1.542,1.558,1.38,1.438,1664532.964
45,1624060800000,1.434,1.481,1.389,1.418,883686.043
46,1624147200000,1.419,1.439,1.29,1.413,1566386.089
47,1624233600000,1.414,1.423,1.11,1.112,2960962.584
48,1624320000000,1.112,1.206,0.921,1.042,3081809.496
49,1624406400000,1.043,1.189,1.001,1.134,1288559.85
50,1624492800000,1.134,1.239,1.062,1.207,1791233.974
51,1624579200000,1.207,1.236,1.056,1.097,1387453.524
52,1624665600000,1.096,1.115,0.991,1.108,2085227.283
53,1624752000000,1.11,1.176,1.067,1.144,1936468.879
54,1624838400000,1.147,1.196,1.116,1.152,2448647.958
55,1624924800000,1.152,1.273,1.15,1.208,2281208.929
56,1625011200000,1.208,1.221,1.134,1.211,1219677.306
57,1625097600000,1.215,1.215,1.106,1.144,962524.879
58,1625184000000,1.143,1.219,1.107,1.163,1449184.747
59,1625270400000,1.163,1.209,1.137,1.177,1296160.441
60,1625356800000,1.177,1.228,1.135,1.186,1747444.336
61,1625443200000,1.185,1.189,1.12,1.134,1025766.545
62,1625529600000,1.136,1.289,1.135,1.237,4364288.647
63,1625616000000,1.236,1.395,1.216,1.292,5147640.472
64,1625702400000,1.292,1.306,1.175,1.234,3395918.61
65,1625788800000,1.227,1.324,1.17,1.301,2321973.614
66,1625875200000,1.301,1.347,1.241,1.28,1905470.324
67,1625961600000,1.282,1.42,1.27,1.395,1657281.501
68,1626048000000,1.395,1.541,1.277,1.446,5133157.729
69,1626134400000,1.445,1.59,1.371,1.401,8438493.601
70,1626220800000,1.398,1.457,1.315,1.377,4286501.099
71,1626307200000,1.377,1.509,1.319,1.361,3111742.771
72,1626393600000,1.359,1.405,1.16,1.166,3430701.402
73,1626480000000,1.163,1.24,1.135,1.195,1903736.185
74,1626566400000,1.195,1.248,1.162,1.19,1091950.128
75,1626652800000,1.188,1.192,1.074,1.123,1658483.872
76,1626739200000,1.124,1.15,1.0,1.027,2194492.156
77,1626825600000,1.027,1.145,1.01,1.112,1658454.955
78,1626912000000,1.109,1.159,1.084,1.128,1307545.953
79,1626998400000,1.13,1.18,1.104,1.169,1539497.526
80,1627084800000,1.167,1.266,1.15,1.226,2980309.993
81,1627171200000,1.225,1.266,1.169,1.244,1508610.495
82,1627257600000,1.242,1.476,1.239,1.297,5614889.944
83,1627344000000,1.297,1.356,1.232,1.308,2521265.713
84,1627430400000,1.308,1.374,1.271,1.327,2760661.097
85,1627516800000,1.327,1.419,1.301,1.356,3042209.692
86,1627603200000,1.36,1.405,1.289,1.387,2387269.425
87,1627689600000,1.39,1.412,1.359,1.38,1870638.229
88,1627776000000,1.38,1.53,1.375,1.455,3669055.877
89,1627862400000,1.455,1.504,1.398,1.41,2016955.399
90,1627948800000,1.413,1.431,1.324,1.364,1941854.55
91,1628035200000,1.363,1.449,1.341,1.403,1682424.659
92,1628121600000,1.402,1.528,1.36,1.511,3083171.358
93,1628208000000,1.511,1.623,1.481,1.565,2953989.787
94,1628294400000,1.566,1.631,1.503,1.583,3075156.463
95,1628380800000,1.583,1.71,1.491,1.516,26525804.284
96,1628467200000,1.518,1.68,1.46,1.62,2880119.135
97,1628553600000,1.621,1.706,1.574,1.673,2746564.636
98,1628640000000,1.675,1.855,1.659,1.746,3391063.35
99,1628726400000,1.748,1.947,1.678,1.783,3876656.117
