,time,Open,High,Low,Close,Volume
0,1620172800000,3.533,3.91,3.485,3.824,7159247.003
1,1620259200000,3.825,4.1,3.632,3.748,11105903.452
2,1620345600000,3.75,3.858,3.567,3.688,6580866.108
3,1620432000000,3.688,3.845,3.604,3.721,5038580.857
4,1620518400000,3.722,3.75,3.402,3.555,4636385.572
5,1620604800000,3.555,3.68,2.93,3.152,8104899.466
6,1620691200000,3.151,3.5,3.033,3.378,5293381.948
7,1620777600000,3.376,3.52,2.846,2.888,7302210.133
8,1620864000000,2.896,3.1,2.7,2.938,6637969.155
9,1620950400000,2.936,3.153,2.86,3.0,4543552.314
10,1621036800000,3.0,3.105,2.707,2.788,5412565.628
11,1621123200000,2.79,3.03,2.566,2.725,5295350.133
12,1621209600000,2.724,2.762,2.441,2.534,6401636.512
13,1621296000000,2.535,2.736,2.493,2.648,4515709.121
14,1621382400000,2.65,2.686,1.165,1.438,22992354.46
15,1621468800000,1.438,1.798,1.282,1.629,10722454.138
16,1621555200000,1.63,1.712,1.132,1.298,13375308.289
17,1621641600000,1.297,1.416,1.146,1.367,11488487.511
18,1621728000000,1.367,1.427,0.865,1.07,14997145.217
19,1621814400000,1.071,1.329,1.036,1.301,9227624.768
20,1621900800000,1.303,1.37,1.147,1.297,8514262.465
21,1621987200000,1.298,1.549,1.268,1.484,10116316.317
22,1622073600000,1.484,1.502,1.29,1.406,7372543.851
23,1622160000000,1.408,1.499,1.18,1.453,9521779.045
24,1622246400000,1.453,1.9,1.31,1.369,31301043.524
25,1622332800000,1.371,1.761,1.275,1.594,18311200.508
26,1622419200000,1.591,1.672,1.467,1.625,8651143.451
27,1622505600000,1.625,1.726,1.514,1.721,7013054.309
28,1622592000000,1.723,1.79,1.606,1.692,7709590.869
29,1622678400000,1.69,1.969,1.663,1.965,10183318.523
30,1622764800000,1.965,1.97,1.576,1.628,8551130.025
31,1622851200000,1.63,1.746,1.466,1.561,6677433.431
32,1622937600000,1.562,1.7,1.54,1.686,4483184.378
33,1623024000000,1.685,1.85,1.505,1.526,12172630.472
34,1623110400000,1.526,1.612,1.284,1.419,8088925.573
35,1623196800000,1.419,1.487,1.34,1.48,5385665.715
36,1623283200000,1.48,1.485,1.307,1.342,4525872.159
37,1623369600000,1.344,1.448,1.25,1.28,5108547.288
38,1623456000000,1.281,1.307,1.175,1.25,7674081.022
39,1623542400000,1.249,1.346,1.195,1.333,4041734.092
40,1623628800000,1.335,1.423,1.278,1.395,5172823.989
41,1623715200000,1.394,1.429,1.345,1.399,4823142.126
42,1623801600000,1.4,1.4,1.27,1.3,4352817.721
43,1623888000000,1.3,1.399,1.235,1.265,5535182.786
44,1623974400000,1.265,1.419,1.219,1.285,16589107.474
45,1624060800000,1.285,1.37,1.25,1.281,8958819.797
46,1624147200000,1.281,1.297,1.177,1.273,4961733.772
47,1624233600000,1.274,1.279,0.934,0.939,9863379.208
48,1624320000000,0.939,1.038,0.76,0.888,15449376.157
49,1624406400000,0.889,1.016,0.855,0.958,8381108.568
50,1624492800000,0.957,0.98,0.897,0.945,5981751.947
51,1624579200000,0.945,0.974,0.814,0.819,7357685.294
52,1624665600000,0.819,0.856,0.774,0.812,6874731.633
53,1624752000000,0.813,0.886,0.791,0.876,5186906.612
54,1624838400000,0.876,0.923,0.853,0.891,4198412.187
55,1624924800000,0.892,1.034,0.887,0.979,7967306.953
56,1625011200000,0.981,0.994,0.856,0.937,7566317.756
57,1625097600000,0.937,0.939,0.827,0.847,5562769.3
58,1625184000000,0.847,0.87,0.798,0.825,4422842.629
59,1625270400000,0.825,0.885,0.809,0.868,5757055.204
60,1625356800000,0.866,0.99,0.846,0.931,9515065.962
61,1625443200000,0.929,0.931,0.835,0.863,7885776.131
62,1625529600000,0.863,1.194,0.863,1.176,32542649.369
63,1625616000000,1.176,1.178,1.04,1.053,16031015.99
64,1625702400000,1.052,1.079,0.95,0.96,11075242.519
65,1625788800000,0.96,1.048,0.919,1.035,9191467.391
66,1625875200000,1.035,1.117,0.979,1.065,14696829.358
67,1625961600000,1.065,1.25,1.014,1.211,15966253.461
68,1626048000000,1.211,1.375,1.172,1.186,24593671.841
69,1626134400000,1.185,1.33,1.136,1.308,19991917.268
70,1626220800000,1.308,1.396,1.1,1.222,30082064.189
71,1626307200000,1.222,1.26,1.122,1.145,18560928.158
72,1626393600000,1.146,1.151,0.958,0.964,13851278.979
73,1626480000000,0.962,0.976,0.906,0.929,9890095.334
74,1626566400000,0.93,0.988,0.912,0.916,7758318.117
75,1626652800000,0.917,0.953,0.816,0.832,14706136.831
76,1626739200000,0.832,0.845,0.752,0.783,11456787.271
77,1626825600000,0.783,0.892,0.757,0.862,12998472.098
78,1626912000000,0.864,0.92,0.824,0.895,11507712.443
79,1626998400000,0.895,0.919,0.836,0.905,9235461.758
80,1627084800000,0.905,1.049,0.892,0.975,17261955.51
81,1627171200000,0.976,1.087,0.926,1.034,16378679.658
82,1627257600000,1.035,1.164,1.007,1.011,16393965.907
83,1627344000000,1.012,1.066,0.941,1.035,12944612.716
84,1627430400000,1.034,1.073,0.992,1.029,8601993.505
85,1627516800000,1.029,1.24,1.02,1.13,20481369.68
86,1627603200000,1.131,1.228,1.06,1.197,14059070.088
87,1627689600000,1.197,1.3,1.136,1.226,17331941.715
88,1627776000000,1.226,1.294,1.161,1.177,14797544.856
89,1627862400000,1.179,1.364,1.146,1.31,19806189.019
90,1627948800000,1.312,1.328,1.214,1.278,10732267.198
91,1628035200000,1.279,1.371,1.254,1.314,10248326.437
92,1628121600000,1.314,1.503,1.28,1.458,19845545.881
93,1628208000000,1.457,1.488,1.402,1.437,9322104.111
94,1628294400000,1.438,1.641,1.411,1.601,17358096.37
95,1628380800000,1.602,1.602,1.372,1.42,14154789.96
96,1628467200000,1.42,1.515,1.326,1.468,11794488.53
97,1628553600000,1.468,1.561,1.452,1.524,13030478.614
98,1628640000000,1.523,1.7,1.506,1.548,14597398.09
99,1628726400000,1.547,1.638,1.449,1.461,8313535.654
