,time,Open,High,Low,Close,Volume
0,1620172800000,1.3053,1.3107,0.895,0.9143,793540.33
1,1620259200000,0.9169,1.0627,0.7241,0.8675,1416340.62
2,1620345600000,0.8552,1.0319,0.8143,0.9528,1173531.97
3,1620432000000,0.9535,1.0048,0.92,0.9507,325233.9
4,1620518400000,0.964,1.0348,0.9265,0.9316,320162.32
5,1620604800000,0.9362,1.6665,0.8646,1.1174,1649605.96
6,1620691200000,1.1197,1.1878,0.907,0.9073,901711.45
7,1620777600000,0.9101,1.18,0.6972,1.0844,2012431.23
8,1620864000000,1.0944,1.54,0.606,0.6801,4905956.96
9,1620950400000,0.6837,0.6954,0.4049,0.4057,7116055.73
10,1621036800000,0.4062,0.507,0.3554,0.4782,13535510.1
11,1621123200000,0.4765,0.6027,0.4051,0.5059,4920959.04
12,1621209600000,0.5125,0.7716,0.5125,0.6325,6757359.46
13,1621296000000,0.625,0.67,0.4619,0.5381,4944669.39
14,1621382400000,0.5351,2.75,0.0214,0.0292,208651773.8
15,1621468800000,0.0289,0.0415,0.0141,0.0154,819392993.02
16,1621555200000,0.0155,0.045,0.0122,0.0206,745060694.48
17,1621641600000,0.0206,0.0307,0.0176,0.0233,439725539.23
18,1621728000000,0.0234,0.0565,0.0197,0.027,564131025.9
19,1621814400000,0.0269,0.03,0.0122,0.0126,549802879.41
20,1621900800000,0.0127,0.0172,0.0114,0.0132,472467348.05
21,1621987200000,0.013,0.014,0.009,0.0092,445843401.2
22,1622073600000,0.0092,0.0118,0.0088,0.0097,364656290.67
23,1622160000000,0.0096,0.0132,0.008,0.0115,693221066.97
24,1622246400000,0.0115,0.0152,0.0105,0.0135,328891135.26
25,1622332800000,0.0136,0.0157,0.0116,0.0127,273727633.49
26,1622419200000,0.0128,0.0147,0.0086,0.0087,428304144.05
27,1622505600000,0.0087,0.0103,0.0084,0.0093,387591633.92
28,1622592000000,0.0092,0.0094,0.0059,0.0065,850688988.13
29,1622678400000,0.0066,0.0067,0.0053,0.0059,1161156010.69
30,1622764800000,0.006,0.0075,0.006,0.0068,848195108.93
31,1622851200000,0.0068,0.008,0.006,0.0074,666632812.17
32,1622937600000,0.0074,0.0076,0.007,0.0072,269267629.84
33,1623024000000,0.0071,0.0092,0.0065,0.0088,550771469.72
34,1623110400000,0.0088,0.0106,0.0062,0.0088,564838051.99
35,1623196800000,0.0088,0.01,0.0074,0.0075,515589452.73
36,1623283200000,0.0075,0.0081,0.0064,0.0076,959801447.48
37,1623369600000,0.0076,0.0094,0.0071,0.009,637322812.81
38,1623456000000,0.009,0.0103,0.0086,0.0091,487588417.28
39,1623542400000,0.0092,0.01,0.0074,0.0078,414323052.75
40,1623628800000,0.0077,0.0086,0.005,0.0052,1283608957.28
41,1623715200000,0.0051,0.006,0.005,0.0057,1083989332.49
42,1623801600000,0.0058,0.0067,0.0054,0.0064,1157274167.99
43,1623888000000,0.0064,0.0071,0.0056,0.0067,677846648.1
44,1623974400000,0.0067,0.0088,0.0066,0.0075,971707539.48
45,1624060800000,0.0075,0.0087,0.0073,0.0087,727207529.71
46,1624147200000,0.0088,0.0105,0.0078,0.0082,851849526.67
47,1624233600000,0.0083,0.0161,0.008,0.0154,1220341398.42
48,1624320000000,0.0154,0.0227,0.0134,0.0177,1909310029.53
49,1624406400000,0.0177,0.0196,0.0125,0.015,1081717989.62
50,1624492800000,0.0149,0.0177,0.0132,0.0139,638182420.4
51,1624579200000,0.0139,0.0173,0.0129,0.0173,741828500.06
52,1624665600000,0.0173,0.0195,0.016,0.0167,657960445.95
53,1624752000000,0.0167,0.0182,0.015,0.0152,508753970.18
54,1624838400000,0.0151,0.0163,0.0123,0.0128,692541175.22
55,1624924800000,0.0128,0.013,0.0104,0.0116,842137365.79
56,1625011200000,0.0116,0.0137,0.011,0.0112,715050412.34
57,1625097600000,0.0112,0.0144,0.0111,0.0135,336226600.86
58,1625184000000,0.0136,0.0149,0.0129,0.0132,234874197.96
59,1625270400000,0.0133,0.0139,0.0121,0.0126,165020893.9
60,1625356800000,0.0125,0.0133,0.0105,0.0115,156298926.37
61,1625443200000,0.0116,0.0137,0.0116,0.0129,200088477.65
62,1625529600000,0.0129,0.013,0.0112,0.0113,186627627.01
63,1625616000000,0.0113,0.0114,0.0089,0.0099,370692191.15
64,1625702400000,0.01,0.0129,0.0098,0.0122,496862002.74
65,1625788800000,0.0122,0.0133,0.0109,0.0113,211986396.3
66,1625875200000,0.0113,0.0125,0.0108,0.012,136917063.44
67,1625961600000,0.0121,0.0123,0.0112,0.0117,109250581.07
68,1626048000000,0.0117,0.0137,0.0113,0.0128,124174389.92
69,1626134400000,0.0129,0.0145,0.0124,0.0141,115080117.91
70,1626220800000,0.0142,0.0167,0.0139,0.0151,163186757.78
71,1626307200000,0.0151,0.0181,0.0141,0.0171,153874644.12
72,1626393600000,0.017,0.0206,0.0164,0.0205,167692129.21
73,1626480000000,0.0205,0.0219,0.0174,0.0194,218510931.82
74,1626566400000,0.0194,0.0194,0.0166,0.0178,164926071.49
75,1626652800000,0.0178,0.0234,0.0175,0.0229,178298715.62
76,1626739200000,0.0228,0.0285,0.0223,0.0245,190314267.79
77,1626825600000,0.0245,0.0264,0.0155,0.0175,333505916.68
78,1626912000000,0.0175,0.0193,0.0142,0.0149,258018367.74
79,1626998400000,0.015,0.0172,0.0139,0.0142,254436019.72
80,1627084800000,0.014175,0.014952,0.012458,0.013224,281864307.62
81,1627171200000,0.013224,0.015,0.013002,0.013322,243471876.38
82,1627257600000,0.013346,0.013712,0.0096,0.011871,482180682.98
83,1627344000000,0.011869,0.012939,0.010623,0.010865,304608442.38
84,1627430400000,0.010923,0.01181,0.010126,0.010548,311094859.9
85,1627516800000,0.010553,0.011144,0.008999,0.009222,419060671.02
86,1627603200000,0.009245,0.0104,0.008324,0.0084,420112043.12
87,1627689600000,0.008351,0.0087,0.00685,0.00716,551603884.12
88,1627776000000,0.007122,0.00755,0.0038,0.005011,1993242929.7
89,1627862400000,0.005011,0.00555,0.0047,0.005311,1212617762.38
90,1627948800000,0.005276,0.006105,0.004971,0.005601,921049801.38
91,1628035200000,0.005596,0.00587,0.004,0.004235,1887065286.84
92,1628121600000,0.00424,0.004887,0.004051,0.004245,1613159548.37
93,1628208000000,0.004236,0.00453,0.003425,0.003613,1438494085.81
94,1628294400000,0.003596,0.003779,0.003007,0.003342,2252718647.0
95,1628380800000,0.003342,0.004139,0.003233,0.003941,1863913598.45
96,1628467200000,0.00394,0.004376,0.0032,0.003509,1902872926.54
97,1628553600000,0.003524,0.00372,0.00313,0.003494,1587499114.04
98,1628640000000,0.003484,0.00352,0.00275,0.003115,1610643687.31
99,1628726400000,0.00312,0.003415,0.0028,0.003367,683355095.76
