,time,Open,High,Low,Close,Volume
0,1620172800000,92.091,124.745,90.867,122.959,99137.38
1,1620259200000,122.85,143.797,108.422,124.073,133196.83
2,1620345600000,124.74,132.153,99.176,106.768,84141.07
3,1620432000000,106.346,110.32,100.722,106.32,48832.78
4,1620518400000,106.318,108.909,98.508,107.493,81279.5
5,1620604800000,107.952,114.463,71.881,90.603,204323.44
6,1620691200000,90.034,99.932,86.259,99.932,91399.82
7,1620777600000,99.918,118.054,77.875,83.958,203399.71
8,1620864000000,83.922,112.663,73.905,104.258,250545.98
9,1620950400000,104.227,138.5,102.223,138.457,153936.42
10,1621036800000,138.456,145.876,113.928,117.902,202600.65
11,1621123200000,118.367,133.089,97.949,112.996,128704.46
12,1621209600000,112.545,112.704,78.086,94.053,151637.2
13,1621296000000,94.894,111.522,89.631,103.382,122625.29
14,1621382400000,102.976,106.402,5.0,19.082,5845700.52
15,1621468800000,19.124,29.9,12.802,24.783,9395239.02
16,1621555200000,24.767,27.828,12.282,18.449,1147834.17
17,1621641600000,18.436,18.672,12.797,15.119,777136.19
18,1621728000000,15.107,16.951,4.842,8.429,50688939.37
19,1621814400000,8.459,13.852,7.691,13.61,2321943.69
20,1621900800000,13.641,14.63,9.8,12.222,1371241.0
21,1621987200000,12.204,14.5,11.739,14.253,1054701.58
22,1622073600000,14.261,14.75,11.801,13.769,621478.54
23,1622160000000,13.76,15.988,10.288,11.476,1269732.45
24,1622246400000,11.469,12.322,9.332,10.271,587794.16
25,1622332800000,10.23,11.491,9.026,10.687,504182.44
26,1622419200000,10.59,13.152,9.57,13.0,701508.25
27,1622505600000,12.989,13.203,11.66,12.64,405477.1
28,1622592000000,12.734,16.179,12.481,15.246,630840.17
29,1622678400000,15.243,17.798,15.007,16.222,605771.1
30,1622764800000,16.222,16.245,13.135,14.456,583540.23
31,1622851200000,14.449,15.722,12.515,13.333,427974.46
32,1622937600000,13.259,13.952,13.1,13.641,197769.34
33,1623024000000,13.696,14.685,10.989,11.372,357955.59
34,1623110400000,11.372,11.886,9.477,11.28,575441.18
35,1623196800000,11.247,12.829,10.113,12.672,458160.99
36,1623283200000,12.769,13.998,11.6,12.138,505546.64
37,1623369600000,12.178,12.712,10.0,10.488,337170.55
38,1623456000000,10.381,10.72,9.049,10.164,384715.89
39,1623542400000,10.203,11.803,9.45,11.491,238147.85
40,1623628800000,11.534,15.643,10.71,15.466,1375480.59
41,1623715200000,15.402,15.615,12.475,13.0,656216.32
42,1623801600000,12.981,13.754,11.204,11.886,677997.72
43,1623888000000,11.874,13.0,10.628,11.236,770245.99
44,1623974400000,11.251,11.306,8.716,9.974,1004037.71
45,1624060800000,9.974,10.172,8.748,8.774,536896.18
46,1624147200000,8.773,9.366,7.49,9.027,1215667.72
47,1624233600000,9.052,9.202,4.81,5.054,3915775.24
48,1624320000000,5.03,5.835,3.26,4.314,12131376.23
49,1624406400000,4.321,5.643,3.86,4.998,3202348.32
50,1624492800000,4.998,5.526,4.33,5.272,1960182.21
51,1624579200000,5.273,5.633,4.127,4.127,2141882.99
52,1624665600000,4.124,4.44,3.645,4.153,2049666.56
53,1624752000000,4.142,4.426,3.88,4.424,1560060.06
54,1624838400000,4.418,5.017,4.198,4.891,2410282.5
55,1624924800000,4.891,5.576,4.852,5.154,2238939.24
56,1625011200000,5.15,5.35,4.433,5.193,1552755.85
57,1625097600000,5.193,5.21,4.257,4.454,616407.78
58,1625184000000,4.493,4.636,4.111,4.525,527918.62
59,1625270400000,4.522,4.829,4.36,4.663,290915.24
60,1625356800000,4.677,5.36,4.445,4.967,317278.74
61,1625443200000,4.961,4.961,4.155,4.462,444480.64
62,1625529600000,4.474,5.098,4.433,5.061,507604.73
63,1625616000000,5.061,6.276,5.034,5.589,894149.3
64,1625702400000,5.576,5.61,4.03,4.25,966850.69
65,1625788800000,4.25,4.658,3.917,4.491,614622.85
66,1625875200000,4.481,4.693,4.06,4.217,394230.65
67,1625961600000,4.228,4.499,4.129,4.362,264778.45
68,1626048000000,4.354,4.466,3.618,3.924,541744.43
69,1626134400000,3.917,4.08,3.354,3.47,505576.02
70,1626220800000,3.47,3.475,2.835,3.152,1138175.7
71,1626307200000,3.147,3.308,2.64,2.799,1020313.89
72,1626393600000,2.806,2.903,2.282,2.304,1173174.04
73,1626480000000,2.286,2.615,2.153,2.412,1786774.85
74,1626566400000,2.409,2.704,2.397,2.569,1178101.2
75,1626652800000,2.57,2.607,1.996,2.03,2253387.04
76,1626739200000,2.037,2.076,1.585,1.82,2446023.67
77,1626825600000,1.818,2.56,1.703,2.356,2684481.3
78,1626912000000,2.355,2.788,2.146,2.681,1544056.92
79,1626998400000,2.695,2.831,2.344,2.789,1440656.73
80,1627084800000,2.789,3.084,2.677,2.946,1185943.12
81,1627171200000,2.947,2.972,2.65,2.933,1201425.66
82,1627257600000,2.933,3.646,2.885,2.993,1716058.41
83,1627344000000,2.996,3.286,2.727,3.211,1579456.61
84,1627430400000,3.205,3.388,2.981,3.274,1002633.06
85,1627516800000,3.282,3.701,3.147,3.641,1274678.57
86,1627603200000,3.64,3.936,3.21,3.899,1064018.26
87,1627689600000,3.919,4.539,3.795,4.39,863847.81
88,1627776000000,4.4,6.2,4.291,5.0,2682510.06
89,1627862400000,5.0,5.36,4.357,4.685,1871547.55
90,1627948800000,4.674,5.06,3.837,4.252,2189915.01
91,1628035200000,4.259,5.746,4.016,5.429,2042846.22
92,1628121600000,5.425,5.656,4.5,5.409,1875785.13
93,1628208000000,5.419,6.656,4.987,6.338,1770556.09
94,1628294400000,6.361,7.367,6.019,6.799,1663284.58
95,1628380800000,6.781,6.98,5.39,5.761,1247207.72
96,1628467200000,5.762,6.963,5.0,6.442,1620231.87
97,1628553600000,6.427,7.068,6.039,6.428,1419256.5
98,1628640000000,6.429,7.9,6.388,6.989,1538032.49
99,1628726400000,6.986,7.78,6.275,6.386,934508.71
