,time,Open,High,Low,Close,Volume
0,1620172800000,34.778,40.761,34.522,40.422,15940781.371
1,1620259200000,40.423,43.9,37.98,41.588,19626530.967
2,1620345600000,41.564,42.8,38.34,39.864,13673656.089
3,1620432000000,39.869,40.646,38.693,39.899,7174506.876
4,1620518400000,39.898,40.558,38.2,40.3,9941002.399
5,1620604800000,40.309,41.85,32.059,36.488,15156271.812
6,1620691200000,36.488,38.683,35.529,38.637,10529252.621
7,1620777600000,38.638,42.472,33.74,35.128,19203754.059
8,1620864000000,35.129,41.869,33.0,39.988,32382529.916
9,1620950400000,39.982,48.0,39.381,47.979,25755875.959
10,1621036800000,47.97,49.78,42.723,43.643,29713880.387
11,1621123200000,43.638,46.722,39.277,42.436,19390116.793
12,1621209600000,42.426,42.471,35.1,38.693,22756823.567
13,1621296000000,38.691,42.598,37.653,40.595,18784123.607
14,1621382400000,40.603,41.403,18.0,25.044,76760027.408
15,1621468800000,25.044,31.288,21.2,28.958,46079545.709
16,1621555200000,28.944,30.999,20.0,24.399,49259719.832
17,1621641600000,24.386,24.6,20.314,22.057,32371263.631
18,1621728000000,22.05,23.465,13.638,17.912,65071228.803
19,1621814400000,17.913,23.482,17.098,23.261,43581078.152
20,1621900800000,23.267,24.217,19.65,22.16,34789720.032
21,1621987200000,22.149,24.771,21.603,24.528,26085513.265
22,1622073600000,24.529,24.946,21.747,23.982,22582359.517
23,1622160000000,23.987,26.22,20.0,21.35,40752090.288
24,1622246400000,21.349,22.319,18.779,19.868,20620470.347
25,1622332800000,19.881,21.356,18.416,20.465,17307772.375
26,1622419200000,20.46,23.45,19.06,23.264,21593146.82
27,1622505600000,23.273,23.539,21.6,22.84,18793956.11
28,1622592000000,22.84,26.87,22.649,25.916,24489800.102
29,1622678400000,25.913,28.6,25.673,27.004,22096623.219
30,1622764800000,27.005,27.019,23.605,24.988,23200131.881
31,1622851200000,24.991,26.4,22.933,23.771,15159286.356
32,1622937600000,23.772,24.501,23.433,24.184,8542620.371
33,1623024000000,24.189,25.283,21.3,21.686,16728777.96
34,1623110400000,21.686,22.291,19.6,21.65,22854699.756
35,1623196800000,21.643,23.335,20.361,23.214,17895882.483
36,1623283200000,23.216,24.6,22.042,22.683,18698941.752
37,1623369600000,22.68,23.206,20.487,20.95,12851416.712
38,1623456000000,20.945,21.262,19.5,20.742,12547282.803
39,1623542400000,20.742,22.412,19.928,22.04,9398764.597
40,1623628800000,22.041,26.026,21.233,25.858,23122012.59
41,1623715200000,25.858,26.009,23.514,23.942,17728382.399
42,1623801600000,23.942,24.584,22.491,23.033,13836266.103
43,1623888000000,23.028,24.0,22.0,22.533,10290433.237
44,1623974400000,22.536,22.566,20.205,21.432,10556068.528
45,1624060800000,21.432,21.632,20.215,20.222,7447145.388
46,1624147200000,20.221,21.0,18.871,20.617,11045346.054
47,1624233600000,20.616,20.794,15.35,15.707,27185128.197
48,1624320000000,15.711,16.936,13.0,14.688,42443370.028
49,1624406400000,14.684,16.8,13.963,15.792,24268090.268
50,1624492800000,15.794,16.609,14.724,16.223,14150471.665
51,1624579200000,16.224,16.742,14.414,14.422,15832639.428
52,1624665600000,14.424,14.981,13.616,14.511,13921587.238
53,1624752000000,14.507,15.027,14.03,15.01,10035136.207
54,1624838400000,15.008,16.026,14.584,15.794,12407568.948
55,1624924800000,15.793,17.029,15.714,16.3,15069027.291
56,1625011200000,16.305,16.628,15.086,16.402,13522533.232
57,1625097600000,16.4,16.411,14.85,15.174,10239264.118
58,1625184000000,15.173,15.455,14.622,15.289,7898912.744
59,1625270400000,15.288,15.752,15.019,15.52,7020623.727
60,1625356800000,15.523,16.575,15.162,15.975,8386779.841
61,1625443200000,15.974,15.975,14.5,15.228,10609352.577
62,1625529600000,15.229,16.191,15.194,16.135,12531769.007
63,1625616000000,16.127,17.668,16.085,16.861,18479476.985
64,1625702400000,16.862,16.893,14.99,15.317,13613806.663
65,1625788800000,15.311,15.918,14.82,15.681,8527447.532
66,1625875200000,15.681,15.999,15.038,15.276,7361515.051
67,1625961600000,15.277,15.708,15.138,15.495,5220591.256
68,1626048000000,15.495,15.65,14.381,14.845,7384762.29
69,1626134400000,14.845,15.099,14.011,14.19,7000669.871
70,1626220800000,14.191,14.227,13.164,13.801,11240723.808
