,time,Open,High,Low,Close,Volume
0,1620172800000,1.395,1.545,1.383,1.493,2678790.324
1,1620259200000,1.493,1.61,1.4,1.418,3552668.608
2,1620345600000,1.42,1.7,1.369,1.579,5885808.906
3,1620432000000,1.581,1.7,1.53,1.555,3429648.096
4,1620518400000,1.553,1.572,1.42,1.502,2015214.617
5,1620604800000,1.506,1.54,1.252,1.309,2467648.569
6,1620691200000,1.312,1.38,1.26,1.379,1665031.727
7,1620777600000,1.377,1.427,1.116,1.13,3102075.895
8,1620864000000,1.127,1.26,1.001,1.067,7807648.588
9,1620950400000,1.067,1.191,1.064,1.142,2921982.067
10,1621036800000,1.142,1.158,1.017,1.028,2796988.416
11,1621123200000,1.022,1.161,0.98,1.059,2848465.971
12,1621209600000,1.056,1.072,0.918,0.951,3016568.98
13,1621296000000,0.95,1.09,0.938,0.979,3006418.241
14,1621382400000,0.979,1.0,0.451,0.592,7111927.66
15,1621468800000,0.597,0.752,0.526,0.71,4212150.079
16,1621555200000,0.712,0.745,0.507,0.607,3315432.681
17,1621641600000,0.604,0.619,0.53,0.56,2048829.907
18,1621728000000,0.556,0.586,0.363,0.445,4108242.036
19,1621814400000,0.447,0.538,0.431,0.533,3469779.513
20,1621900800000,0.533,0.554,0.458,0.531,2611124.04
21,1621987200000,0.533,0.644,0.515,0.627,3704030.866
22,1622073600000,0.627,0.628,0.561,0.574,1803050.7
23,1622160000000,0.573,0.584,0.486,0.536,2923610.846
24,1622246400000,0.539,0.88,0.532,0.664,25983973.154
25,1622332800000,0.662,0.719,0.602,0.629,6840666.98
26,1622419200000,0.63,0.666,0.585,0.656,4348083.214
27,1622505600000,0.656,0.71,0.603,0.622,3016674.264
28,1622592000000,0.621,0.648,0.589,0.627,3303267.578
29,1622678400000,0.628,0.771,0.618,0.712,4381174.52
30,1622764800000,0.712,0.714,0.573,0.604,3087088.968
31,1622851200000,0.606,0.638,0.542,0.563,2174995.814
32,1622937600000,0.562,0.65,0.556,0.592,3313510.588
33,1623024000000,0.593,0.626,0.545,0.554,2411634.242
34,1623110400000,0.554,0.566,0.471,0.551,2052396.4
35,1623196800000,0.553,0.759,0.516,0.666,13536147.629
36,1623283200000,0.666,0.675,0.564,0.601,7804527.667
37,1623369600000,0.6,0.669,0.534,0.55,4324704.632
38,1623456000000,0.549,0.572,0.508,0.535,1610464.874
39,1623542400000,0.536,0.598,0.516,0.569,3175009.37
40,1623628800000,0.57,0.593,0.551,0.582,2176564.848
41,1623715200000,0.581,0.589,0.558,0.576,1358256.602
42,1623801600000,0.576,0.698,0.543,0.606,10753212.333
43,1623888000000,0.607,0.656,0.533,0.568,6283330.616
44,1623974400000,0.566,0.57,0.5,0.521,1588288.821
45,1624060800000,0.521,0.533,0.503,0.513,1003424.704
46,1624147200000,0.513,0.524,0.47,0.515,1258352.213
47,1624233600000,0.515,0.52,0.381,0.385,2419684.28
48,1624320000000,0.385,0.422,0.328,0.38,2299569.6
49,1624406400000,0.38,0.447,0.367,0.397,2963499.44
50,1624492800000,0.397,0.411,0.372,0.399,1505987.57
51,1624579200000,0.399,0.411,0.356,0.359,926394.066
52,1624665600000,0.356,0.377,0.315,0.348,2356872.282
53,1624752000000,0.347,0.53,0.337,0.37,11421794.912
54,1624838400000,0.37,0.412,0.359,0.375,2934176.758
55,1624924800000,0.376,0.424,0.372,0.4,2000754.521
56,1625011200000,0.4,0.406,0.368,0.391,1321952.946
57,1625097600000,0.391,0.402,0.363,0.374,1454094.646
58,1625184000000,0.373,0.442,0.355,0.4,4503527.798
59,1625270400000,0.401,0.516,0.394,0.466,9697949.303
60,1625356800000,0.465,0.473,0.442,0.45,2569740.995
61,1625443200000,0.449,0.449,0.406,0.416,1713946.174
62,1625529600000,0.417,0.446,0.417,0.436,1618912.091
63,1625616000000,0.437,0.475,0.43,0.439,1593509.137
64,1625702400000,0.438,0.471,0.405,0.422,3499826.372
65,1625788800000,0.421,0.438,0.405,0.424,2385890.768
66,1625875200000,0.423,0.429,0.4,0.413,1340606.596
67,1625961600000,0.411,0.459,0.403,0.429,2605316.967
68,1626048000000,0.429,0.462,0.404,0.417,3768584.744
69,1626134400000,0.416,0.427,0.409,0.424,1288339.383
70,1626220800000,0.425,0.466,0.402,0.449,2766073.715
71,1626307200000,0.449,0.599,0.445,0.529,15754219.552
72,1626393600000,0.529,0.565,0.44,0.443,6231963.604
73,1626480000000,0.442,0.449,0.424,0.445,1966356.509
74,1626566400000,0.444,0.473,0.437,0.444,1559438.158
75,1626652800000,0.442,0.489,0.43,0.461,3102966.554
76,1626739200000,0.464,0.509,0.422,0.434,11534269.157
77,1626825600000,0.434,0.52,0.431,0.486,5039185.97
78,1626912000000,0.487,0.54,0.477,0.53,2395907.991
79,1626998400000,0.53,0.595,0.527,0.588,4177307.081
80,1627084800000,0.589,0.65,0.582,0.619,3993130.665
81,1627171200000,0.62,0.98,0.592,0.6,20431186.806
82,1627257600000,0.601,0.649,0.539,0.547,8227274.218
83,1627344000000,0.545,0.553,0.5,0.529,5598585.85
84,1627430400000,0.53,0.536,0.495,0.511,3594843.346
85,1627516800000,0.511,0.539,0.497,0.516,3187875.897
86,1627603200000,0.517,0.534,0.481,0.499,5312251.663
87,1627689600000,0.5,0.551,0.492,0.523,4717741.565
88,1627776000000,0.523,0.543,0.5,0.505,2273687.538
