,time,Open,High,Low,Close,Volume
0,1620172800000,0.2515,0.2807,0.2496,0.2778,11118567.94
1,1620259200000,0.2782,0.2916,0.2609,0.2642,13782189.55
2,1620345600000,0.2648,0.305,0.2554,0.2829,33744167.12
3,1620432000000,0.2829,0.2936,0.2718,0.2727,10084215.9
4,1620518400000,0.2727,0.2866,0.2608,0.2781,11446850.32
5,1620604800000,0.2781,0.2843,0.2256,0.243,22180941.6
6,1620691200000,0.243,0.2539,0.2338,0.2509,7169013.14
7,1620777600000,0.2511,0.2537,0.1995,0.203,11159383.17
8,1620864000000,0.2046,0.2222,0.1866,0.2005,15971832.89
9,1620950400000,0.2004,0.2297,0.2,0.2184,10758925.02
10,1621036800000,0.2181,0.2191,0.1933,0.1974,9549621.14
11,1621123200000,0.1979,0.2151,0.1813,0.2005,12167103.11
12,1621209600000,0.2011,0.2022,0.1774,0.1845,12442556.83
13,1621296000000,0.1854,0.193,0.1785,0.184,7295160.0
14,1621382400000,0.1841,0.1873,0.1106,0.1435,23326872.87
15,1621468800000,0.1437,0.1693,0.129,0.1562,20294410.66
16,1621555200000,0.1567,0.1692,0.115,0.1358,18910430.97
17,1621641600000,0.136,0.1374,0.1183,0.1282,11558576.59
18,1621728000000,0.1269,0.1324,0.0842,0.1062,19533998.9
19,1621814400000,0.1063,0.1304,0.1039,0.1277,9619501.65
20,1621900800000,0.1286,0.1368,0.1117,0.1323,24825345.36
21,1621987200000,0.133,0.1532,0.1257,0.1444,25894882.34
22,1622073600000,0.1441,0.1651,0.1298,0.1482,38299587.9
23,1622160000000,0.1482,0.1485,0.1144,0.1226,18855099.14
24,1622246400000,0.1228,0.1272,0.1056,0.1117,10363499.15
25,1622332800000,0.1122,0.146,0.1052,0.1256,23263086.69
26,1622419200000,0.1256,0.1303,0.1153,0.1292,13061127.79
27,1622505600000,0.1294,0.135,0.1214,0.1239,8078128.02
28,1622592000000,0.1245,0.1367,0.1206,0.1305,10241002.35
29,1622678400000,0.1309,0.1387,0.1275,0.1325,12561366.0
30,1622764800000,0.1328,0.133,0.1114,0.1177,8143570.02
31,1622851200000,0.1171,0.1242,0.1074,0.1123,8551978.6
32,1622937600000,0.1129,0.1329,0.1126,0.1189,28165127.02
33,1623024000000,0.1187,0.1247,0.1073,0.1087,13704743.02
34,1623110400000,0.1088,0.1117,0.0945,0.107,12445357.76
35,1623196800000,0.107,0.143,0.1007,0.1354,63296310.41
36,1623283200000,0.1355,0.1539,0.1185,0.1212,35137374.33
37,1623369600000,0.1214,0.1241,0.1107,0.1145,21210619.21
38,1623456000000,0.1145,0.1183,0.1022,0.1082,11576651.09
39,1623542400000,0.1082,0.1269,0.1045,0.12,20157526.49
40,1623628800000,0.1199,0.1223,0.1153,0.12,9645493.58
41,1623715200000,0.1205,0.1322,0.1186,0.129,23339333.5
42,1623801600000,0.1287,0.1367,0.1264,0.1306,30476905.89
43,1623888000000,0.1305,0.1428,0.1264,0.1293,27187068.82
44,1623974400000,0.1293,0.1304,0.115,0.1196,13179280.13
45,1624060800000,0.1194,0.1276,0.1155,0.1207,11700526.27
46,1624147200000,0.1205,0.1219,0.1116,0.1194,12107134.6
47,1624233600000,0.1195,0.12,0.1,0.1,15084470.97
48,1624320000000,0.1004,0.13,0.0833,0.1103,52868077.68
49,1624406400000,0.1108,0.1204,0.1073,0.1185,16513950.9
50,1624492800000,0.1185,0.1267,0.1144,0.1251,10295190.41
51,1624579200000,0.1251,0.127,0.1102,0.113,9456393.24
52,1624665600000,0.1129,0.1165,0.1066,0.1147,12826379.3
53,1624752000000,0.1147,0.1198,0.1085,0.1144,11838733.66
54,1624838400000,0.1144,0.1186,0.1122,0.1164,6609030.02
55,1624924800000,0.1168,0.1255,0.1159,0.123,8969519.14
56,1625011200000,0.1227,0.129,0.1115,0.1173,13221119.44
57,1625097600000,0.1171,0.1171,0.1083,0.1117,8844124.25
58,1625184000000,0.1118,0.1187,0.1081,0.1173,13868125.8
