,time,Open,High,Low,Close,Volume
0,1620172800000,175.16,199.9,174.46,192.84,234668.2337
1,1620259200000,192.84,205.0,188.77,194.16,252883.8242
2,1620345600000,194.21,198.2,186.9,190.29,148795.1121
3,1620432000000,190.12,194.0,184.59,185.77,101889.9261
4,1620518400000,185.82,189.8,179.77,187.84,121417.334
5,1620604800000,187.9,191.82,160.0,173.1,199962.8664
6,1620691200000,172.95,181.81,169.35,181.55,179869.7115
7,1620777600000,181.65,186.12,166.94,170.1,251359.3026
8,1620864000000,170.1,175.98,154.22,161.31,398408.0804
9,1620950400000,161.42,172.65,160.4,164.15,225035.9316
10,1621036800000,164.01,167.74,155.0,156.79,261665.2815
11,1621123200000,156.85,169.67,143.03,154.63,311816.0989
12,1621209600000,154.6,154.77,134.0,140.35,383629.1279
13,1621296000000,140.68,152.87,138.87,144.94,269399.0152
14,1621382400000,144.82,148.32,75.0,96.48,1097410.4087
15,1621468800000,96.39,123.57,90.2,112.54,643812.5398
16,1621555200000,112.55,116.54,85.25,97.88,617022.3831
17,1621641600000,97.79,99.23,85.68,90.41,338234.0972
18,1621728000000,90.37,94.42,65.95,85.33,628525.5594
19,1621814400000,85.43,109.21,82.56,104.26,429638.9858
20,1621900800000,104.22,109.4,95.88,102.38,362549.4186
21,1621987200000,102.25,121.79,99.73,118.73,365061.8105
22,1622073600000,118.76,119.2,106.7,114.83,242927.8143
23,1622160000000,114.84,115.37,95.21,99.53,335047.1333
24,1622246400000,99.47,105.32,86.11,90.6,267092.8515
25,1622332800000,90.68,99.45,87.4,92.91,165361.3601
26,1622419200000,92.87,104.5,90.01,103.75,199026.9725
27,1622505600000,103.62,105.38,98.5,101.49,183916.0205
28,1622592000000,101.37,108.96,98.95,103.4,159431.7974
29,1622678400000,103.52,111.23,101.8,107.24,152360.9654
30,1622764800000,107.26,107.6,92.56,96.55,239129.3594
31,1622851200000,96.51,103.83,92.11,96.86,161983.2877
32,1622937600000,96.75,99.5,95.03,97.38,72046.8949
33,1623024000000,97.25,106.37,90.1,90.96,243703.4523
34,1623110400000,90.86,92.77,78.69,89.55,284609.4407
35,1623196800000,89.56,95.0,84.72,92.85,167803.8432
36,1623283200000,92.8,93.87,86.4,87.08,147016.8815
37,1623369600000,87.21,90.05,80.6,81.08,144691.1517
38,1623456000000,81.08,81.71,77.34,78.86,155663.2237
39,1623542400000,78.83,89.85,76.0,87.22,177320.0079
40,1623628800000,87.28,94.3,84.9,89.99,192006.1524
41,1623715200000,89.97,94.0,87.75,90.97,144334.007
42,1623801600000,90.83,91.96,85.2,86.49,131857.2381
43,1623888000000,86.54,89.4,82.8,86.13,109767.028
44,1623974400000,86.12,86.47,77.79,79.83,135362.2585
45,1624060800000,79.84,82.1,78.1,79.35,91804.2928
46,1624147200000,79.37,82.55,76.44,80.27,115099.2127
47,1624233600000,80.17,80.99,67.39,68.26,256169.356
48,1624320000000,68.16,72.57,53.41,59.64,605512.5614
49,1624406400000,59.64,69.37,57.01,65.3,282024.7563
50,1624492800000,65.27,70.0,61.22,67.43,161363.9966
51,1624579200000,67.46,69.12,61.09,61.57,171117.8871
52,1624665600000,61.48,64.6,59.14,63.66,130630.4497
53,1624752000000,63.64,66.36,61.9,65.8,180765.6723
54,1624838400000,65.75,74.63,64.51,73.79,211424.8014
55,1624924800000,73.82,89.21,73.32,85.02,346905.3468
56,1625011200000,85.02,88.54,78.11,85.14,319346.4337
57,1625097600000,85.16,85.25,78.3,80.26,161255.9083
58,1625184000000,80.21,82.28,77.33,81.2,114263.0525
59,1625270400000,81.12,94.43,80.0,92.5,248633.6484
60,1625356800000,92.4,96.58,89.82,93.53,167289.0448
61,1625443200000,93.45,107.81,88.65,97.71,579229.9157
62,1625529600000,97.72,105.28,93.0,95.77,287956.8999
63,1625616000000,95.73,99.69,93.83,95.78,179574.2804
64,1625702400000,95.76,96.06,85.7,88.58,200658.3156
65,1625788800000,88.59,93.88,84.81,89.89,133661.1579
66,1625875200000,89.84,92.42,87.2,88.28,85077.5246
67,1625961600000,88.25,91.93,86.79,89.17,77406.705
68,1626048000000,89.19,91.0,85.89,88.17,93265.3696
69,1626134400000,88.08,88.88,83.35,85.69,115953.3141
70,1626220800000,85.6,85.9,80.2,84.17,118712.7755
71,1626307200000,84.17,85.58,77.44,79.24,169440.6382
72,1626393600000,79.27,80.29,74.21,74.52,126452.0729
73,1626480000000,74.49,76.57,72.11,74.33,103480.0523
74,1626566400000,74.37,80.0,74.27,74.49,243557.0654
75,1626652800000,74.44,75.53,69.65,70.21,148414.9092
76,1626739200000,70.21,71.31,65.0,67.75,172573.3809
77,1626825600000,67.71,78.27,65.54,76.42,190579.8222
78,1626912000000,76.38,82.62,75.14,78.75,160476.8196
79,1626998400000,78.72,82.0,75.19,80.28,124803.7406
80,1627084800000,80.29,88.36,78.99,82.63,251028.048
81,1627171200000,82.56,86.91,81.1,84.99,122326.7182
82,1627257600000,84.91,93.1,84.5,86.03,437567.3466
83,1627344000000,86.05,95.0,80.8,86.52,194007.9122
84,1627430400000,86.42,87.69,82.01,85.27,186660.057
85,1627516800000,85.16,87.0,83.2,85.02,122733.664
86,1627603200000,84.98,87.65,81.5,86.71,168438.5697
87,1627689600000,86.79,89.96,84.52,86.78,207159.5516
88,1627776000000,86.69,91.8,85.57,87.13,303452.3418
89,1627862400000,87.11,104.92,85.67,104.27,553381.8407
90,1627948800000,104.27,104.62,95.76,97.84,332785.1969
91,1628035200000,97.86,103.64,97.31,102.6,144741.6806
92,1628121600000,102.63,110.73,100.0,108.96,401259.6427
93,1628208000000,109.0,120.89,107.02,115.64,473500.2491
94,1628294400000,115.65,120.68,114.0,117.89,142639.9449
95,1628380800000,117.9,129.0,114.77,125.46,298485.8827
96,1628467200000,125.42,135.01,118.44,134.31,285328.9383
97,1628553600000,134.23,142.8,132.46,139.5,207375.1366
98,1628640000000,139.49,143.5,133.43,135.17,148586.1836
99,1628726400000,135.16,142.77,125.93,128.23,196955.0663
