,time,Open,High,Low,Close,Volume
0,1620172800000,2.322,2.6278,2.3,2.586,28526364.96
1,1620259200000,2.5858,2.594,2.394,2.4748,25276393.52
2,1620345600000,2.4762,2.7198,2.4013,2.4889,37438464.89
3,1620432000000,2.4887,2.5909,2.4231,2.4664,20111610.05
4,1620518400000,2.4654,2.4821,2.3207,2.4349,16344345.66
5,1620604800000,2.435,2.5043,2.0208,2.198,23624098.97
6,1620691200000,2.2001,2.349,2.1388,2.3288,21318018.72
7,1620777600000,2.3268,2.61,1.9894,2.0252,42878900.1
8,1620864000000,2.0199,2.1805,1.8713,2.0556,30565312.06
9,1620950400000,2.0572,2.18,2.0358,2.1229,15928857.21
10,1621036800000,2.1248,2.1487,1.9342,1.9524,17847076.76
11,1621123200000,1.95,2.1597,1.8031,1.9709,23510223.9
12,1621209600000,1.9687,2.0222,1.7177,1.7986,25964533.56
13,1621296000000,1.7968,2.0208,1.7695,1.8901,26071642.56
14,1621382400000,1.8908,1.9374,0.8629,1.1943,68567024.69
15,1621468800000,1.1943,1.6,1.03,1.4842,55925250.25
16,1621555200000,1.4837,1.593,1.0561,1.2778,45740723.65
17,1621641600000,1.279,1.2953,1.1123,1.1846,27559001.74
18,1621728000000,1.1855,1.2233,0.7347,0.9434,56541168.01
19,1621814400000,0.9424,1.35,0.9121,1.2648,68064658.54
20,1621900800000,1.2644,1.3113,1.085,1.2377,38888971.58
21,1621987200000,1.2382,2.0557,1.2005,1.9309,129412710.95
22,1622073600000,1.9309,2.0357,1.6529,1.7274,91245402.68
23,1622160000000,1.7284,1.7464,1.3288,1.4282,73226030.36
24,1622246400000,1.428,1.4811,1.2289,1.3524,43514010.57
25,1622332800000,1.351,1.75,1.2351,1.5276,106256635.37
26,1622419200000,1.5256,1.6582,1.4287,1.6258,61863866.81
27,1622505600000,1.6251,1.7172,1.545,1.5695,34525285.15
28,1622592000000,1.5701,1.646,1.5231,1.5794,24686316.15
29,1622678400000,1.5794,1.695,1.5359,1.65,27315691.27
30,1622764800000,1.6491,1.72,1.4114,1.5,33507240.41
31,1622851200000,1.4996,1.597,1.396,1.4541,22772309.11
32,1622937600000,1.454,1.5187,1.4411,1.4787,11044166.33
33,1623024000000,1.4792,1.5225,1.3189,1.3376,17138150.04
34,1623110400000,1.336,1.371,1.1481,1.3308,26916982.47
35,1623196800000,1.3295,1.3735,1.235,1.3708,22342641.51
36,1623283200000,1.3712,1.3818,1.2485,1.2924,15461080.78
37,1623369600000,1.2923,1.5774,1.245,1.3013,61429747.14
38,1623456000000,1.2996,1.3389,1.1536,1.237,31590762.02
39,1623542400000,1.2373,1.35,1.1971,1.3056,18334945.56
40,1623628800000,1.3058,1.507,1.2694,1.4269,37866362.83
41,1623715200000,1.4268,1.4871,1.3692,1.4015,25312181.38
42,1623801600000,1.4007,1.544,1.3517,1.3984,44701996.78
43,1623888000000,1.3982,1.4963,1.3723,1.401,21442802.89
44,1623974400000,1.401,1.4023,1.2236,1.2805,18131726.17
45,1624060800000,1.2821,1.299,1.2331,1.238,10243914.25
46,1624147200000,1.2379,1.2714,1.1376,1.2491,16004148.1
47,1624233600000,1.2495,1.2646,0.9317,0.9377,38645516.29
48,1624320000000,0.937,1.0107,0.7651,0.9181,49949523.3
49,1624406400000,0.9181,1.0867,0.8752,1.046,31446812.0
50,1624492800000,1.0453,1.08,0.971,1.0742,20922532.76
51,1624579200000,1.0743,1.1132,0.9304,0.9419,21878220.98
52,1624665600000,0.9421,0.9874,0.8905,0.953,14848718.65
53,1624752000000,0.953,1.0051,0.928,1.0044,11668122.16
54,1624838400000,1.0049,1.0401,0.9766,1.0293,15653149.76
55,1624924800000,1.0282,1.1362,1.0252,1.0922,21249787.86
56,1625011200000,1.0922,1.1647,1.0351,1.1631,30674856.68
57,1625097600000,1.1637,1.2445,1.0802,1.14,41024983.79
58,1625184000000,1.1405,1.1588,1.0562,1.1229,12783329.02
59,1625270400000,1.1221,1.1868,1.085,1.15,12613736.57
