,time,Open,High,Low,Close,Volume
0,1620172800000,2.991,5.827,2.855,5.623,6934494.49
1,1620259200000,5.639,12.3,5.031,9.85,23037136.9
2,1620345600000,9.85,12.878,6.165,7.621,9936411.18
3,1620432000000,7.618,9.024,6.311,7.517,5033340.39
4,1620518400000,7.521,8.728,5.586,7.593,7004469.78
5,1620604800000,7.618,8.283,4.02,5.5,7661791.9
6,1620691200000,5.485,12.93,4.9,12.894,32301321.54
7,1620777600000,12.851,13.453,6.752,7.053,6537973.04
8,1620864000000,7.0,8.491,5.78,7.369,8877582.6
9,1620950400000,7.358,8.427,7.268,7.921,3172215.8
10,1621036800000,7.93,8.753,6.8,6.889,3061698.55
11,1621123200000,6.934,7.968,6.123,6.777,2164240.12
12,1621209600000,6.822,6.823,5.302,5.847,2447362.63
13,1621296000000,5.847,6.65,5.599,5.999,2183556.58
14,1621382400000,5.999,6.123,1.331,2.509,44504929.89
15,1621468800000,2.509,3.503,2.074,3.225,4702288.07
16,1621555200000,3.225,3.452,1.831,2.369,5297549.52
17,1621641600000,2.365,2.452,1.89,2.026,2738556.4
18,1621728000000,2.027,2.189,1.001,1.445,6946455.77
19,1621814400000,1.431,2.23,1.366,2.23,4907944.31
20,1621900800000,2.23,2.462,1.853,2.262,4879041.74
21,1621987200000,2.269,2.786,2.172,2.743,5016487.35
22,1622073600000,2.744,3.591,2.477,3.135,8921075.42
23,1622160000000,3.137,3.178,2.252,2.478,9372076.03
24,1622246400000,2.471,2.978,2.189,2.395,5212558.48
25,1622332800000,2.393,2.666,2.015,2.405,2944547.37
26,1622419200000,2.405,2.898,2.18,2.861,2745468.29
27,1622505600000,2.86,2.958,2.414,2.608,3607944.08
28,1622592000000,2.608,2.791,2.46,2.668,1987564.62
29,1622678400000,2.65,2.905,2.552,2.782,1744177.19
30,1622764800000,2.783,2.784,2.202,2.386,3022899.14
31,1622851200000,2.395,2.539,2.105,2.209,1732872.66
32,1622937600000,2.198,2.341,2.159,2.262,883196.58
33,1623024000000,2.258,2.344,1.689,1.765,2527512.77
34,1623110400000,1.772,1.817,1.313,1.661,4752654.89
35,1623196800000,1.66,1.873,1.48,1.834,3913884.43
36,1623283200000,1.834,1.919,1.568,1.657,2534558.05
37,1623369600000,1.662,1.86,1.521,1.557,4019321.26
38,1623456000000,1.56,1.56,1.355,1.499,3601238.89
39,1623542400000,1.504,1.673,1.4,1.659,2307642.92
40,1623628800000,1.66,1.8,1.573,1.784,1955307.06
41,1623715200000,1.786,1.848,1.663,1.726,1313704.99
42,1623801600000,1.713,1.743,1.479,1.512,1974406.06
43,1623888000000,1.508,1.644,1.437,1.509,1096560.71
