,time,Open,High,Low,Close,Volume
0,1620172800000,6.3397,8.8392,6.2017,8.7205,106607763.26
1,1620259200000,8.7198,12.85,8.41,11.4643,244242567.97
2,1620345600000,11.4774,13.2525,9.5584,10.3757,168030917.38
3,1620432000000,10.3671,11.2039,9.6023,10.3392,85375231.26
4,1620518400000,10.3389,11.0958,9.11,10.5283,77000361.44
5,1620604800000,10.5283,10.9928,8.23,9.2671,82033777.84
6,1620691200000,9.2654,14.5287,8.774,14.5164,207134481.65
7,1620777600000,14.5164,14.9,10.1263,10.3536,144381299.02
8,1620864000000,10.3536,11.6384,9.4063,10.576,120271507.68
9,1620950400000,10.5964,11.6669,10.5084,11.1496,64812582.29
10,1621036800000,11.1494,11.953,10.11,10.2365,79576778.66
11,1621123200000,10.2385,11.23,9.4224,10.1093,51128023.78
12,1621209600000,10.1077,10.13,8.6,9.1406,67977146.16
13,1621296000000,9.1425,10.0275,8.9474,9.3233,48469427.7
14,1621382400000,9.3243,9.4794,4.2,5.6863,178488115.05
15,1621468800000,5.69,7.0078,5.1,6.6506,109193444.48
16,1621555200000,6.6419,6.9229,4.8378,5.5587,94702939.98
17,1621641600000,5.5545,5.6677,4.8928,5.1018,57262026.25
18,1621728000000,5.1011,5.3225,3.571,4.2923,77994441.11
19,1621814400000,4.2898,5.646,4.1694,5.6421,75626040.36
20,1621900800000,5.6453,6.0,5.05,5.6926,71062139.69
21,1621987200000,5.6944,6.5225,5.5395,6.4315,58737933.55
22,1622073600000,6.4333,7.6685,6.05,7.021,104749617.54
23,1622160000000,7.0205,7.07,5.8261,6.113,99492222.07
24,1622246400000,6.1109,6.8199,5.7449,6.0225,74939179.11
25,1622332800000,6.0248,6.3789,5.5361,6.0358,48706229.91
26,1622419200000,6.0359,6.6888,5.74,6.6297,44952581.91
27,1622505600000,6.6322,6.7606,6.0687,6.3069,40141810.11
28,1622592000000,6.3056,6.6,6.1238,6.3695,32498475.08
29,1622678400000,6.3726,6.7,6.2254,6.5335,30348664.31
30,1622764800000,6.5338,6.5424,5.7752,6.0142,30733500.44
31,1622851200000,6.015,6.2206,5.6379,5.7776,23001120.91
32,1622937600000,5.7758,5.9516,5.7061,5.8457,15060918.03
33,1623024000000,5.8452,5.9699,5.0681,5.1894,22547226.45
34,1623110400000,5.1882,5.2552,4.5046,5.0502,40563736.6
35,1623196800000,5.0491,5.4,4.7708,5.3404,33763045.3
36,1623283200000,5.339,5.4757,4.9259,5.0799,27109652.34
37,1623369600000,5.0788,5.3941,4.8546,4.9157,29079424.27
38,1623456000000,4.916,4.916,4.5842,4.8302,19411925.45
39,1623542400000,4.8311,5.11,4.6557,5.0874,15078415.85
40,1623628800000,5.0893,5.3241,4.9532,5.2992,18027075.11
41,1623715200000,5.2984,5.3982,5.1058,5.1808,16182855.73
42,1623801600000,5.1826,5.2337,4.8152,4.8657,16610868.82
43,1623888000000,4.8647,5.0845,4.754,4.8725,13977776.94
44,1623974400000,4.8727,4.8941,4.3904,4.564,16357445.09
45,1624060800000,4.5627,4.7029,4.45,4.4597,11474644.75
46,1624147200000,4.46,4.5333,4.1032,4.5069,17437328.04
47,1624233600000,4.5066,4.5225,3.5026,3.5181,36492092.09
48,1624320000000,3.519,3.7619,3.0392,3.3869,49227688.14
49,1624406400000,3.3868,3.8076,3.2512,3.6732,27495124.03
50,1624492800000,3.6726,3.9292,3.5184,3.924,22591189.67
51,1624579200000,3.924,4.0251,3.5059,3.5333,24547992.59
52,1624665600000,3.5332,3.6576,3.35,3.5712,17664309.55
53,1624752000000,3.5706,3.7824,3.4874,3.7766,11994997.22
54,1624838400000,3.7766,3.9455,3.6865,3.8507,13666088.31
55,1624924800000,3.8526,4.2923,3.8382,4.1289,22443557.94
56,1625011200000,4.1285,4.3,3.8336,4.1383,22277103.1
57,1625097600000,4.1381,4.2095,3.8541,3.9227,17183604.41
58,1625184000000,3.9226,4.005,3.745,3.9224,17292675.9
59,1625270400000,3.9226,4.0651,3.851,4.0504,12196067.8
60,1625356800000,4.0508,4.1866,3.9501,4.061,17331712.71
61,1625443200000,4.0606,4.0609,3.7591,3.8101,14667457.05
62,1625529600000,3.8101,4.0055,3.7826,3.8776,14528435.95
63,1625616000000,3.8777,3.9796,3.8143,3.8249,10925537.03
64,1625702400000,3.8245,3.84,3.5246,3.5959,16308329.05
65,1625788800000,3.5959,4.3133,3.4555,4.2174,49803432.92
66,1625875200000,4.2175,4.42,3.8723,3.9633,39271615.66
67,1625961600000,3.9656,4.1777,3.8334,4.0766,22936376.52
68,1626048000000,4.0775,4.3786,4.0413,4.1873,38217590.79
69,1626134400000,4.187,4.2139,3.7866,3.8909,25083974.82
70,1626220800000,3.8895,3.9283,3.5906,3.7983,20869223.41
71,1626307200000,3.7974,3.9189,3.5555,3.6707,15566205.81
72,1626393600000,3.6707,3.8385,3.5301,3.6529,19626663.37
73,1626480000000,3.6536,3.7796,3.581,3.6562,18956126.91
74,1626566400000,3.6574,3.7747,3.5555,3.6353,10740097.12
75,1626652800000,3.6365,3.6841,3.4019,3.437,15850330.78
76,1626739200000,3.4365,3.5454,3.1522,3.2596,20408294.9
77,1626825600000,3.2597,3.571,3.208,3.5026,25471757.42
78,1626912000000,3.5027,3.58,3.4221,3.5647,18133612.16
79,1626998400000,3.5649,3.663,3.4548,3.6341,13940282.75
80,1627084800000,3.6348,3.74,3.6138,3.6674,14909187.23
81,1627171200000,3.6668,3.6962,3.5465,3.6587,13735733.16
82,1627257600000,3.6584,3.9994,3.63,3.6795,32958487.05
83,1627344000000,3.6797,3.7895,3.6004,3.7556,19660424.16
84,1627430400000,3.7559,4.0179,3.6822,3.9195,29423914.89
85,1627516800000,3.9197,3.9868,3.8026,3.9667,14221280.62
86,1627603200000,3.9665,4.0765,3.7803,4.0684,17389367.22
87,1627689600000,4.0663,4.21,4.0007,4.068,23193026.08
88,1627776000000,4.0676,4.2334,3.8502,3.9414,24901887.74
89,1627862400000,3.938,4.1586,3.8887,4.027,18508656.81
