,time,Open,High,Low,Close,Volume
0,1620172800000,2.551,2.901,2.5,2.636,16884042.517
1,1620259200000,2.636,2.703,2.331,2.37,13109300.605
2,1620345600000,2.371,2.488,2.15,2.265,11652828.901
3,1620432000000,2.265,2.649,2.23,2.4,14628579.68
4,1620518400000,2.4,2.537,2.136,2.28,10733395.448
5,1620604800000,2.28,2.416,1.888,1.974,12891625.447
6,1620691200000,1.971,2.2,1.906,2.045,11133293.057
7,1620777600000,2.045,2.131,1.601,1.648,8528359.474
8,1620864000000,1.64,1.806,1.53,1.644,9600781.418
9,1620950400000,1.644,1.916,1.599,1.817,12084302.377
10,1621036800000,1.817,1.9,1.636,1.69,10498433.832
11,1621123200000,1.69,2.049,1.685,1.78,16802972.731
12,1621209600000,1.778,1.807,1.484,1.565,11811010.186
13,1621296000000,1.565,1.679,1.495,1.514,7269031.493
14,1621382400000,1.514,1.546,0.701,0.948,15517153.102
15,1621468800000,0.948,1.142,0.825,1.028,10318462.327
16,1621555200000,1.028,1.094,0.718,0.849,8474656.725
17,1621641600000,0.849,0.868,0.732,0.766,5226250.459
18,1621728000000,0.767,0.805,0.518,0.633,7665512.474
19,1621814400000,0.634,0.808,0.625,0.793,7244831.912
20,1621900800000,0.794,0.88,0.712,0.818,9083438.237
21,1621987200000,0.818,0.919,0.793,0.887,8608932.173
22,1622073600000,0.887,0.9,0.774,0.804,6864121.343
23,1622160000000,0.804,0.824,0.651,0.691,6531583.999
24,1622246400000,0.691,0.728,0.59,0.636,4482282.505
25,1622332800000,0.637,0.98,0.6,0.929,42263797.867
26,1622419200000,0.93,1.23,0.823,1.046,56601090.27
27,1622505600000,1.047,1.139,0.95,0.97,19513407.268
28,1622592000000,0.971,1.045,0.915,0.973,14741722.685
29,1622678400000,0.973,1.04,0.951,1.021,11747947.297
30,1622764800000,1.021,1.027,0.803,0.858,12465820.91
31,1622851200000,0.858,0.934,0.773,0.809,8951770.439
32,1622937600000,0.809,0.847,0.786,0.81,6189927.589
33,1623024000000,0.81,0.856,0.704,0.709,7435580.911
34,1623110400000,0.707,0.732,0.61,0.701,10149621.093
35,1623196800000,0.702,0.749,0.663,0.733,7748938.467
36,1623283200000,0.734,0.738,0.665,0.671,6880618.709
37,1623369600000,0.671,0.721,0.649,0.672,7075566.632
38,1623456000000,0.673,0.693,0.616,0.632,4354729.517
39,1623542400000,0.631,0.685,0.613,0.68,4903584.491
40,1623628800000,0.68,0.735,0.658,0.688,8053088.64
41,1623715200000,0.689,0.713,0.661,0.673,6139218.859
42,1623801600000,0.674,0.688,0.62,0.625,5859430.978
43,1623888000000,0.625,0.688,0.62,0.639,7133474.64
44,1623974400000,0.639,0.651,0.587,0.609,7358899.4
45,1624060800000,0.609,0.63,0.58,0.583,6375526.869
46,1624147200000,0.581,0.587,0.53,0.568,6755969.371
47,1624233600000,0.569,0.573,0.422,0.426,9204245.314
48,1624320000000,0.425,0.448,0.334,0.389,9737719.491
49,1624406400000,0.389,0.452,0.373,0.422,5345363.261
50,1624492800000,0.422,0.445,0.392,0.424,6505564.45
51,1624579200000,0.423,0.438,0.366,0.374,6821949.694
52,1624665600000,0.375,0.382,0.341,0.365,4216840.166
53,1624752000000,0.365,0.444,0.362,0.414,16712268.752
54,1624838400000,0.414,0.44,0.393,0.408,7241618.373
55,1624924800000,0.408,0.459,0.407,0.429,10521271.094
56,1625011200000,0.43,0.436,0.382,0.422,7375900.416
57,1625097600000,0.421,0.421,0.366,0.383,7669888.346
58,1625184000000,0.383,0.388,0.362,0.382,4981785.384
59,1625270400000,0.382,0.406,0.373,0.399,5893366.578
60,1625356800000,0.399,0.447,0.387,0.429,11219144.201
61,1625443200000,0.429,0.43,0.389,0.41,10463176.02
62,1625529600000,0.41,0.469,0.41,0.455,21332463.819
63,1625616000000,0.455,0.555,0.448,0.485,37469428.942
64,1625702400000,0.486,0.49,0.415,0.423,17601322.556
65,1625788800000,0.423,0.473,0.396,0.454,15735042.815
66,1625875200000,0.454,0.475,0.426,0.434,11848589.757
67,1625961600000,0.435,0.506,0.431,0.491,17854694.297
68,1626048000000,0.491,0.534,0.45,0.466,22824792.815
69,1626134400000,0.466,0.548,0.455,0.542,32287410.715
70,1626220800000,0.542,0.694,0.484,0.636,62331420.1
71,1626307200000,0.637,0.797,0.589,0.607,103741205.716
72,1626393600000,0.607,0.625,0.5,0.504,59584164.378
73,1626480000000,0.504,0.51,0.452,0.467,26449869.226
74,1626566400000,0.469,0.526,0.433,0.443,39016962.039
75,1626652800000,0.444,0.455,0.387,0.393,28968704.41
76,1626739200000,0.394,0.401,0.344,0.365,18061642.928
77,1626825600000,0.365,0.408,0.349,0.395,25885411.245
78,1626912000000,0.395,0.44,0.381,0.415,29575017.697
79,1626998400000,0.415,0.475,0.385,0.465,38020240.626
80,1627084800000,0.465,0.533,0.44,0.494,73297868.589
81,1627171200000,0.494,0.648,0.467,0.627,128471392.244
82,1627257600000,0.628,0.675,0.5,0.514,84366625.479
83,1627344000000,0.514,0.588,0.483,0.538,63684010.012
84,1627430400000,0.538,0.616,0.519,0.581,67389820.863
85,1627516800000,0.581,0.617,0.537,0.549,43843692.195
86,1627603200000,0.549,0.571,0.509,0.566,30737113.512
87,1627689600000,0.567,0.592,0.533,0.567,29360593.344
88,1627776000000,0.567,0.595,0.522,0.528,28158168.859
89,1627862400000,0.528,0.568,0.517,0.54,24616539.47
90,1627948800000,0.541,0.585,0.518,0.576,32753518.886
91,1628035200000,0.577,0.645,0.567,0.593,58047217.598
92,1628121600000,0.591,0.665,0.579,0.647,41814444.553
93,1628208000000,0.647,0.675,0.606,0.66,39940768.534
94,1628294400000,0.66,0.689,0.609,0.64,42106977.647
95,1628380800000,0.64,0.646,0.58,0.588,33129126.985
96,1628467200000,0.588,0.694,0.561,0.668,63008475.886
97,1628553600000,0.668,0.75,0.643,0.738,63133217.409
98,1628640000000,0.739,0.827,0.684,0.705,84748661.312
99,1628726400000,0.705,0.754,0.666,0.673,31348552.318
