,time,Open,High,Low,Close,Volume
0,1624320000000,7.991,9.8,5.5,6.351,2219423.5
1,1624406400000,6.4,7.9,6.2,6.999,437339.2
2,1624492800000,6.999,7.144,6.34,6.765,185111.9
3,1624579200000,6.765,6.872,5.775,6.002,276421.7
4,1624665600000,6.001,6.183,5.322,5.889,128553.6
5,1624752000000,5.889,7.052,5.843,6.604,447137.5
6,1624838400000,6.604,6.97,6.134,6.305,138701.9
7,1624924800000,6.259,6.651,6.1,6.312,172132.2
8,1625011200000,6.27,6.365,5.81,6.236,90129.3
9,1625097600000,6.227,6.281,5.54,5.68,199562.0
10,1625184000000,5.68,5.77,5.316,5.615,185913.6
11,1625270400000,5.616,5.961,5.604,5.74,84051.4
12,1625356800000,5.74,6.25,5.64,5.906,212782.8
13,1625443200000,5.9,5.9,5.379,5.48,252260.9
14,1625529600000,5.481,6.564,5.471,5.852,295185.3
15,1625616000000,5.852,7.262,5.814,6.35,553388.2
16,1625702400000,6.344,7.246,5.9,6.046,409994.0
17,1625788800000,6.019,6.159,5.709,6.021,165715.1
18,1625875200000,6.025,6.532,5.992,6.43,311053.0
19,1625961600000,6.42,7.132,6.33,6.79,323387.6
20,1626048000000,6.824,6.852,6.0,6.384,167603.1
21,1626134400000,6.384,6.396,5.85,5.985,178774.5
22,1626220800000,5.991,6.99,5.603,6.951,583030.2
23,1626307200000,6.951,10.66,6.435,9.65,5260251.2
24,1626393600000,9.601,10.25,7.201,7.214,1994387.3
25,1626480000000,7.204,7.565,6.9,7.062,456276.2
26,1626566400000,7.058,7.948,6.9,7.271,456644.6
27,1626652800000,7.271,7.318,5.971,6.136,350320.4
28,1626739200000,6.161,6.166,5.574,5.831,321140.6
29,1626825600000,5.858,7.251,5.776,6.762,666224.8
30,1626912000000,6.76,7.506,6.6,6.821,429779.3
31,1626998400000,6.823,8.158,6.164,8.027,852666.1
32,1627084800000,8.028,8.639,7.386,7.66,855087.6
33,1627171200000,7.651,8.9,7.307,8.658,604816.2
34,1627257600000,8.658,9.45,7.61,7.887,717880.7
35,1627344000000,7.907,9.122,7.532,8.269,474859.5
36,1627430400000,8.269,8.666,7.654,7.82,547569.7
37,1627516800000,7.844,8.081,7.664,7.776,238149.2
38,1627603200000,7.777,8.396,7.551,8.131,287793.5
39,1627689600000,8.124,8.22,7.815,8.05,170456.6
40,1627776000000,8.05,8.472,7.764,7.974,222384.9
41,1627862400000,7.973,8.9,7.8,7.975,335442.7
42,1627948800000,8.005,8.191,7.679,8.121,188740.1
43,1628035200000,8.121,12.757,7.976,11.615,3357024.3
44,1628121600000,11.615,12.112,9.757,10.931,2288983.0
45,1628208000000,10.921,12.56,10.4,12.127,892934.7
46,1628294400000,12.122,14.898,11.679,13.435,1796490.9
47,1628380800000,13.4,13.86,11.511,12.03,841603.8
48,1628467200000,12.037,13.042,11.251,12.276,536364.0
49,1628553600000,12.275,12.85,11.512,11.963,483686.0
50,1628640000000,11.963,13.5,11.85,12.393,533688.1
51,1628726400000,12.393,12.739,11.621,11.808,196404.2
